budget,subset,boundary_definition,quantile,run_id,prediction_count,mean_confidence,median_confidence,fraction_confidence_ge_080,fraction_confidence_ge_090,accuracy_confidence_ge_080,accuracy_confidence_ge_090,brier_score
30,B2_q20,B2,20,primary_common__r04_f03,17,0.748859309927,0.762258613673,0.470588235294,0.176470588235,0.875,1,0.189570635479
30,B2_q20,B2,20,primary_common__r04_f04,17,0.74073312535,0.750042031855,0.294117647059,0.117647058824,1,1,0.095219894556
30,B2_q20,B2,20,primary_common__r04_f05,17,0.799534151053,0.808394485114,0.529411764706,0.352941176471,1,1,0.155392693187
30,B2_q30,B2,30,primary_common__r01_f01,25,0.747120361184,0.74033648467,0.4,0,1,,0.0912202265009
30,B2_q30,B2,30,primary_common__r01_f02,25,0.792552956905,0.818709189138,0.56,0.24,1,1,0.122137176191
30,B2_q30,B2,30,primary_common__r01_f03,25,0.747656293742,0.727906219747,0.44,0.16,1,1,0.0960774420342
30,B2_q30,B2,30,primary_common__r01_f04,25,0.78613880265,0.807386748996,0.56,0.36,1,1,0.0892907015501
30,B2_q30,B2,30,primary_common__r01_f05,25,0.749477134257,0.739829503762,0.44,0.12,1,1,0.125681134891
30,B2_q30,B2,30,primary_common__r02_f01,25,0.777313621901,0.820818756698,0.56,0.08,0.928571428571,1,0.108287519071
30,B2_q30,B2,30,primary_common__r02_f02,25,0.76144245218,0.769783839452,0.44,0.08,1,1,0.103276041415
30,B2_q30,B2,30,primary_common__r02_f03,25,0.735633112375,0.723748419642,0.36,0.12,1,1,0.121732404475
30,B2_q30,B2,30,primary_common__r02_f04,25,0.766115105951,0.789814715425,0.48,0.32,1,1,0.093208439727
30,B2_q30,B2,30,primary_common__r02_f05,25,0.867027997163,0.894077037572,0.8,0.48,0.9,1,0.100252434732
30,B2_q30,B2,30,primary_common__r03_f01,25,0.792175350122,0.786759282907,0.48,0.32,0.916666666667,1,0.160134423403
30,B2_q30,B2,30,primary_common__r03_f02,25,0.771293758741,0.760134131361,0.4,0.12,1,1,0.0870448229221
30,B2_q30,B2,30,primary_common__r03_f03,25,0.835282379534,0.863384672751,0.6,0.4,0.866666666667,1,0.171317388504
30,B2_q30,B2,30,primary_common__r03_f04,25,0.794033731449,0.784338479624,0.44,0.28,1,1,0.0778074902842
30,B2_q30,B2,30,primary_common__r03_f05,25,0.877850454643,0.934370748043,0.8,0.68,1,1,0.0523936568895
30,B2_q30,B2,30,primary_common__r04_f01,25,0.830012671078,0.87546210486,0.68,0.4,1,1,0.0766357849267
30,B2_q30,B2,30,primary_common__r04_f02,25,0.806458749042,0.87251937171,0.64,0.4,0.9375,0.9,0.105712517548
30,B2_q30,B2,30,primary_common__r04_f03,25,0.807186549742,0.831905977392,0.64,0.4,0.9375,1,0.131078650251
30,B2_q30,B2,30,primary_common__r04_f04,25,0.790065158342,0.795414907019,0.48,0.28,1,1,0.069784798851
30,B2_q30,B2,30,primary_common__r04_f05,25,0.838761600884,0.892353573604,0.68,0.48,1,1,0.107956684235
30,B3_q20,B3,20,primary_common__r01_f01,17,0.698228127614,0.716427607641,0.176470588235,0,1,,0.124867118491
30,B3_q20,B3,20,primary_common__r01_f02,17,0.743661413776,0.748793135998,0.411764705882,0.0588235294118,1,1,0.141845650054
30,B3_q20,B3,20,primary_common__r01_f03,17,0.707269565476,0.711026690347,0.352941176471,0,1,,0.119129007046
30,B3_q20,B3,20,primary_common__r01_f04,17,0.740053673991,0.783875080871,0.470588235294,0,1,,0.107395910336
30,B3_q20,B3,20,primary_common__r01_f05,17,0.717296864906,0.706858361164,0.294117647059,0,1,,0.159179361416
30,B3_q20,B3,20,primary_common__r02_f01,17,0.757344460069,0.783715241006,0.411764705882,0.0588235294118,0.857142857143,1,0.138366339226
30,B3_q20,B3,20,primary_common__r02_f02,17,0.700477790165,0.694721842582,0.176470588235,0,1,,0.148030210121
30,B3_q20,B3,20,primary_common__r02_f03,17,0.674435840035,0.693473552399,0.176470588235,0,1,,0.166893272953
30,B3_q20,B3,20,primary_common__r02_f04,17,0.759179174526,0.836672197963,0.529411764706,0.235294117647,1,1,0.102164239477
30,B3_q20,B3,20,primary_common__r02_f05,17,0.80925642875,0.82158875961,0.588235294118,0.294117647059,0.8,1,0.152223684289
30,B3_q20,B3,20,primary_common__r03_f01,17,0.771402642916,0.773948767265,0.411764705882,0.176470588235,0.857142857143,1,0.215085969372
30,B3_q20,B3,20,primary_common__r03_f02,17,0.694041980396,0.69708100271,0.117647058824,0,1,,0.124803025405
30,B3_q20,B3,20,primary_common__r03_f03,17,0.77437596863,0.750978951184,0.411764705882,0.176470588235,0.714285714286,1,0.224437128688
30,B3_q20,B3,20,primary_common__r03_f04,17,0.755371506835,0.771237872794,0.352941176471,0.117647058824,1,1,0.0878093485075
30,B3_q20,B3,20,primary_common__r03_f05,17,0.821745707398,0.858031870537,0.647058823529,0.411764705882,1,1,0.0815388804246
30,B3_q20,B3,20,primary_common__r04_f01,17,0.710677154472,0.708108761698,0.352941176471,0.0588235294118,1,1,0.156307823615
30,B3_q20,B3,20,primary_common__r04_f02,17,0.767774142098,0.796187297045,0.470588235294,0.294117647059,0.875,0.8,0.147306826696
30,B3_q20,B3,20,primary_common__r04_f03,17,0.755746666926,0.762258613673,0.470588235294,0.235294117647,0.875,1,0.187179989333
30,B3_q20,B3,20,primary_common__r04_f04,17,0.748215143581,0.762919776076,0.352941176471,0.117647058824,1,1,0.0897567117309
30,B3_q20,B3,20,primary_common__r04_f05,17,0.7968146187,0.815530274871,0.647058823529,0.235294117647,1,1,0.0967552818126
30,B3_q30,B3,30,primary_common__r01_f01,25,0.72480314361,0.727848619583,0.24,0,1,,0.1011525062
30,B3_q30,B3,30,primary_common__r01_f02,25,0.765492667055,0.770977400481,0.48,0.16,1,1,0.138422699084
30,B3_q30,B3,30,primary_common__r01_f03,25,0.743723502383,0.774821554696,0.44,0,1,,0.0924233299385
30,B3_q30,B3,30,primary_common__r01_f04,25,0.740863481772,0.775267952164,0.4,0.04,1,1,0.101034133899
