boundary_definition,quantile,budget,matched_run_count,mean_binary_minus_random_accuracy,median_binary_minus_random_accuracy,sd_binary_minus_random_accuracy,ci95_lower,ci95_upper
B1,30,19,20,0.016,0.04,0.0627778036537,-0.0133809165133,0.0453809165133
B1,30,20,20,0.038,0.04,0.078378299897,0.00131782649752,0.0746821735025
B1,30,21,20,0.044,0.04,0.0685488684693,0.0119181420126,0.0760818579874
B1,30,22,20,0.042,0.04,0.0875154121765,0.00104152631763,0.0829584736824
B1,30,23,20,0.044,0.04,0.0660462357986,0.0130894101565,0.0749105898435
B1,30,24,20,0.042,0.04,0.0739558901252,0.0073875779818,0.0766124220182
B1,30,25,20,0.046,0.04,0.0813310324667,0.00793590511656,0.0840640948834
B1,30,26,20,0.054,0.06,0.0833761293619,0.0149787703071,0.0930212296929
B1,30,27,20,0.046,0.04,0.0639407620586,0.0160748021991,0.0759251978009
B1,30,28,20,0.032,0.04,0.0717891649939,-0.00159836344202,0.065598363442
B1,30,29,20,0.034,0.06,0.0813310324667,-0.00406409488344,0.0720640948834
B1,30,30,20,0.024,0.04,0.0627778036537,-0.00538091651332,0.0533809165133
B1,30,31,20,0.03,0.04,0.0548682632839,0.0043208623279,0.0556791376721
B1,30,32,20,0.034,0.04,0.0507211157108,0.0102617871377,0.0577382128623
B1,30,33,20,0.036,0.04,0.0593295878968,0.00823289813736,0.0637671018626
B1,30,34,20,0.03,0.04,0.057856446668,0.00292234945509,0.0570776505449
B1,30,35,20,0.04,0.04,0.0535084843248,0.0149572584703,0.0650427415297
B1,30,36,20,0.032,0.04,0.0512578620414,0.00801058212235,0.0559894178776
B1,30,37,20,0.024,0.02,0.0571608994073,-0.00275212440654,0.0507521244065
B1,30,38,20,0.018,0.02,0.054250879207,-0.00739019302984,0.0433901930298
B1,30,39,20,0.02,0,0.042052598643,0.000318778007668,0.0396812219923
B1,30,40,20,0.03,0,0.062069570475,0.000950546817417,0.0590494531826
B1,30,41,20,0.034,0.04,0.0612501342641,0.00533405476925,0.0626659452307
B1,30,42,20,0.032,0.04,0.0616953465788,0.00312568899207,0.0608743110079
B1,30,43,20,0.03,0.02,0.0697363455792,-0.00263761438213,0.0626376143821
B1,30,44,20,0.034,0.02,0.0690080086885,0.00170325777541,0.0662967422246
B1,30,45,20,0.028,0,0.0687941245961,-0.00419664138803,0.060196641388
B1,30,46,20,0.038,0.04,0.0728083280372,0.00392465357122,0.0720753464288
B1,30,47,20,0.036,0.04,0.0697665279418,0.00334825983734,0.0686517401627
B1,30,48,20,0.04,0.04,0.0722568517968,0.00618275239657,0.0738172476034
B1,30,49,20,0.042,0.04,0.0750859157022,0.00685870973213,0.0771412902679
B1,30,50,20,0.048,0.06,0.0752259753571,0.0127931597959,0.0832068402041
B1,30,51,20,0.048,0.06,0.0816668456854,0.00977873969234,0.0862212603077
B1,30,52,20,0.044,0.04,0.0777580593217,0.0076081080222,0.0803918919778
B1,30,53,20,0.048,0.06,0.0740980857768,0.0133210283683,0.0826789716317
B1,30,54,20,0.042,0.04,0.0835778867757,0.00288434493083,0.0811156550692
B1,30,55,20,0.048,0.04,0.0806291053626,0.0102644171135,0.0857355828865
B1,30,56,20,0.046,0.04,0.079233166899,0.008917736425,0.083082263575
B1,30,57,20,0.042,0.02,0.077296421923,0.0058241609753,0.0781758390247
B1,30,58,20,0.044,0,0.0788336022398,0.00710473844179,0.0808952615582
B1,30,59,20,0.038,0.02,0.0761991849659,0.00233768367848,0.0736623163215
B1,30,60,20,0.044,0.04,0.0788336022398,0.00710473844179,0.0808952615582
B1,30,61,20,0.044,0.04,0.0809418244628,0.00611806006949,0.0818819399305
B1,30,62,20,0.048,0.04,0.0774324833238,0.0117604822796,0.0842395177204
B1,30,63,20,0.036,0.04,0.0621034790109,0.00693467713408,0.0650653228659
B1,30,64,20,0.034,0.04,0.0612501342641,0.00533405476925,0.0626659452307
B1,30,65,20,0.036,0.04,0.0607323723613,0.00757637479885,0.0644236252011
B1,30,66,20,0.036,0.04,0.0621034790109,0.00693467713408,0.0650653228659
B1,30,67,20,0.036,0.04,0.0621034790109,0.00693467713408,0.0650653228659
B1,30,68,20,0.032,0.04,0.0589022383633,0.00443290387558,0.0595670961244
B1,30,69,20,0.032,0.04,0.0589022383633,0.00443290387558,0.0595670961244
B1,30,70,20,0.028,0.04,0.0504297322493,0.00439815879542,0.0516018412046
B1,30,71,20,0.03,0.04,0.0563821546983,0.00361233933621,0.0563876606638
B1,30,72,20,0.028,0.04,0.0567172117198,0.00145552782319,0.0545444721768
B1,30,73,20,0.024,0.04,0.0556681899151,-0.00205351485958,0.0500535148596
B1,30,74,20,0.024,0.04,0.0556681899151,-0.00205351485958,0.0500535148596
B1,30,75,20,0.024,0.04,0.0556681899151,-0.00205351485958,0.0500535148596
B1,30,76,20,0.026,0.02,0.0598594845846,-0.00201510114648,0.0540151011465
B1,30,77,20,0.028,0.04,0.0596127856296,0.000100357518503,0.0558996424815
B1,30,78,20,0.03,0.04,0.0592940930758,0.00224951022491,0.0577504897751
B1,30,79,20,0.03,0.04,0.0592940930758,0.00224951022491,0.0577504897751
B1,30,80,20,0.03,0.04,0.057856446668,0.00292234945509,0.0570776505449
B2,20,16,20,0.0676470588235,0.0588235294118,0.099671651795,0.0209992898718,0.114294827775
B2,20,17,20,0.0705882352941,0.0588235294118,0.0927139912532,0.0271967517109,0.113979718877
B2,20,18,20,0.0764705882353,0.0588235294118,0.0936909833668,0.032621858268,0.120319318203
B2,20,19,20,0.0441176470588,0.0588235294118,0.0535567922353,0.0190522967311,0.0691829973866
B2,20,20,20,0.0735294117647,0.0882352941176,0.0951855055086,0.0289812239043,0.118077599625
B2,20,21,20,0.0794117647059,0.0882352941176,0.0920733873088,0.0363200929975,0.122503436414
B2,20,22,20,0.0705882352941,0.0588235294118,0.112260591291,0.0180486612968,0.123127809291
