boundary_definition,quantile,budget,matched_run_count,mean_binary_minus_random_accuracy,median_binary_minus_random_accuracy,sd_binary_minus_random_accuracy,ci95_lower,ci95_upper
B3,20,42,20,0.0411764705882,0.0294117647059,0.0716636348621,0.00763685705636,0.0747160841201
B3,20,43,20,0.0382352941176,0,0.0793228489716,0.00111105804068,0.0753595301946
B3,20,44,20,0.0411764705882,0.0294117647059,0.0789200462647,0.00424075198103,0.0781121891954
B3,20,45,20,0.0323529411765,0,0.0797807047162,-0.00498557798506,0.069691460338
B3,20,46,20,0.0411764705882,0.0588235294118,0.0716636348621,0.00763685705636,0.0747160841201
B3,20,47,20,0.0382352941176,0.0294117647059,0.0721069846006,0.00448818652107,0.0719824017142
B3,20,48,20,0.0529411764706,0.0588235294118,0.080745028371,0.0151513399462,0.090731012995
B3,20,49,20,0.0558823529412,0.0588235294118,0.0797807047162,0.0185438337796,0.0932208721027
B3,20,50,20,0.0647058823529,0.0588235294118,0.080745028371,0.0269160458285,0.102495718877
B3,20,51,20,0.0617647058824,0.0588235294118,0.0944170932979,0.0175761460066,0.105953265758
B3,20,52,20,0.0588235294118,0.0588235294118,0.0934964016752,0.0150658664794,0.102581192344
B3,20,53,20,0.0647058823529,0.0588235294118,0.0872493939658,0.0238719090255,0.10553985568
B3,20,54,20,0.0617647058824,0.0588235294118,0.101840645264,0.0141018167395,0.109427595025
B3,20,55,20,0.0705882352941,0.0588235294118,0.0886984746971,0.0290760713084,0.11210039928
B3,20,56,20,0.0676470588235,0.0588235294118,0.0859349260181,0.0274282754324,0.107865842215
B3,20,57,20,0.0617647058824,0.0588235294118,0.0863577326346,0.0213480429036,0.102181368861
