experiment_name,population_row_index,has_keyhole,P,VX,LS,ST,log_h,prefix_tau,current_width_um,width_gain_so_far_um,median_positive_dWdt_so_far_um_per_ms,max_positive_dWdt_so_far_um_per_ms,normalized_slope_so_far_um_per_tau,latest_source_tau
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,19.1313440555154,1.0,294.9648,294.9648,3389.6566065668667,89560.34105007871,255.29543009074226,1.0
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,19.5847504215337,0.2,178.99939005524865,178.99939005524865,7094.349303496956,71058.99749419522,853.6997014792757,0.2
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,19.5847504215337,0.4,273.7443417582418,273.7443417582418,11107.990664444209,71058.99749419522,669.5858822219776,0.4
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,19.5847504215337,0.6,306.48351666666684,306.48351666666684,13579.83494166897,71058.99749419522,489.9623577879546,0.6
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,19.5847504215337,0.8,319.8791566666667,319.8791566666667,13579.83494166897,194940.37422744257,360.0791162371567,0.8
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,19.5847504215337,1.0,299.6143000000001,299.6143000000001,12577.281668414207,194940.37422744257,255.83972968869347,1.0
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,0,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,19.728199158127982,0.2,167.31668461538462,167.31668461538462,5117.5929839509745,13069.790031355406,824.1150586669698,0.2
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,0,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,19.728199158127982,0.4,265.5572131868133,265.5572131868133,9093.69150765319,82516.97183287443,660.7138435517757,0.4
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,0,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,19.728199158127982,0.6,300.54132197802227,300.54132197802227,25706.06959890073,82516.97183287443,475.19986400484845,0.6
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,0,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,19.728199158127982,0.8,311.5989444444446,311.5989444444446,40458.282309119924,82516.97183287443,349.22536183179966,0.8
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,0,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,19.728199158127982,1.0,299.91100000000006,299.91100000000006,25706.06959890073,82516.97183287443,256.24405096710484,1.0
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,19.881064272586734,0.2,173.35891571428576,173.35891571428576,734.5055712001791,3144.1910070478225,831.5433001698232,0.2
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,19.881064272586734,0.4,272.23478522222206,272.23478522222206,1469.6558386660895,134336.1615901542,651.045031667314,0.4
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,19.881064272586734,0.6,306.04810442105304,306.04810442105304,1501.0601829558634,140905.06334214407,488.31422184782764,0.6
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,19.881064272586734,0.8,316.9518655555551,316.9518655555551,1532.4645272456373,140905.06334214407,356.30661135170783,0.8
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,19.881064272586734,1.0,294.1918999999999,294.1918999999999,2338.32776714673,140905.06334214407,252.9688555568642,1.0
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,20.62458540354386,0.2,74.65893666666666,74.65893666666666,282.3828621425222,1112.9238771180835,364.7276642215461,0.2
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,20.62458540354386,0.4,124.20427555555554,124.20427555555554,362.45601851835124,1112.9238771180835,304.0106517227817,0.4
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,20.62458540354386,0.6,158.09883666666667,158.09883666666667,337.21759259284784,1112.9238771180835,254.77196600809458,0.6
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,20.62458540354386,0.8,184.59496333333342,184.59496333333342,317.2417812571859,1112.9238771180835,217.85926140868736,0.8
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,20.62458540354386,1.0,203.66860000000005,203.66860000000005,306.9444444463144,80222.49249240401,188.7862521400424,1.0
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,0,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,19.84062092917375,0.2,173.94249505494506,173.94249505494506,252.671720461987,1387.106025825669,844.0480194456859,0.2
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,0,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,19.84062092917375,0.4,278.52270659340655,278.52270659340655,484.4981905749807,27796.69881442999,670.9174082825926,0.4
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,0,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,19.84062092917375,0.6,314.65538,314.65538,1387.106025825669,184818.61110977418,509.5424244411083,0.6
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,0,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,19.84062092917375,0.8,327.76455111111085,327.76455111111085,3294.242850448557,184818.61110977418,373.5146226147513,0.8
