model,subset,metric,mean,sd_across_repeats,repeat_blocks
static_width,full,keyhole_recall,0.01142857142857143,0.008794100160729892,20
static_width,full,conduction_recall,0.9857142857142861,3.4171943677557405e-16,20
static_width,full,false_negative,69.2,0.6155870112510924,20
static_width,full,false_positive,4.0,0.0,20
static_width,full,brier_score,0.1609531300895241,0.002044276525442886,20
static_width,q20,roc_auc,0.5404385432489811,0.025804690879793618,20
static_width,q20,pr_auc,0.48374634820793283,0.036692381516725416,20
static_width,q20,accuracy,0.6143464643464644,0.018866821099643827,20
static_width,q20,balanced_accuracy,0.5098784198050745,0.011113984208980235,20
static_width,q20,keyhole_recall,0.019756839610148843,0.022227968417960466,20
static_width,q20,conduction_recall,1.0,0.0,20
static_width,q20,false_negative,29.5,1.4327007988227578,20
static_width,q20,false_positive,0.0,0.0,20
static_width,q20,brier_score,0.2676777599754595,0.010080506270282919,20
static_width,q30,roc_auc,0.5724024256009657,0.025324994597717917,20
static_width,q30,pr_auc,0.4401761337396322,0.029049446320986848,20
static_width,q30,accuracy,0.671292410048905,0.008071954018732888,20
static_width,q30,balanced_accuracy,0.5106039744197639,0.008019065942085827,20
static_width,q30,keyhole_recall,0.021207948839527792,0.016038131884171646,20
static_width,q30,conduction_recall,1.0,0.0,20
static_width,q30,false_negative,36.65,0.9333020044867296,20
static_width,q30,false_positive,0.0,0.0,20
static_width,q30,brier_score,0.23386379662442155,0.004641626634429932,20
width_dynamics,full,roc_auc,0.6331785714285714,0.011110692798607387,20
width_dynamics,full,pr_auc,0.30734456706052266,0.01890450253736509,20
width_dynamics,full,accuracy,0.7982857142857143,0.0029894192216034067,20
width_dynamics,full,balanced_accuracy,0.502142857142857,0.004692476323798457,20
width_dynamics,full,keyhole_recall,0.008571428571428572,0.008546329165944553,20
width_dynamics,full,conduction_recall,0.9957142857142858,0.0027420424855353993,20
width_dynamics,full,false_negative,69.4,0.5982430416161189,20
width_dynamics,full,false_positive,1.2,0.7677718959499145,20
width_dynamics,full,brier_score,0.15521150114278037,0.0017163181706984045,20
width_dynamics,q20,roc_auc,0.49719829479517497,0.028296317043777424,20
width_dynamics,q20,pr_auc,0.44604223904634815,0.03663290754016098,20
width_dynamics,q20,accuracy,0.609793158477369,0.020606755909159297,20
width_dynamics,q20,balanced_accuracy,0.5053599075302755,0.010387717840239652,20
width_dynamics,q20,keyhole_recall,0.015029364637957518,0.017077202486440776,20
