experiment_name,has_keyhole,onset_available,first_keyhole_monitor_row_index,first_keyhole_time_s,first_keyhole_tau,peak_dWdt_tau,peak_minus_first_keyhole_ms,peak_precedes_first_observed_keyhole,robust_peak_dWdt_tau,robust_peak_minus_first_keyhole_ms,robust_peak_precedes_first_observed_keyhole,result_type,warning_threshold_fitted
P-389p770210211_VX-0p908238681403_LS-4p3221586392e-05_ST-323p581279452_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31151194261e-06_H-8b3ff695c9,1,True,23077.0,0.0004196209,0.2343795593402822,0.015,-0.2238921529999999,True,0.01,-0.22899500199999995,True,descriptive_peak_timing_not_learned_warning,False
P-391p91054261_VX-0p798138981731_LS-4p10405950637e-05_ST-398p591592241_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p04421123819e-06_H-eac21b41c2,1,True,24265.0,0.0004412305,0.2024102634464779,0.325,0.1422404299999999,False,0.005,-0.22905441799999987,True,descriptive_peak_timing_not_learned_warning,False
P-394p301389958_VX-0p965504599187_LS-4p1845661123e-05_ST-386p588977515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p99647604691e-06_H-aae9cbe76f,1,True,23357.0,0.000424714,0.2649288568352956,0.115,-0.1438053875,True,0.01,-0.244516925,True,descriptive_peak_timing_not_learned_warning,False
P-399p256835613_VX-0p656366203199_LS-4p10009761764e-05_ST-341p515144691_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p34973948918e-06_H-3c3f1974a9,1,True,26272.0,0.0004777376,0.1613232087052555,0.24,0.111084572,False,0.04,-0.17129748799999986,True,descriptive_peak_timing_not_learned_warning,False
P-400p342090514_VX-0p84724542505_LS-4p08786684736e-05_ST-395p5494372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69388805225e-06_H-39de960155,1,True,25677.0,0.0004669146,0.2492297072992959,0.165,-0.0920570645,True,0.005,-0.2669256565,True,descriptive_peak_timing_not_learned_warning,False
P-404p674556304_VX-0p544519129004_LS-4p43635630435e-05_ST-368p185027338_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p85941438245e-06_H-4d45e0bf17,1,True,28260.0,0.0005138581,0.127440923145135,0.8250000000000001,1.19066024,False,0.01,-0.20045934799999984,True,descriptive_peak_timing_not_learned_warning,False
P-406p350963493_VX-0p484226878203_LS-4p36170368492e-05_ST-370p554621114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p96252133074e-06_H-778de5c076,1,True,31783.0,0.0005778386,0.1382773397701555,0.97,1.469171791,False,0.005,-0.2354237985,True,descriptive_peak_timing_not_learned_warning,False
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,1,True,68679.0,0.001247899,0.4515296336098694,0.59,0.215127672,False,0.0,-0.7014967999999999,True,descriptive_peak_timing_not_learned_warning,False
P-409p380479822_VX-0p571506017722_LS-4p19025576691e-05_ST-383p379922389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p44106702891e-06_H-86665dad6a,1,True,26460.0,0.0004811573,0.1207763975690872,0.38,0.4208637239999999,False,0.0,-0.19608709999999985,True,descriptive_peak_timing_not_learned_warning,False
P-413p007329362_VX-0p214914258115_LS-4p25156575745e-05_ST-342p625619244_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p24467219873e-05_H-c87ffcf9e3,1,True,59294.0,0.00107746,0.2435783799602341,0.105,-0.1873324989999998,True,0.095,-0.20085066099999982,True,descriptive_peak_timing_not_learned_warning,False
