tau,has_keyhole,metric,median,q25,q75,n
0.135,0,width_um,131.564242771978,117.79190347865284,137.42732233653842,280
0.135,0,dWdt_um_per_ms,-381.0878054606733,-1211.5170568879007,224.45328803180345,280
0.135,0,dWdt_robust_um_per_ms,540.1037422083567,385.8118841199561,722.2279712297212,280
0.135,1,width_um,133.55478806181318,116.61995304441142,136.14652053208675,70
0.135,1,dWdt_um_per_ms,513.3048899178282,36.249547155942274,973.0216982908219,70
0.135,1,dWdt_robust_um_per_ms,417.24252073343894,310.79629920775153,570.4005322829023,70
0.14,0,width_um,135.44755107692305,121.02533696238842,141.57415269505492,280
0.14,0,dWdt_um_per_ms,-550.7543795561481,-1149.7140291028245,140.7884024697619,280
0.14,0,dWdt_robust_um_per_ms,551.5655843329187,384.92591211388094,712.4383021626519,280
0.14,1,width_um,137.23368182967033,119.87147795748588,139.62504702747248,70
0.14,1,dWdt_um_per_ms,316.96117837174495,-103.90457608718904,753.3118157612655,70
0.14,1,dWdt_robust_um_per_ms,403.0647187175397,308.2306515983148,545.5389281431251,70
0.145,0,width_um,138.7010166868132,123.02794867817681,145.7816985164835,280
0.145,0,dWdt_um_per_ms,-651.5043850383788,-1253.0042815860882,165.3894344600862,280
0.145,0,dWdt_robust_um_per_ms,537.2445183414784,363.06324544013495,697.6845056456993,280
0.145,1,width_um,140.7706408008242,121.6238299752747,143.28479044554066,70
0.145,1,dWdt_um_per_ms,130.11120187463007,-221.0507016849199,764.4447140668502,70
0.145,1,dWdt_robust_um_per_ms,390.14309737542624,301.65874432683916,532.856327763494,70
0.15,0,width_um,142.5169332142857,126.48759522767287,150.21508979395605,280
0.15,0,dWdt_um_per_ms,-673.0660255689096,-1340.8898004221278,68.20657682358001,280
