budget,model,metric,mean,ci_lower,ci_upper,repeat_blocks
20,M3,p90,0.96552206544407,0.9410200883775915,0.9856249855984213,20
20,M3,p99,0.9999876396227478,0.9999629388675766,0.9999999900003333,20
24,H,brier_score,0.03704521318374772,0.0353939843774589,0.03873211093115477,20
24,H,log_loss,0.2969673258177531,0.2401515705850232,0.35779247028035766,20
24,H,ECE_10_equal_width,0.03307468960328731,0.029934895584566898,0.03634475449258263,20
24,H,accuracy,0.9553086419753086,0.9532098765432098,0.9572839506172839,20
24,H,balanced_accuracy,0.918239395939924,0.9151159432249546,0.9211711658276945,20
24,H,fraction_p_0_01,0.5753086419753086,0.5245679012345679,0.624567901234568,20
24,H,fraction_p_01_10,0.15925925925925927,0.12493827160493827,0.194320987654321,20
24,H,fraction_p_10_90,0.13518518518518519,0.11049382716049383,0.1611111111111111,20
24,H,fraction_p_90_99,0.03790123456790123,0.031481481481481485,0.04395061728395062,20
24,H,fraction_p_99_1,0.09234567901234567,0.07839506172839507,0.10666666666666665,20
24,H,p01,5.9553323890506435e-08,1e-12,1.786579716715193e-07,20
24,H,p10,1.1078586504346547e-05,1e-12,3.323543066805583e-05,20
24,H,p50,0.007788572483108942,0.0037007058242234862,0.012296406949005283,20
24,H,p90,0.9666090229208532,0.9501127404568962,0.9815169497257261,20
24,H,p99,0.9999056527362633,0.9997169685855397,0.9999999999670779,20
24,M3,brier_score,0.037717788944990775,0.03580577380644977,0.039601652898483546,20
24,M3,log_loss,0.2874612302116784,0.23915893404550265,0.33977353055774234,20
24,M3,ECE_10_equal_width,0.03574379834458756,0.03189655994136517,0.03969185787420866,20
24,M3,accuracy,0.9562962962962963,0.9535802469135802,0.9588888888888889,20
24,M3,balanced_accuracy,0.9233836029047697,0.9192740138636738,0.9275275932497112,20
24,M3,fraction_p_0_01,0.5571604938271605,0.5062962962962964,0.6070370370370372,20
24,M3,fraction_p_01_10,0.15703703703703703,0.12617283950617286,0.18938580246913578,20
24,M3,fraction_p_10_90,0.15999999999999998,0.12913271604938273,0.19049382716049384,20
24,M3,fraction_p_90_99,0.03641975308641975,0.03049382716049383,0.04234567901234568,20
24,M3,fraction_p_99_1,0.08938271604938272,0.07518518518518517,0.1037037037037037,20
24,M3,p01,3.8968349694767957e-10,1e-12,1.1670504908430392e-09,20
24,M3,p10,1.5362986949442002e-05,1e-12,4.608895884832601e-05,20
24,M3,p50,0.010095433436433645,0.005083771716926039,0.015665570282753793,20
24,M3,p90,0.9587534469335562,0.9383278605521933,0.9773798070193291,20
24,M3,p99,0.9998599425635115,0.9995798476912116,0.9999999900003333,20
32,H,brier_score,0.03244651971740439,0.0314447305295182,0.03351052495590314,20
32,H,log_loss,0.1545161924067094,0.13057606605681665,0.18485320292286248,20
32,H,ECE_10_equal_width,0.027539542607320687,0.02462783190495769,0.03075709934052323,20
32,H,accuracy,0.9606172839506172,0.9593827160493825,0.9618518518518518,20
32,H,balanced_accuracy,0.9252176514276285,0.9223541425977885,0.9277727347747152,20
32,H,fraction_p_0_01,0.5382716049382716,0.4890123456790123,0.5856790123456791,20
32,H,fraction_p_01_10,0.18419753086419752,0.15024691358024692,0.2185185185185185,20
32,H,fraction_p_10_90,0.15358024691358024,0.13209876543209875,0.1759259259259259,20
32,H,fraction_p_90_99,0.046543209876543215,0.039753086419753086,0.05345679012345679,20
32,H,fraction_p_99_1,0.0774074074074074,0.06506172839506172,0.08925925925925926,20
32,H,p01,1.4305856686960875e-06,3.7378868883073624e-11,4.289267975881614e-06,20
32,H,p10,4.027597998271668e-05,5.719029851409521e-07,0.00011505470609292919,20
32,H,p50,0.010463841134003941,0.005633464789521517,0.015798764672543375,20
32,H,p90,0.9561176342026598,0.93889131021678,0.9718146525263167,20
32,H,p99,0.9998185998413625,0.9995455951039002,0.9999914328074907,20
32,M3,brier_score,0.03185649445284593,0.03040262292304635,0.03334495157311422,20
32,M3,log_loss,0.15680423813841413,0.12933111468633635,0.1907118646696184,20
32,M3,ECE_10_equal_width,0.033254143748719114,0.028327925172425716,0.038564916318478144,20
32,M3,accuracy,0.9622222222222222,0.9606172839506172,0.9639506172839504,20
32,M3,balanced_accuracy,0.9280667189305166,0.9245327199207791,0.9316760191450737,20
32,M3,fraction_p_0_01,0.5158024691358023,0.46271604938271604,0.5676543209876542,20
32,M3,fraction_p_01_10,0.18382716049382714,0.1523456790123457,0.2176543209876543,20
32,M3,fraction_p_10_90,0.18407407407407406,0.15629629629629632,0.21222222222222217,20
32,M3,fraction_p_90_99,0.042716049382716045,0.03679012345679013,0.048518518518518516,20
32,M3,fraction_p_99_1,0.07358024691358026,0.061358024691358024,0.08506172839506174,20
32,M3,p01,1.7132299020615678e-07,1e-12,5.139669705721072e-07,20
32,M3,p10,4.6514142547680164e-05,1.0064016626759416e-07,0.00013791973765480604,20
32,M3,p50,0.014635430678094915,0.008036320449371408,0.02217138552345683,20
32,M3,p90,0.944147474180825,0.921409493948779,0.964720952983118,20
32,M3,p99,0.9997583714675363,0.9993963971477942,0.9999972059058685,20
40,H,brier_score,0.03221613344917842,0.031215777819220736,0.03337540117899012,20
40,H,log_loss,0.13251554776928945,0.11492946496453446,0.1623377538218858,20
40,H,ECE_10_equal_width,0.030444975319840407,0.02639621607669865,0.03465273884212623,20
40,H,accuracy,0.9609876543209875,0.9596296296296296,0.9623456790123456,20
40,H,balanced_accuracy,0.9270465423337185,0.9243821175111403,0.9295531440831821,20
40,H,fraction_p_0_01,0.48666666666666664,0.4487654320987654,0.5239506172839506,20
40,H,fraction_p_01_10,0.21629629629629626,0.19074074074074074,0.24136111111111108,20
40,H,fraction_p_10_90,0.1798765432098765,0.16086419753086417,0.2006203703703704,20
40,H,fraction_p_90_99,0.055185185185185184,0.04975308641975308,0.06037037037037037,20
40,H,fraction_p_99_1,0.0619753086419753,0.0528395061728395,0.07111111111111112,20
