simulation_id,population_row_index,P_W,VX_m_per_s,LS_m,ST_K,has_keyhole,partition,XI_m,XF_m,XL_m,TE_s,DT_s,material,folder_hash,domain_max_x_m,observation_duration_s,max_depth_um,first_keyhole_timestep,keyhole_frame_count,configuration_group,domain_mapping_expected_m,domain_mapping_absolute_error_m,t_90pct_domain_s,observation_completion_ratio,observation_ends_before_90pct_domain_from_TE,observation_ends_before_90pct_domain,TE_vs_time_dat_flag_mismatch
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,20,148.299467422,0.674162518859,5.7557139752e-05,331.520012414,False,new-data,0.0002,0.0014,0.0012,0.0021,7.15572353559e-06,TI64,e73b90164d,0.001212,0.0021,55.35622,,0,CFG_MAIN,0.001212,0.0,0.0016180074825965505,1.2978926380673816,False,False,False
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,21,150.071418192,0.423845414489,8.67749479825e-05,322.128190627,False,new-data,0.0002,0.0014,0.0012,0.0021,1.1381792602e-05,TI64,2afbe2208b,0.001212,0.0021,58.95469,,0,CFG_MAIN,0.001212,0.0,0.002573579806956504,0.8159840212934543,True,True,False
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,22,155.252053768,0.916931554055,7.35634948929e-05,366.816583574,False,new-data,0.0002,0.0014,0.0012,0.0021,5.26115671522e-06,TI64,1d842653b1,0.001212,0.0021,43.398149999999994,,0,CFG_MAIN,0.001212,0.0,0.0011896198742164467,1.765269768532728,False,False,False
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,23,155.610380822,0.863747905944,4.82199969556e-05,303.817651114,False,new-data,0.0002,0.0014,0.0012,0.0021,5.58510251639e-06,TI64,44aa3a8888,0.001212,0.0021,51.09016,,0,CFG_MAIN,0.001212,0.0,0.001262868474115549,1.662881007042904,False,False,False
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,24,157.183722649,0.714259673467,7.38607203139e-05,347.368293375,False,new-data,0.0002,0.0014,0.0012,0.0021,6.75401507634e-06,TI64,add9572a86,0.001212,0.0021,51.23838,,0,CFG_MAIN,0.001212,0.0,0.00152717567646691,1.3750873801619912,False,False,False
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,25,160.605564338,0.585171267024,4.89218084001e-05,323.833105745,False,new-data,0.0002,0.0014,0.0012,0.0021,8.24394647322e-06,TI64,0602c4a780,0.001212,0.0021,87.34396000000001,,0,CFG_MAIN,0.001212,0.0,0.0018640696518601662,1.1265673457557754,False,False,False
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,26,162.142815649,0.926926325143,6.49234891537e-05,377.454931887,False,new-data,0.0002,0.0014,0.0012,0.0021,5.20442722594e-06,TI64,eed8ed7ef3,0.001212,0.0021,47.2123,,0,CFG_MAIN,0.001212,0.0,0.001176792556659472,1.784511627062981,False,False,False
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,27,163.562272254,0.729793018519,5.10150522361e-05,318.261957537,False,new-data,0.0002,0.0014,0.0012,0.0021,6.6102586358e-06,TI64,eed8ed7ef3,0.001212,0.0021,58.92024,,0,CFG_MAIN,0.001212,0.0,0.0014946703686116467,1.4049920598550605,False,False,False
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,28,164.187091551,0.507792014735,6.92164167976e-05,301.020288893,False,new-data,0.0002,0.0014,0.0012,0.0021,9.50018996564e-06,TI64,c15424829d,0.001212,0.0021,66.76807,,0,CFG_MAIN,0.001212,0.0,0.0021481235788421227,0.9775973881036852,True,True,False
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,29,164.607131174,0.867199563125,5.32762751968e-05,314.058214573,False,new-data,0.0002,0.0014,0.0012,0.0021,5.56287250149e-06,TI64,0e4c2fc094,0.001212,0.0021,51.07507,,0,CFG_MAIN,0.001212,0.0,0.0012578419620845333,1.6695261116267874,False,False,False
