run_id,repeat,fold,budget,C,coefficient,intercept,threshold_log_h,perfect_h_separation,diagnostic_only
w85__r13_f01,13,1,20,10000.0,31.686108977421142,-14.1585652980466,20.684958217738085,False,True
w85__r13_f01,13,1,20,1000000.0,33.98096670981878,-15.184507120623842,20.68496836460841,False,True
w85__r13_f01,13,1,24,1.0,1.8126306744753635,-0.8772517586339932,20.721678130212904,False,True
w85__r13_f01,13,1,24,10.0,4.339561997957298,-1.7624763371800884,20.67335914377401,False,True
w85__r13_f01,13,1,24,100.0,9.923635977993209,-3.9770260409931786,20.670019768341117,False,True
w85__r13_f01,13,1,24,1000.0,15.160547116147873,-6.035782321569103,20.66838148664817,False,True
w85__r13_f01,13,1,24,10000.0,16.361866079886255,-6.501416568515642,20.66790184533286,False,True
w85__r13_f01,13,1,24,1000000.0,16.5159357969354,-6.561034735052095,20.667841633517032,False,True
w85__r13_f01,13,1,32,1.0,1.7208861988515813,-0.8274229742897503,20.717214520106495,False,True
w85__r13_f01,13,1,32,10.0,3.607368771999667,-1.3611632832416354,20.66118827773211,False,True
w85__r13_f01,13,1,32,100.0,5.121441335232553,-1.8149391127803538,20.6487641610918,False,True
w85__r13_f01,13,1,32,1000.0,5.484377381761442,-1.9255726108877647,20.646988834097492,False,True
w85__r13_f01,13,1,32,10000.0,5.526861303084556,-1.938545426961575,20.64679846686854,False,True
w85__r13_f01,13,1,32,1000000.0,5.53161748684493,-1.9399980146413491,20.646777361019662,False,True
w85__r13_f01,13,1,40,1.0,1.8806238739643026,-0.8467433936059937,20.696794140786544,False,True
w85__r13_f01,13,1,40,10.0,3.8972768114779046,-1.3602732863988098,20.647196467784795,False,True
w85__r13_f01,13,1,40,100.0,5.047031268146489,-1.6674534910610708,20.638058109700435,False,True
w85__r13_f01,13,1,40,1000.0,5.244816398314358,-1.7208306701605427,20.6369399626634,False,True
w85__r13_f01,13,1,40,10000.0,5.266216457992478,-1.7266106030627624,20.6368244442931,False,True
w85__r13_f01,13,1,40,1000000.0,5.268590283595911,-1.7272517986182716,20.636811692762446,False,True
w85__r13_f01,13,1,60,1.0,2.3121995613112456,-1.0352562796419829,20.67601774962866,False,True
w85__r13_f01,13,1,60,10.0,3.931079714563797,-1.3922436145918407,20.636914860264696,False,True
w85__r13_f01,13,1,60,100.0,4.441259559872266,-1.5044069132337727,20.63046737289157,False,True
w85__r13_f01,13,1,60,1000.0,4.50716772501784,-1.5188473855413904,20.629736321363104,False,True
w85__r13_f01,13,1,60,10000.0,4.513968213281919,-1.5203370746383325,20.629662078024698,False,True
w85__r13_f01,13,1,60,1000000.0,4.514718688166597,-1.520501467551881,20.629653898226138,False,True
w85__r13_f01,13,1,80,1.0,2.5469895725005545,-0.8255000690184849,20.68121398521438,False,True
w85__r13_f01,13,1,80,10.0,3.576628530216152,-0.968496767595704,20.658353538398273,False,True
w85__r13_f01,13,1,80,100.0,3.8090429468291176,-0.9974176205665859,20.654525270001933,False,True
w85__r13_f01,13,1,80,1000.0,3.8359702710705776,-1.0007089292065134,20.654105074482242,False,True
w85__r13_f01,13,1,80,10000.0,3.8387072404793092,-1.0010428736443409,20.654062628387745,False,True
w85__r13_f01,13,1,80,1000000.0,3.8390088081131033,-1.0010796620987816,20.65405795451654,False,True
w85__r13_f02,13,2,16,1.0,1.8515673074576788,-0.8969505544773371,20.64169064044098,True,True
w85__r13_f02,13,2,16,10.0,4.4866564232377435,-1.8608791941289324,20.579741517181493,True,True
w85__r13_f02,13,2,16,100.0,8.634909105652834,-3.1734659534922587,20.53773376528737,True,True
w85__r13_f02,13,2,16,1000.0,13.896396908467063,-4.72959879185686,20.513575611703626,True,True
w85__r13_f02,13,2,16,10000.0,19.499701233661728,-6.36917007220633,20.501377687330795,True,True
w85__r13_f02,13,2,16,1000000.0,21.55260662961984,-6.972393741036367,20.49860049107489,True,True
w85__r13_f02,13,2,20,1.0,1.8310772942310305,-1.4133706230600016,20.92334027683671,True,True
w85__r13_f02,13,2,20,10.0,4.606281447734491,-2.9834834048876075,20.82229268289164,True,True
w85__r13_f02,13,2,20,100.0,9.770022890647251,-5.883497709115468,20.785268654354372,True,True
w85__r13_f02,13,2,20,1000.0,27.669257757808143,-15.126850224640508,20.74011021356011,True,True
w85__r13_f02,13,2,20,10000.0,74.38820418723064,-39.745828429236774,20.73002046905557,True,True
w85__r13_f02,13,2,20,1000000.0,177.56485211666308,-94.55976710256074,20.72858318338518,True,True
w85__r13_f02,13,2,24,1.0,1.845958174586206,-0.9399979599787169,20.749163996357975,False,True
w85__r13_f02,13,2,24,10.0,4.427801164964535,-2.0154436767292383,20.708190401314294,False,True
w85__r13_f02,13,2,24,100.0,9.687029866528059,-4.307366061174053,20.700209189657052,False,True
w85__r13_f02,13,2,24,1000.0,22.150355518804787,-9.79801212813735,20.69845634083068,False,True
w85__r13_f02,13,2,24,10000.0,31.166116372732972,-13.798782543508072,20.698766011739075,False,True
