challenger,subset,metric,effect,mean,ci_low,ci_high,positive_repeat_blocks
M3_T3,B1_q30,roc_auc,MODEL,-0.024045880720277833,-0.027988612122680095,-0.020223313647642238,0
M3_T3,B1_q30,roc_auc,PATH,-0.010305232662229172,-0.013300522428080684,-0.007436000848689153,1
M3_T3,B1_q30,pr_auc,TOTAL,-0.05263242249100827,-0.06211772973376941,-0.043823308758568075,0
M3_T3,B1_q30,pr_auc,MODEL,-0.038041779247555266,-0.04431589116239436,-0.03227865794344573,0
M3_T3,B1_q30,pr_auc,PATH,-0.014590643243453,-0.018238399807468823,-0.010780796794052722,1
M3_T3,full81,accuracy,TOTAL,-0.010981867283950642,-0.013049792631172908,-0.009081741898148192,0
M3_T3,full81,accuracy,MODEL,-0.0074083719135802665,-0.008758234471450655,-0.006214783468364195,0
M3_T3,full81,accuracy,PATH,-0.003573495370370375,-0.0047077787422839445,-0.0024995056905864274,1
M3_T3,full81,balanced_accuracy,TOTAL,-0.017894701108903517,-0.0222795459656365,-0.013706668287014561,1
M3_T3,full81,balanced_accuracy,MODEL,-0.00977936653481778,-0.012138401791771648,-0.007754415391336719,0
M3_T3,full81,balanced_accuracy,PATH,-0.008115334574085736,-0.010906536923994079,-0.005413534322098932,2
M3_T3,full81,keyhole_recall,TOTAL,-0.02865513392857142,-0.03762951078869046,-0.0193586216517857,1
M3_T3,full81,keyhole_recall,MODEL,-0.013496651785714278,-0.017941294642857143,-0.009453864397321418,1
M3_T3,full81,keyhole_recall,PATH,-0.01515848214285714,-0.021788546316964273,-0.008910942150297614,2
M3_T3,full81,roc_auc,TOTAL,-0.015756959924403978,-0.01978746606607791,-0.012204007059029834,0
M3_T3,full81,roc_auc,MODEL,-0.010485383637144376,-0.01264436523164078,-0.00853825271303118,0
M3_T3,full81,roc_auc,PATH,-0.005271576287259602,-0.007247177549078191,-0.00351863038786724,1
M3_T3,full81,pr_auc,TOTAL,-0.04047816963240721,-0.04794939820696181,-0.0333987331084973,0
M3_T3,full81,pr_auc,MODEL,-0.027668822377108642,-0.031886415081552544,-0.02354562559805384,0
M3_T3,full81,pr_auc,PATH,-0.01280934725529857,-0.016341276463830632,-0.009410255944891211,1
