budget,log_P_median,log_P_q25,log_P_q75,log_P_physics,log_VX_median,log_VX_q25,log_VX_q75,log_VX_physics,log_LS_median,log_LS_q25,log_LS_q75,log_LS_physics
36,1.0,1.0,1.0,1.0,-0.5190903017397694,-0.5894602221829268,-0.46309124319533246,-0.5,-1.368455801220285,-1.546087226182547,-1.1826750295395954,-1.5
37,1.0,1.0,1.0,1.0,-0.5367452504484553,-0.6030127990849796,-0.4713648116612683,-0.5,-1.37962655064048,-1.5629065581442534,-1.1708326194162955,-1.5
38,1.0,1.0,1.0,1.0,-0.533385035313205,-0.6076931576341281,-0.46879339471553166,-0.5,-1.3865749507033849,-1.5380822839054207,-1.2008168208429888,-1.5
39,1.0,1.0,1.0,1.0,-0.5430281594765941,-0.6025748877791981,-0.476220812029194,-0.5,-1.3714898267030808,-1.5435430043039111,-1.2136555343975552,-1.5
40,1.0,1.0,1.0,1.0,-0.5421813736047763,-0.6042050980950142,-0.49146283176328703,-0.5,-1.3974888567344648,-1.5494668492935924,-1.2396490475655026,-1.5
41,1.0,1.0,1.0,1.0,-0.5451161241021559,-0.5931935592178978,-0.49914792960968957,-0.5,-1.372747552264444,-1.5604748916569302,-1.241964258819189,-1.5
42,1.0,1.0,1.0,1.0,-0.5522395140588506,-0.5971202448272978,-0.49664216718538234,-0.5,-1.379151508737459,-1.5170461827078148,-1.2663733765975496,-1.5
43,1.0,1.0,1.0,1.0,-0.5566385562262306,-0.6036285506845684,-0.5063935792376536,-0.5,-1.395436467011234,-1.5396501009636865,-1.2449663803802111,-1.5
44,1.0,1.0,1.0,1.0,-0.5547533599294687,-0.5931468782703442,-0.5127215106350291,-0.5,-1.4042682229055312,-1.533075201581963,-1.2697389924277835,-1.5
45,1.0,1.0,1.0,1.0,-0.5592452516143904,-0.5904113228295842,-0.5093874400289647,-0.5,-1.4198727417460424,-1.5481579181286564,-1.2905985590202276,-1.5
46,1.0,1.0,1.0,1.0,-0.5528341958420799,-0.5906127437849603,-0.49928410951775615,-0.5,-1.4232321341239698,-1.5683937818305247,-1.3130444290047696,-1.5
47,1.0,1.0,1.0,1.0,-0.5486384285297277,-0.5941628372851746,-0.4905883218417,-0.5,-1.4178485386204085,-1.5694255065115823,-1.3142678609051457,-1.5
48,1.0,1.0,1.0,1.0,-0.546319261368096,-0.5913072720420034,-0.47825053835414383,-0.5,-1.434146645732465,-1.5745215087783906,-1.3086640896766737,-1.5
49,1.0,1.0,1.0,1.0,-0.5465312083619374,-0.5863835388054889,-0.49414057226278524,-0.5,-1.4318812193069943,-1.551334055537544,-1.3193849871207588,-1.5
