simulation_id,numeric_simulation_id,P,VX,LS,ST,target_value_um,target_definition,target,target_label,target_unit,partition,dataset_revision,eligibility_source_fields,flag_primary_window_unstable_week6_rule
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,32,167.350234557,0.509305540745,77.92842608950001,367.465417979,190.8829,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,33,168.279672268,0.662944494492,85.1138696034,361.222757169,178.92244000000002,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,34,172.471893954,0.300060565388,54.5268436948,394.546009672,194.29508,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,35,173.043282634,0.866796851528,69.63906836139999,349.021338305,147.52656,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,36,173.906668607,0.677544388934,86.2016404031,334.396108383,180.40607,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,37,177.821134596,0.63969291749,87.6195222961,320.228793407,186.60878,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,38,185.872045369,0.416268682161,71.55646921440001,371.982346013,205.96235,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,39,187.255870651,0.828194463092,46.4611349328,375.783913497,123.747095,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,40,198.376734591,0.636800402216,84.0585875992,361.411435367,188.0134,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,41,199.601335125,0.449852506485,57.030843283,364.706449651,183.432165,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
