run_id,repeat,fold,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count,fit_status,kernel,residual_sd,length_scale,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,length_scale_lower_bound_hit,length_scale_upper_bound_hit,convergence_warning,warning_text
w85__r03_f01,3,1,physics_ridge_residual_gp,B1_q20,0.8499999999999999,0.8,0.8823529411764706,0.8,0.6,1.0,2,0,12,3,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.094, physics_prior_sd=5)",1.0,1.094177970597694,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f02,3,2,physics_ridge_residual_gp,full81,0.995959595959596,0.9844444444444445,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.241, physics_prior_sd=5)",1.0,1.2407208472246998,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f02,3,2,physics_ridge_residual_gp,B1_q30,0.9682539682539683,0.9367346938775509,0.92,0.8571428571428572,0.7142857142857143,1.0,2,0,18,5,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.241, physics_prior_sd=5)",1.0,1.2407208472246998,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f02,3,2,physics_ridge_residual_gp,B1_q20,0.9393939393939394,0.9166666666666666,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0,11,4,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.241, physics_prior_sd=5)",1.0,1.2407208472246998,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f03,3,3,physics_ridge_residual_gp,full81,0.9957356076759062,0.9786891679748823,0.9506172839506173,0.8853944562899787,0.7857142857142857,0.9850746268656716,3,1,66,11,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.58, physics_prior_sd=5)",1.0,1.5802986518270796,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f03,3,3,physics_ridge_residual_gp,B1_q30,0.9722222222222222,0.9467813051146385,0.84,0.8020833333333333,0.6666666666666666,0.9375,3,1,15,6,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.58, physics_prior_sd=5)",1.0,1.5802986518270796,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f03,3,3,physics_ridge_residual_gp,B1_q20,0.95,0.8766666666666667,0.8235294117647058,0.7583333333333333,0.6,0.9166666666666666,2,1,11,3,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.58, physics_prior_sd=5)",1.0,1.5802986518270796,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f04,3,4,physics_ridge_residual_gp,full81,0.9776119402985075,0.8887225007566623,0.9382716049382716,0.9344349680170576,0.9285714285714286,0.9402985074626866,1,4,63,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.2865, length_scale=0.5812, physics_prior_sd=5)",0.28650333778239334,0.581178476600606,False,False,False,False,False,
w85__r03_f04,3,4,physics_ridge_residual_gp,B1_q30,0.8680555555555556,0.7119099491648512,0.8,0.8194444444444444,0.8888888888888888,0.75,1,4,12,8,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.2865, length_scale=0.5812, physics_prior_sd=5)",0.28650333778239334,0.581178476600606,False,False,False,False,False,
w85__r03_f04,3,4,physics_ridge_residual_gp,B1_q20,0.8285714285714285,0.6881880024737167,0.8235294117647058,0.8285714285714285,0.8571428571428571,0.8,1,2,8,6,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.2865, length_scale=0.5812, physics_prior_sd=5)",0.28650333778239334,0.581178476600606,False,False,False,False,False,
