experiment_name,population_row_index,has_keyhole,transition_count,max_positive_delta_W,diagnostic_argmax_delta_W_fraction,diagnostic_first_W_um,min_delta_W,median_positive_delta_W,fraction_positive_delta_W,total_positive_delta_W,max_positive_width_rate,median_positive_width_rate,fraction_positive_width_rate,resolution_points
P-143p879945116_VX-0p336279357485_LS-6p76007351295e-05_ST-398p207663754_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p91595257833e-05_H-bf889bf790,204,0,50,25.60780393846149,0.0,4.0,-1.4682618655555189,2.1054009586842,0.8,180.9314887213355,1691.002680773629,139.02944093894158,0.8,51
P-143p909481867_VX-0p917293492006_LS-5p50242100517e-05_ST-352p206869428_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25908081225e-06_H-cf6d926251,205,0,50,61.41282847472523,0.0,4.0,-3.9712830791209086,0.4870303000000007,0.56,133.0002978295346,3065.612592838969,24.311634195266176,0.56,51
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,19,0,50,49.2006752087912,0.0,4.0,-0.7838062577379219,0.8089899120879096,0.64,167.2389616347452,1454.0722569655372,23.90881390021716,0.64,51
P-144p684844876_VX-0p221020126644_LS-8p32765690701e-05_ST-337p418493583_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p18266122469e-05_H-73ae961aa0,206,0,50,34.28445618342548,0.0,4.0,-1.5475826111110678,3.099177827777808,0.8,241.31718329239757,1241.1598290747372,112.19588849294698,0.8,51
P-144p999955433_VX-0p569412101686_LS-7p52189895652e-05_ST-349p795043891_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p47210761544e-06_H-24e0a43587,207,0,50,69.01719153846157,0.0,4.0,-2.87029481111108,1.4559115520004724,0.56,185.63900604579015,2124.6067467001094,44.818391433024935,0.56,51
P-145p199982561_VX-0p253198682602_LS-7p7513591008e-05_ST-398p693210886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90527081478e-05_H-2d34966482,359,0,50,45.1756296714286,0.0,4.0,-3.2550574978020705,2.5534677096491123,0.8,235.68186598903023,1540.2135079982797,87.0576788247038,0.8,51
P-145p536707456_VX-0p311971481812_LS-7p55813970315e-05_ST-356p422554756_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p54633384276e-05_H-f404b6f8f4,209,0,50,54.47575585494505,0.0,4.0,-2.1861004222222107,2.744158066666685,0.72,225.5403965959063,1722.523261091285,86.77027106390415,0.72,51
P-146p427721311_VX-0p978546391515_LS-4p61745657385e-05_ST-377p807319924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p92988441309e-06_H-c321cc4e90,210,0,50,55.0620129054945,0.0,4.0,-2.786576391208797,0.5028072355898416,0.44,121.46044760789755,2940.273768969279,26.849561932837382,0.44,51
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,20,0,50,59.39097021978024,0.0,4.0,-2.0045097152449785,0.8928790945055027,0.54,157.4470044982949,2172.2857522540435,32.657970198200466,0.54,51
P-149p217972816_VX-0p206404715799_LS-4p87379527164e-05_ST-365p118947745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p33721433367e-05_H-b40dbd8ddd,211,0,50,28.891485799999955,0.0,4.0,-1.6561272711111314,2.3890687611110764,0.82,189.42787578374273,1121.4539210945368,92.73425909831495,0.82,51
P-149p254341218_VX-0p887957223036_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p10571289147e-06_H-306f9d252b,212,0,50,88.4431737040132,0.0,4.0,-1.046908000824132,0.3605554068209642,0.62,116.67854003950843,3603.5764762355643,14.690664389179576,0.62,51
P-149p381043177_VX-0p292260061908_LS-7p79529508561e-05_ST-384p444199936_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p65062601148e-05_H-6464f5e6a2,360,0,50,53.98703335164853,0.0,4.0,-1.8954396198830068,2.5624083333333942,0.76,231.2332456871344,1740.0437807227277,82.5883996078611,0.76,51
P-149p73987868_VX-0p504680707931_LS-6p9723584777e-05_ST-320p536129041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p55875770008e-06_H-95ed9fb76f,213,0,50,70.27586472527467,0.0,0.0,-1.6610195699999792,0.7794443233333368,0.58,186.42045170759368,1982.195204612623,21.98494185754517,0.58,51
P-149p779509657_VX-0p251536582152_LS-4p84927831067e-05_ST-381p35096431_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p91786044071e-05_H-6af407d4ba,214,0,50,32.867898857142826,0.0,4.0,-1.240085053333246,2.3936236355555423,0.76,188.7179025476023,1147.960141657032,83.60085747156924,0.76,51
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,21,0,50,71.49222556703296,0.0,4.0,-2.102272696666631,1.1412331555555397,0.66,212.15696596695938,2080.903545861988,33.217543603032965,0.66,51
