run_id,repeat,fold,feature,subset,learned_threshold,learned_direction,direction_is_below,train_n,test_n,balanced_accuracy,accuracy,keyhole_recall,conduction_recall,true_negative,false_positive,false_negative,true_positive,feature_roc_auc,feature_pr_auc
w85__r13_f03,13,3,max_positive_width_rate,q20,3845.533084897931,below,1,281,15,0.3392857142857143,0.3333333333333333,0.42857142857142855,0.25,2,6,4,3,0.3214285714285714,0.42915893630179347
w85__r13_f04,13,4,max_positive_delta_W,full,32.40799515411522,below,1,281,69,0.6272727272727272,0.4057971014492754,1.0,0.2545454545454545,14,41,0,14,0.7285714285714285,0.4605212869918752
w85__r13_f04,13,4,max_positive_delta_W,q30,32.40799515411522,below,1,281,22,0.5714285714285714,0.45454545454545453,1.0,0.14285714285714285,2,12,0,8,0.5803571428571428,0.5285679791484745
w85__r13_f04,13,4,max_positive_delta_W,q20,32.40799515411522,below,1,281,15,0.6111111111111112,0.5333333333333333,1.0,0.2222222222222222,2,7,0,6,0.6111111111111112,0.5666666666666667
w85__r13_f04,13,4,max_positive_width_rate,full,4579.913474253048,below,1,281,69,0.6837662337662338,0.6231884057971014,0.7857142857142857,0.5818181818181818,32,23,3,11,0.7675324675324675,0.6346246526255371
w85__r13_f04,13,4,max_positive_width_rate,q30,4579.913474253048,below,1,281,22,0.5982142857142857,0.5909090909090909,0.625,0.5714285714285714,8,6,3,5,0.6696428571428571,0.6432402768799828
w85__r13_f04,13,4,max_positive_width_rate,q20,4579.913474253048,below,1,281,15,0.5277777777777778,0.5333333333333333,0.5,0.5555555555555556,5,4,3,3,0.5925925925925926,0.5805194805194805
w85__r13_f05,13,5,max_positive_delta_W,full,32.40799515411522,below,1,280,70,0.6242424242424243,0.4857142857142857,0.8666666666666667,0.38181818181818183,21,34,2,13,0.5272727272727273,0.2510656865599356
w85__r13_f05,13,5,max_positive_delta_W,q30,32.40799515411522,below,1,280,24,0.5071428571428571,0.4583333333333333,0.8,0.21428571428571427,3,11,2,8,0.3214285714285714,0.41030234385497544
w85__r13_f05,13,5,max_positive_delta_W,q20,32.40799515411522,below,1,280,17,0.5763888888888888,0.5882352941176471,0.7777777777777778,0.375,3,5,2,7,0.4305555555555555,0.5546147752030105
w85__r13_f05,13,5,max_positive_width_rate,full,3551.6022665205187,below,1,280,70,0.5333333333333333,0.6857142857142857,0.26666666666666666,0.8,44,11,11,4,0.5842424242424242,0.3124200764084233
w85__r13_f05,13,5,max_positive_width_rate,q30,3551.6022665205187,below,1,280,24,0.3857142857142857,0.4166666666666667,0.2,0.5714285714285714,8,6,8,2,0.33571428571428574,0.4235893092414832
w85__r13_f05,13,5,max_positive_width_rate,q20,3551.6022665205187,below,1,280,17,0.4236111111111111,0.4117647058823529,0.2222222222222222,0.625,5,3,7,2,0.3611111111111111,0.5433266805815825
w85__r14_f01,14,1,max_positive_delta_W,full,32.40799515411522,below,1,284,66,0.5834542815674891,0.42424242424242425,0.8461538461538461,0.32075471698113206,17,36,2,11,0.5878084179970973,0.3667578061930193
w85__r14_f01,14,1,max_positive_delta_W,q30,32.40799515411522,below,1,284,20,0.36666666666666664,0.25,0.6,0.13333333333333333,2,13,2,3,0.3466666666666666,0.37343965975544924
w85__r14_f01,14,1,max_positive_delta_W,q20,32.40799515411522,below,1,284,14,0.4242424242424242,0.2857142857142857,0.6666666666666666,0.18181818181818182,2,9,1,2,0.4242424242424242,0.47086247086247085
w85__r14_f01,14,1,max_positive_width_rate,full,3264.9367185771075,below,1,284,66,0.5500725689404935,0.696969696969697,0.3076923076923077,0.7924528301886793,42,11,9,4,0.6589259796806967,0.3842811246633367
w85__r14_f01,14,1,max_positive_width_rate,q30,3264.9367185771075,below,1,284,20,0.43333333333333335,0.55,0.2,0.6666666666666666,10,5,4,1,0.3466666666666666,0.37343965975544924
w85__r14_f01,14,1,max_positive_width_rate,q20,3264.9367185771075,below,1,284,14,0.43939393939393934,0.5,0.3333333333333333,0.5454545454545454,6,5,2,1,0.5454545454545454,0.49831649831649827
w85__r14_f02,14,2,max_positive_delta_W,full,32.40799515411522,below,1,275,75,0.6166666666666667,0.4266666666666667,0.9333333333333333,0.3,18,42,1,14,0.6266666666666666,0.2608771739580469
w85__r14_f02,14,2,max_positive_delta_W,q30,32.40799515411522,below,1,275,25,0.65,0.6,0.9,0.4,6,9,1,9,0.6066666666666667,0.4822418757712875
w85__r14_f02,14,2,max_positive_delta_W,q20,32.40799515411522,below,1,275,17,0.6597222222222222,0.6470588235294118,0.875,0.4444444444444444,4,5,1,7,0.5277777777777778,0.5047560690943044
w85__r14_f02,14,2,max_positive_width_rate,full,4579.913474253048,below,1,275,75,0.6,0.56,0.6666666666666666,0.5333333333333333,32,28,5,10,0.6922222222222222,0.40668842036123143
w85__r14_f02,14,2,max_positive_width_rate,q30,4579.913474253048,below,1,275,25,0.5166666666666666,0.52,0.5,0.5333333333333333,8,7,5,5,0.5933333333333334,0.611854126265891
w85__r14_f02,14,2,max_positive_width_rate,q20,4579.913474253048,below,1,275,17,0.4652777777777778,0.47058823529411764,0.375,0.5555555555555556,5,4,5,3,0.4861111111111111,0.5531417112299466
w85__r14_f03,14,3,max_positive_delta_W,full,32.40799515411522,below,1,282,68,0.6296296296296297,0.4117647058823529,1.0,0.25925925925925924,14,40,0,14,0.6851851851851852,0.45094955009256155
w85__r14_f03,14,3,max_positive_delta_W,q30,32.40799515411522,below,1,282,21,0.6,0.42857142857142855,1.0,0.2,3,12,0,6,0.5333333333333333,0.42994685053508586
w85__r14_f03,14,3,max_positive_delta_W,q20,32.40799515411522,below,1,282,15,0.6,0.4666666666666667,1.0,0.2,2,8,0,5,0.66,0.5722222222222222
w85__r14_f03,14,3,max_positive_width_rate,full,4579.913474253048,below,1,282,68,0.6349206349206349,0.5882352941176471,0.7142857142857143,0.5555555555555556,30,24,4,10,0.7619047619047619,0.5922769621149288
w85__r14_f03,14,3,max_positive_width_rate,q30,4579.913474253048,below,1,282,21,0.45,0.42857142857142855,0.5,0.4,6,9,3,3,0.5666666666666667,0.4767798786181139
w85__r14_f03,14,3,max_positive_width_rate,q20,4579.913474253048,below,1,282,15,0.55,0.5333333333333333,0.6,0.5,5,5,2,3,0.7000000000000001,0.6242424242424243
w85__r14_f04,14,4,max_positive_delta_W,full,31.60785503241759,below,1,281,69,0.4759259259259259,0.4057971014492754,0.6,0.35185185185185186,19,35,6,9,0.4901234567901235,0.22441007333493654
w85__r14_f04,14,4,max_positive_delta_W,q30,31.60785503241759,below,1,281,23,0.32936507936507936,0.30434782608695654,0.4444444444444444,0.21428571428571427,3,11,5,4,0.3253968253968254,0.3233437375745672
w85__r14_f04,14,4,max_positive_delta_W,q20,31.60785503241759,below,1,281,16,0.2936507936507936,0.3125,0.4444444444444444,0.14285714285714285,1,6,5,4,0.3015873015873016,0.47653781403781403
w85__r14_f04,14,4,max_positive_width_rate,full,3556.366947521182,below,1,281,69,0.5,0.5942028985507246,0.3333333333333333,0.6666666666666666,36,18,10,5,0.5469135802469136,0.3003941511459606
w85__r14_f04,14,4,max_positive_width_rate,q30,3556.366947521182,below,1,281,23,0.32539682539682535,0.34782608695652173,0.2222222222222222,0.42857142857142855,6,8,7,2,0.2142857142857143,0.3015189855769566
w85__r14_f04,14,4,max_positive_width_rate,q20,3556.366947521182,below,1,281,16,0.32539682539682535,0.3125,0.2222222222222222,0.42857142857142855,3,4,7,2,0.22222222222222224,0.4716945091945092
w85__r14_f05,14,5,max_positive_delta_W,full,31.935344241483524,below,1,278,72,0.6649282920469362,0.5,0.9230769230769231,0.4067796610169492,24,35,1,12,0.6284224250325945,0.2395580929829513
w85__r14_f05,14,5,max_positive_delta_W,q30,31.935344241483524,below,1,278,22,0.7142857142857143,0.6363636363636364,1.0,0.42857142857142855,6,8,0,8,0.5982142857142857,0.41162587412587415
w85__r14_f05,14,5,max_positive_delta_W,q20,31.935344241483524,below,1,278,15,0.6875,0.6666666666666666,1.0,0.375,3,5,0,7,0.5,0.464831993403422
w85__r14_f05,14,5,max_positive_width_rate,full,4235.600520094827,below,1,278,72,0.5319426336375489,0.5277777777777778,0.5384615384615384,0.5254237288135594,31,28,6,7,0.6062581486310299,0.23359316329146357
w85__r14_f05,14,5,max_positive_width_rate,q30,4235.600520094827,below,1,278,22,0.4910714285714286,0.45454545454545453,0.625,0.35714285714285715,5,9,3,5,0.5714285714285714,0.4791170634920635
w85__r14_f05,14,5,max_positive_width_rate,q20,4235.600520094827,below,1,278,15,0.4732142857142857,0.4666666666666667,0.5714285714285714,0.375,3,5,3,4,0.5,0.5125017839303553
w85__r15_f01,15,1,max_positive_delta_W,full,31.93126200082417,below,1,277,73,0.5637931034482759,0.4246575342465753,0.8,0.3275862068965517,19,39,3,12,0.7149425287356322,0.5434077042268061
w85__r15_f01,15,1,max_positive_delta_W,q30,31.93126200082417,below,1,277,23,0.5686274509803921,0.5217391304347826,0.6666666666666666,0.47058823529411764,8,9,2,4,0.588235294117647,0.4464544513457557
w85__r15_f01,15,1,max_positive_delta_W,q20,31.93126200082417,below,1,277,17,0.55,0.5294117647058824,0.6,0.5,6,6,2,3,0.6000000000000001,0.5188235294117647
w85__r15_f01,15,1,max_positive_width_rate,full,3846.0258180027904,below,1,277,73,0.6448275862068966,0.6712328767123288,0.6,0.6896551724137931,40,18,6,9,0.732183908045977,0.5869768615891975
w85__r15_f01,15,1,max_positive_width_rate,q30,3846.0258180027904,below,1,277,23,0.5196078431372549,0.6086956521739131,0.3333333333333333,0.7058823529411765,12,5,4,2,0.5294117647058824,0.4332269381182424
w85__r15_f01,15,1,max_positive_width_rate,q20,3846.0258180027904,below,1,277,17,0.575,0.6470588235294118,0.4,0.75,9,3,3,2,0.5,0.4803619909502263
w85__r15_f02,15,2,max_positive_delta_W,full,32.40799515411522,below,1,282,68,0.6545454545454545,0.4411764705882353,1.0,0.3090909090909091,17,38,0,13,0.606993006993007,0.2934635851257015
w85__r15_f02,15,2,max_positive_delta_W,q30,32.40799515411522,below,1,282,21,0.6363636363636364,0.6190476190476191,1.0,0.2727272727272727,3,8,0,10,0.5090909090909091,0.5377729215229216
w85__r15_f02,15,2,max_positive_delta_W,q20,32.40799515411522,below,1,282,14,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,2,4,0,8,0.625,0.7237959956709957
w85__r15_f02,15,2,max_positive_width_rate,full,3556.366947521182,below,1,282,68,0.5356643356643357,0.6764705882352942,0.3076923076923077,0.7636363636363637,42,13,9,4,0.5888111888111889,0.2737300899667069
w85__r15_f02,15,2,max_positive_width_rate,q30,3556.366947521182,below,1,282,21,0.4181818181818182,0.42857142857142855,0.2,0.6363636363636364,7,4,8,2,0.3909090909090909,0.4489707055070832
w85__r15_f02,15,2,max_positive_width_rate,q20,3556.366947521182,below,1,282,14,0.4583333333333333,0.42857142857142855,0.25,0.6666666666666666,4,2,6,2,0.4583333333333333,0.6352834665334666
w85__r15_f03,15,3,max_positive_delta_W,full,32.40799515411522,below,1,279,71,0.6134085213032582,0.4225352112676056,0.9285714285714286,0.2982456140350877,17,40,1,13,0.5087719298245614,0.19864384888084102
w85__r15_f03,15,3,max_positive_delta_W,q30,32.40799515411522,below,1,279,24,0.5571428571428572,0.5,0.9,0.21428571428571427,3,11,1,9,0.4642857142857143,0.39401683993755604
w85__r15_f03,15,3,max_positive_delta_W,q20,32.40799515411522,below,1,279,16,0.4666666666666667,0.375,0.8333333333333334,0.1,1,9,1,5,0.3166666666666667,0.3196428571428571
w85__r15_f03,15,3,max_positive_width_rate,full,3846.0258180027904,below,1,279,71,0.575187969924812,0.5774647887323944,0.5714285714285714,0.5789473684210527,33,24,6,8,0.5664160401002506,0.25686239236647124
w85__r15_f03,15,3,max_positive_width_rate,q30,3846.0258180027904,below,1,279,24,0.5357142857142857,0.5416666666666666,0.5,0.5714285714285714,8,6,5,5,0.4071428571428572,0.41352665259987914
w85__r15_f03,15,3,max_positive_width_rate,q20,3846.0258180027904,below,1,279,16,0.5333333333333333,0.5,0.6666666666666666,0.4,4,6,2,4,0.4666666666666666,0.40641534391534395
w85__r15_f04,15,4,max_positive_delta_W,full,32.40799515411522,below,1,277,73,0.6365384615384615,0.4520547945205479,0.9230769230769231,0.35,21,39,1,12,0.48589743589743595,0.17150602693835815
w85__r15_f04,15,4,max_positive_delta_W,q30,32.40799515411522,below,1,277,21,0.48333333333333334,0.3333333333333333,0.8333333333333334,0.13333333333333333,2,13,1,5,0.25555555555555554,0.22360722066604422
