model,subset,role,feature_count,features,metric,mean,sd_across_repeats,repeat_blocks
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,conduction_recall,0.9104130622618796,0.02047409479340367,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,false_negative,4.9,1.4104870379448817,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,false_positive,4.15,0.9333020044867297,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,brier_score,0.1007995431534104,0.007986890083790147,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,roc_auc,0.9589465105252775,0.007350460306560979,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,pr_auc,0.9219402918073587,0.012687594152616135,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,accuracy,0.9134149156830208,0.018390561833447873,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,balanced_accuracy,0.8986344261459618,0.023946097428852103,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,keyhole_recall,0.8539004085056717,0.04222603132324593,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,conduction_recall,0.9433684437862521,0.013029281390978725,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,false_negative,5.45,1.5035046776746235,20
