idx,n,err,pmean,q20frac,y,D,logh,B1,kh_frames,partition,cfg,TE
120,20,0.0,0.9793924132625534,0.35,1,302.819,21.15060763284449,0.9460796446857745,154,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
121,20,0.0,0.9640713822735109,0.0,1,302.6773,21.004846062843377,1.574681585716726,139,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
122,20,0.0,0.9837481670341163,0.0,1,300.7084,21.168366707592114,1.24142301550736,159,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
123,20,0.0,0.9623441688824869,0.7,1,275.7146,21.126581916544882,0.8605315248244119,140,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
124,20,0.0,0.9995091418988864,0.0,1,302.65560000000005,21.586379730647366,1.7828219772300906,88,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
125,20,0.0,0.9229513574206691,0.7,1,157.2098,21.104159996967834,0.9084295906084319,40,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
126,20,1.0,0.2788538696397083,1.0,1,156.01239999999999,20.53267906158613,0.5236292277987136,9,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
127,20,0.0,0.9490763213866444,1.0,1,311.9946,21.125930499414125,0.7769609261255269,66,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
128,20,0.0,0.9614502109511989,0.0,1,207.92759999999998,21.138033768562334,1.1521997350014002,86,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
129,20,0.0,0.9621693114110826,0.85,1,203.4904,21.128233647861514,0.8451347133171352,93,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
130,20,0.0,0.9997617019347388,0.0,1,302.8145,21.70247772043275,1.8919417834337724,73,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
131,20,0.0,0.9982177662839262,0.0,1,303.1071,21.337126248875027,1.7230512676224647,178,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
132,20,0.0,0.9949481350489577,0.0,1,302.6094,21.3654993587639,1.3506469293015282,33,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
133,20,0.0,0.9962210032281291,0.0,1,301.8799,21.271731769155178,1.334014974818197,192,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
134,20,0.0,0.9208706183692698,0.45,1,139.438,21.158728444367096,0.9478797767598937,12,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
135,20,0.0,0.9990489789326432,0.0,1,302.737,21.43277735581915,1.8585689718693088,152,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
136,20,0.0,0.9998893261140438,0.0,1,304.4302,21.720328715557145,2.315330879603028,80,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
137,20,0.0,0.8959159194588835,1.0,1,138.2149,21.087437149631313,0.6574250004395228,11,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
138,20,0.0,0.978094859560116,1.0,1,311.9938,21.235193159589013,0.7371236195965993,83,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
139,20,0.0,0.9000286086803897,1.0,1,116.0247,21.1169514377136,0.39583640882565674,5,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
140,20,0.0,0.9964535272320404,0.0,1,311.96389999999997,21.352995136232696,1.3674618885535956,194,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
141,20,0.0,0.9683877143201414,1.0,1,311.9905,21.23255511830873,0.5944281034318654,61,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
142,20,0.0,0.9977217105883938,0.0,1,302.8414,21.341647398775045,1.5928758636534568,181,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
143,20,0.0,0.9988834252702133,0.0,1,302.9004,21.42991218679498,1.8388050057754548,154,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
144,20,0.5,0.5130321630928404,0.0,1,215.5489,20.751015385137514,1.5148011679922904,45,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
145,20,0.0,0.9987135265466748,0.0,1,303.3359,21.414630661193208,1.6602622215256495,193,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
146,20,0.0,0.9999762189604781,0.0,1,303.3839,21.89068060891919,2.2353939025547596,38,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
147,20,0.0,0.9991911486965137,0.0,1,302.94669999999996,21.56027197608303,2.1119156351743253,104,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
148,20,0.0,0.9630855817233851,1.0,1,311.9998,21.19078521316628,0.6687361538297456,11,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
149,20,0.0,0.9992174836307299,0.0,1,302.6554,21.44078871995577,1.8537683652445158,174,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
150,20,0.0,0.9023935922323801,1.0,1,111.1982,21.116463753182078,0.7763145851271955,4,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
151,20,0.0,0.9963009465078982,0.0,1,302.6472,21.36741588133883,1.3657783760885454,182,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
152,20,0.0,0.8740156703305502,1.0,1,115.89620000000001,21.078573275235584,0.4435659871271194,3,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
153,20,0.0,0.9997613124458098,0.0,1,302.8148,21.614848598229703,2.3818609310836423,133,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
154,20,0.0,0.9988703166378741,0.0,1,301.9033,21.462678251083055,1.5710177620180137,193,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
