run_id,repeat,fold,arm,subset,region,accuracy_AULC,balanced_accuracy_AULC,keyhole_recall_AULC,roc_auc_AULC,pr_auc_AULC,brier_score_AULC,conduction_recall_AULC
w85__r15_f05,15,5,A4_oracle_width_margin,B1_q30,FULL_B16_80,0.9068750000000001,0.882606907894737,0.8359374999999999,0.9458607456140353,0.8019438894438895,0.08267708229907715,0.9292763157894738
w85__r15_f05,15,5,A4_oracle_width_margin,full81,FULL_B16_80,0.9712577160493827,0.9570075757575758,0.9343750000000002,0.9936079545454546,0.9711950240945382,0.026049926879448154,0.9796401515151514
w85__r16_f01,16,1,A0_m3_margin,B1_q20,FULL_B16_80,0.864889705882353,0.8464725378787878,0.7838541666666666,0.8992069128787878,0.725110148225957,0.11800641856194244,0.9090909090909091
w85__r16_f01,16,1,A0_m3_margin,B1_q30,FULL_B16_80,0.905625,0.8639665570175439,0.7838541666666666,0.9332853618421054,0.7145182291666665,0.0866856671385719,0.9440789473684212
w85__r16_f01,16,1,A0_m3_margin,full81,FULL_B16_80,0.9656635802469136,0.9346590909090909,0.8854166666666667,0.9870817550505052,0.9515201709062768,0.030129970277200335,0.983901515151515
w85__r16_f01,16,1,A0_model_on_A1_path,B1_q20,FULL_B16_80,0.8639705882352942,0.8451704545454546,0.78125,0.9008641098484849,0.7270942752100839,0.11662395826778028,0.9090909090909091
w85__r16_f01,16,1,A0_model_on_A1_path,B1_q30,FULL_B16_80,0.90375,0.861842105263158,0.78125,0.9350671600877195,0.7177269345238093,0.08526036654896116,0.9424342105263159
w85__r16_f01,16,1,A0_model_on_A1_path,full81,FULL_B16_80,0.9668209876543209,0.938589015151515,0.8937500000000002,0.9872711489898991,0.9520685777690219,0.029704262442243244,0.9834280303030302
w85__r16_f01,16,1,A1_model_on_A0_path,B1_q20,FULL_B16_80,0.8685661764705883,0.8516808712121212,0.7942708333333333,0.900390625,0.7276213089402426,0.11553246087565527,0.9090909090909091
w85__r16_f01,16,1,A1_model_on_A0_path,B1_q30,FULL_B16_80,0.910625,0.8708196271929826,0.7942708333333333,0.9357524671052634,0.7202690972222221,0.08435075597486538,0.9473684210526316
w85__r16_f01,16,1,A1_model_on_A0_path,full81,FULL_B16_80,0.9672067901234568,0.9372159090909091,0.8895833333333334,0.9873224431818183,0.9523415974882732,0.029549855157195923,0.9848484848484846
w85__r16_f01,16,1,A1_predicted_width_margin,B1_q20,FULL_B16_80,0.8676470588235295,0.8503787878787878,0.7916666666666666,0.9011008522727273,0.7273732930672268,0.11485139880965314,0.9090909090909091
w85__r16_f01,16,1,A1_predicted_width_margin,B1_q30,FULL_B16_80,0.905625,0.866639254385965,0.7916666666666666,0.9352042214912282,0.7179439484126983,0.08451750085359204,0.9416118421052633
w85__r16_f01,16,1,A1_predicted_width_margin,full81,FULL_B16_80,0.9654706790123455,0.9353456439393939,0.8875000000000002,0.98721985479798,0.9518627555411407,0.02969328130606425,0.9831912878787878
w85__r16_f01,16,1,A4_model_on_A0_path,B1_q20,FULL_B16_80,0.8685661764705883,0.8516808712121212,0.7942708333333333,0.9002722537878789,0.7261022117180205,0.11491565358433631,0.9090909090909091
w85__r16_f01,16,1,A4_model_on_A0_path,B1_q30,FULL_B16_80,0.909375,0.86999725877193,0.7942708333333333,0.933559484649123,0.7145182291666666,0.08451576154589299,0.9457236842105263
w85__r16_f01,16,1,A4_model_on_A0_path,full81,FULL_B16_80,0.9637345679012345,0.9286458333333334,0.8729166666666669,0.9871172664141414,0.9515982843012561,0.03018000301568749,0.9843749999999998
