arm,budget,runs,mae_mean,mae_q1,mae_q3,rmse_mean,rmse_q1,rmse_q3,r2_mean,r2_q1,r2_q3,relative_rmse_mean,relative_rmse_q1,relative_rmse_q3,spearman_true_vs_predicted_mean,spearman_true_vs_predicted_q1,spearman_true_vs_predicted_q3,mean_predicted_sd_mean,mean_predicted_sd_q1,mean_predicted_sd_q3,n_width_observations_mean,n_width_observations_q1,n_width_observations_q3,chosen_ridge_linear_fraction,chosen_ridge_quadratic_fraction,chosen_gp_matern_fraction
A1_predicted_width_margin,52,100,5.322412778486516,4.907698687150861,5.669129357053321,6.927090864341842,6.266427305073038,7.576686132619438,0.2321843362998714,0.11911281378130864,0.35647493130177516,0.8705077769830036,0.8021944723850782,0.9385539669777013,0.4072111326346521,0.33605270171890894,0.4938019558080454,7.298691675310697,6.7495427433156445,7.788285904383242,47.15,46.0,48.0,0.14,0.35,0.51
A1_predicted_width_margin,53,100,5.3093601983639385,4.854746619268527,5.704230695293956,6.916189980034287,6.246586247033427,7.595222981821543,0.2332619052594919,0.11317984610628926,0.36407568245464383,0.8695514147893395,0.7974486167252498,0.9417109565656969,0.40937823251798816,0.33734766044456777,0.5006324441599191,7.294564818077742,6.682101927126436,7.746993287927888,48.1,47.0,49.0,0.14,0.35,0.51
A1_predicted_width_margin,54,100,5.314028504252259,4.870949909218188,5.68302991285265,6.925925454717615,6.25456738298271,7.591327338503938,0.23150619517313165,0.11414722686464479,0.36975145270433707,0.8705514991492652,0.793881464436033,0.9411939248719533,0.4151432678470702,0.34394791915696166,0.5023707206726103,7.178008004095582,6.683957279851084,7.655617663577425,49.1,48.0,50.0,0.14,0.35,0.51
A1_predicted_width_margin,55,100,5.293830610243435,4.867037910626811,5.641018547474566,6.9021950582040414,6.239861882779918,7.527846514691611,0.23785068621814975,0.11216606872763682,0.3738695318671198,0.8669891127450192,0.7912838281369368,0.9422482593136728,0.4203967946399027,0.35824776590876395,0.5030765031001463,7.220884702854628,6.70129081077771,7.758386064586074,50.07,49.0,51.0,0.14,0.35,0.51
A1_predicted_width_margin,56,100,5.206381435259862,4.758791088023402,5.553436751947615,6.776838896009136,6.11224189611355,7.200156904944281,0.26223646121250255,0.15433839880704267,0.39453391665691445,0.8518826625411627,0.7781159480882485,0.9195986082991953,0.4372056213445027,0.37790123310157986,0.5030435854513431,7.026576459794349,6.66377256888257,7.379800150221278,51.04,50.0,52.0,0.08,0.4,0.52
A1_predicted_width_margin,57,100,5.186985874464726,4.762220874309799,5.543446324432983,6.74346154400387,6.146266637239747,7.163966522542147,0.27143678141817373,0.16373321394885923,0.3909568225971178,0.8476484323249384,0.7804045092088187,0.9144762326105461,0.4420131975892627,0.3828246375976954,0.5048405236669533,7.045810833289172,6.680762912924357,7.347413585146196,51.95,51.0,53.0,0.08,0.4,0.52
A1_predicted_width_margin,58,100,5.172372983723405,4.72620705068214,5.526618326854567,6.718448639755405,6.176508259063636,7.151692098247945,0.27782386667405723,0.16746727970529204,0.40003391844570607,0.8443956740658193,0.7745746647227654,0.9124322634144257,0.44431866588007746,0.3738053732250217,0.5161071714547627,6.978160861618972,6.5691655916949525,7.352185710674137,52.92,52.0,54.0,0.08,0.4,0.52
A1_predicted_width_margin,59,100,5.1809262859181375,4.718080913744354,5.562151360500342,6.7345900595409045,6.172901039115041,7.211256930622339,0.27514757400189305,0.16243374265358326,0.399893764057464,0.8459998236951115,0.7746652335959441,0.9151864282550277,0.4469402646524191,0.37626741498933347,0.5219684742635115,6.908520142481792,6.485741567002319,7.13215267789936,53.88,53.0,55.0,0.08,0.4,0.52
A1_predicted_width_margin,60,100,5.17078526317183,4.725565446151884,5.496256210545621,6.7352613849551854,6.191348707049849,7.165838003607671,0.2768861850818338,0.1647768170902608,0.39572399496949784,0.8452578301454572,0.7773489501199212,0.9139052442121074,0.453293524691011,0.3843315187306866,0.5225871219851884,6.974562801196726,6.585384147839172,7.30643347826793,54.83,54.0,56.0,0.08,0.4,0.52
A1_predicted_width_margin,61,100,5.164643865693788,4.747874250037977,5.429832213014561,6.736302248547695,6.218183687109539,7.1304058578132565,0.27720802680454165,0.16969917299672962,0.3887968097773553,0.8452051126105147,0.78179471829643,0.9112071119101028,0.455911323963832,0.3872916865880059,0.5303612234706971,6.892271340921553,6.4558944580832565,7.1583296480643375,55.74,55.0,57.0,0.08,0.4,0.52
A1_predicted_width_margin,62,100,5.160813412470526,4.767334855086016,5.449572533266171,6.735139194063056,6.242747358605049,7.144557948892585,0.27903339152272194,0.18575242980525805,0.39427808300087175,0.8441587292496154,0.7782809616246743,0.9023557973073864,0.4589984032633311,0.3892367499119608,0.5396751151375591,6.869755778693442,6.499159445151682,7.058957751375052,56.64,56.0,58.0,0.08,0.4,0.52
A1_predicted_width_margin,63,100,5.145827922887636,4.7700148518388055,5.430963037747508,6.717039934706667,6.240079861341122,7.133004221741407,0.28420478872134164,0.1955039720244217,0.39621400426924924,0.8411381522155973,0.777036398269793,0.89693385260686,0.46307982998161046,0.39399678490287826,0.5447663785361623,6.810589720689179,6.450734829658453,7.085142230282038,57.58,57.0,59.0,0.08,0.4,0.52
A1_predicted_width_margin,64,100,5.17198940478714,4.799800345444263,5.432221263270404,6.757810640418893,6.261144925937621,7.174731076532505,0.27721707622204733,0.20273539317966158,0.3959559730647187,0.8452892122540548,0.7772026059996104,0.8928960488688169,0.4618897158837115,0.37958967133920973,0.5479258546609409,6.862977201952808,6.415864629842742,7.150604051352294,58.49,57.0,60.0,0.07,0.42,0.51
A1_predicted_width_margin,65,100,5.163347010430754,4.764882588134746,5.452471268397385,6.742439314071151,6.284944753840452,7.148473324124927,0.2808588377855496,0.1981067236017253,0.3968854677610748,0.8429839306513423,0.7766044885771831,0.8954849311310286,0.46367103114491587,0.38844108501642743,0.551113410956009,6.842351826841081,6.346674987611229,7.12259933635752,59.44,58.0,61.0,0.07,0.42,0.51
A1_predicted_width_margin,66,100,5.155193518985236,4.74177936701082,5.450588360726851,6.723981120211733,6.263175806566497,7.167257118530815,0.28621179673771524,0.19923194428891447,0.4125014553554332,0.8397387135379071,0.7664844991363513,0.894856403762445,0.46676134636229955,0.38573934533197507,0.5571689307299461,6.784849630044151,6.329403933838691,7.066923160519328,60.36,59.0,61.0,0.07,0.42,0.51
A1_predicted_width_margin,67,100,5.144906971639008,4.746353591921579,5.464261793274106,6.713165849993535,6.252248712612059,7.222665477213768,0.29053707146021235,0.19931165781788365,0.40906135652424136,0.8373243598808418,0.7687247237079093,0.8948104897119263,0.4725750543808846,0.3897342503704641,0.5629987416932833,6.810604679940168,6.318420867475874,7.125235362622591,61.23,60.0,62.0,0.07,0.42,0.51
