contrast,role,subset,region,metric,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,negative_repeat_blocks,bootstrap_draws
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,FULL_B16_80,keyhole_recall,0.03047795758928571,0.021824014911954376,0.039060066344246025,19,1,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,FULL_B16_80,roc_auc,0.007874774422626013,0.0053391361784917105,0.010364889198800369,19,1,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,FULL_B16_80,pr_auc,0.007516745382790907,0.004284440186447019,0.011118668790542977,17,3,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,FULL_B16_80,brier_score,-0.004353334091801924,-0.0062515344053491375,-0.0019817576111015316,1,19,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,FULL_B16_80,conduction_recall,-0.006333985892579641,-0.009563931077602913,-0.0032051312023479595,4,16,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,EARLY_B16_40,accuracy,0.002291666666666692,-7.499999999997535e-05,0.004825000000000024,13,7,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,EARLY_B16_40,balanced_accuracy,0.004618686717443488,0.0012962483783219463,0.008174406499749317,13,7,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,EARLY_B16_40,keyhole_recall,0.010585625601250615,0.0023787914487133294,0.019162412818662815,14,6,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,EARLY_B16_40,roc_auc,0.000763022045786177,-0.0014240073966138179,0.002722048061345926,13,7,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,EARLY_B16_40,pr_auc,0.0006979574761312113,-0.0027954420099463514,0.00417870948193598,12,8,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,EARLY_B16_40,brier_score,3.521127300354365e-05,-0.0017146926911158654,0.0020995695428028325,8,12,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,EARLY_B16_40,conduction_recall,-0.0013482521663636005,-0.0048995351238082865,0.0026289546182142673,9,11,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,FULL_B16_80,accuracy,0.006287500000000007,0.003975000000000023,0.008712500000000007,18,2,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,FULL_B16_80,balanced_accuracy,0.01179256230914873,0.008240819226790387,0.015329660918767795,18,2,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,FULL_B16_80,keyhole_recall,0.02661465661075036,0.018819836408166493,0.034308372226731595,17,3,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,FULL_B16_80,roc_auc,0.004796226781863755,0.0031042088709860713,0.0062976138645140485,19,1,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,FULL_B16_80,pr_auc,0.006282438609814112,0.003540037968135431,0.009021481385142284,17,3,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,FULL_B16_80,brier_score,-0.003622037402675508,-0.004857396038343052,-0.002011693216565086,1,19,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q30,FULL_B16_80,conduction_recall,-0.0030295319924528554,-0.004951893372348761,-0.0010761473076441696,4,16,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,EARLY_B16_40,accuracy,0.0005761316872427924,-0.00015689300411523874,0.001365740740740712,13,7,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,EARLY_B16_40,balanced_accuracy,0.0024221580140423304,0.0005016220137139179,0.004450248369219856,13,7,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,EARLY_B16_40,keyhole_recall,0.005356150793650804,0.0011368799603174876,0.009995089285714277,12,8,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,EARLY_B16_40,roc_auc,-0.0009983028131349049,-0.0025596499824112042,9.317442594027566e-05,10,10,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,EARLY_B16_40,pr_auc,-0.002088499014228612,-0.0049430101250727615,0.00022160695905157086,10,10,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,EARLY_B16_40,brier_score,-1.4710564241392568e-05,-0.0006348699786281688,0.0006564729157869718,7,13,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,EARLY_B16_40,conduction_recall,-0.0005118347655660938,-0.0015505945650534977,0.0005664197949645928,8,12,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,FULL_B16_80,accuracy,0.001829668209876545,0.0009972993827160428,0.0026466049382715966,17,3,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,FULL_B16_80,balanced_accuracy,0.006431816162693021,0.004279862312069946,0.008492930821995932,18,2,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,FULL_B16_80,keyhole_recall,0.0136469494047619,0.009150139508928545,0.017791675967261906,18,2,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,FULL_B16_80,roc_auc,7.067358688128688e-06,-0.001149052571793362,0.0007460525535370202,15,5,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,FULL_B16_80,pr_auc,0.0010491145817407733,-0.0010565759000207354,0.0026066174526031827,15,5,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,FULL_B16_80,brier_score,-0.00111824132931597,-0.0015440222999648008,-0.0006358943393078011,1,19,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,full81,FULL_B16_80,conduction_recall,-0.0007833170793758559,-0.001261713449796465,-0.00028378879748984634,4,16,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,EARLY_B16_40,accuracy,0.0009926470588235204,-0.0011155024509804205,0.0031617647058823305,11,9,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,EARLY_B16_40,balanced_accuracy,0.0021257261257261574,7.492533508162037e-05,0.004209886149729928,15,5,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,EARLY_B16_40,keyhole_recall,0.007292493386243398,0.004021691054894214,0.01058553447420636,18,2,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,EARLY_B16_40,roc_auc,0.0018786393005143065,7.02246538184345e-05,0.0034841934830216175,16,4,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,EARLY_B16_40,pr_auc,0.002013600719670927,-0.0002449401857454289,0.004336101046346279,15,5,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,EARLY_B16_40,brier_score,-0.0010773679490568067,-0.0015982693464910759,-0.0005672735299172667,2,18,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,EARLY_B16_40,conduction_recall,-0.0030410411347911335,-0.005954225837819562,-0.0002131872612341421,7,13,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,FULL_B16_80,accuracy,0.0028079044117647,1.3786764705897153e-05,0.005588235294117639,12,8,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,FULL_B16_80,balanced_accuracy,0.005786079480415457,0.0022072044979760163,0.009305435244009496,15,5,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,FULL_B16_80,keyhole_recall,0.018501457093253976,0.011208166697668644,0.026047116815476216,18,2,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,FULL_B16_80,roc_auc,0.006466685874888978,0.00459759605899743,0.008251932117361735,19,1,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,FULL_B16_80,pr_auc,0.00576041095853686,0.003720191640598174,0.007850491565080664,19,1,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,FULL_B16_80,brier_score,-0.004043610379833644,-0.004900410855790377,-0.0031587762627694636,1,19,10000
A1_model_on_A0_path - A0_m3_margin,"model value, query path held fixed",B1_q20,FULL_B16_80,conduction_recall,-0.006929298132423134,-0.009318148323031164,-0.004553526448594788,4,16,10000
