dataset,name,observed_target,isotropic_predicted_mean,isotropic_predicted_std,isotropic_absolute_error,isotropic_squared_error,ard_observed_target_check,ard_predicted_mean,ard_predicted_std,ard_absolute_error,ard_squared_error,paired_absolute_error_improvement_isotropic_minus_ard,paired_squared_error_improvement_isotropic_minus_ard,paired_outcome
clean,P-74p5163352518_VX-0p201002332148_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p30229491189e-06_H-fb250c7cf9,21999.0,19823.19566200581,1808.6375475522807,2175.8043379941846,4734124.517234312,21999.0,21521.93146463327,1505.654397291571,477.0685353667286,227594.38743695559,1698.735802627456,4506530.129797357,ARD_improved
clean,P-78p18378444_VX-0p804643363326_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p32374124592e-06_H-b0e5aed98c,8564.0,5734.2376702910005,2344.8464105151543,2829.7623297089995,8007554.842640104,8564.0,8104.899926316417,2452.935991276201,459.1000736835831,210772.87765627145,2370.6622560254164,7796781.964983832,ARD_improved
clean,P-93p7887593651_VX-0p596649793105_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p13380310062e-06_H-306f9d252b,9653.0,12436.873122151535,713.9729955300162,2783.873122151537,7749949.560237748,9653.0,12090.097169545614,878.1854295343487,2437.0971695456137,5939442.613807241,346.77595260592307,1810506.9464305062,ARD_improved
clean,P-97p6596954152_VX-0p666705631564_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p80451054123e-06_H-b0e5aed98c,9719.0,8076.648306097164,1599.1317588502775,1642.351693902836,2697319.0864655143,9719.0,7864.4260137910605,1828.966728991337,1854.5739862089395,3439444.6703229155,-212.22229230610355,-742125.5838574013,ARD_worsened
clean,P-99p5435087092_VX-0p559592851831_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p34132747676e-06_H-306f9d252b,13785.0,10918.639066020698,462.2024338329799,2866.360933979302,8216025.003842697,13785.0,10852.550971488803,623.1259472852944,2932.449028511197,8599257.304816263,-66.08809453189497,-383232.30097356625,ARD_worsened
clean,P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,17386.0,18013.186422253144,4061.219012118967,627.186422253144,393362.808258699,17386.0,17978.095471051136,2172.8079333397427,592.095471051136,350577.0468392666,35.090951202008,42785.76141943241,ARD_improved
clean,P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,23150.0,22906.231736893104,2423.290385091172,243.76826310689648,59422.96609815311,23150.0,22927.245809104545,717.4651326739377,222.7541908954554,49619.429561488985,21.01407221144109,9803.536536664127,ARD_improved
clean,P-102p449509144_VX-0p918837420936_LS-5p51471704636e-05_ST-339p471112188_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25024394207e-06_H-b41981edcb,10686.0,10657.859448121186,4302.098769028393,28.14055187881422,791.8906600442347,10686.0,12279.842921463034,1966.8830631184164,1593.8429214630341,2540335.2582978196,-1565.70236958422,-2539543.3676377754,ARD_worsened
clean,P-110p110895975_VX-0p451651242475_LS-8p6859144947e-05_ST-349p969995372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06810745755e-05_H-6f31342894,21148.0,20785.94615522692,4159.656518399393,362.0538447730796,131082.98651496923,21148.0,21786.165164928112,1143.8842509543447,638.1651649281121,407254.77772772446,-276.11132015503244,-276171.79121275526,ARD_worsened
clean,P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,42436.0,31446.78404884608,5142.5927470324805,10989.21595115392,120762867.2210958,42436.0,33129.38038835357,1150.8308025846234,9306.619611646427,86613168.5958819,1682.5963395074923,34149698.625213906,ARD_improved
