name,observed_target,clean_trained_prediction,clean_trained_std,clean_trained_absolute_error,broad_observed_target_check,broad_trained_prediction,broad_trained_std,broad_trained_absolute_error,paired_improvement_clean_minus_broad,paired_outcome
P-141p451666054_VX-0p378275685755_LS-6p85388508408e-05_ST-315p145948826_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27529227616e-05_H-8bf1b39107,24547.0,19189.69658560819,2588.1060918792973,5357.3034143918085,24547.0,55839.89280279158,14895.19582485723,31292.892802791583,-25935.589388399774,worsened_by_broad_training
P-145p199982561_VX-0p253198682602_LS-7p7513591008e-05_ST-398p693210886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90527081478e-05_H-2d34966482,35635.0,34406.609298686686,1901.6258698325435,1228.390701313314,35635.0,71141.99384156086,15457.03927626224,35506.99384156086,-34278.60314024755,worsened_by_broad_training
P-149p381043177_VX-0p292260061908_LS-7p79529508561e-05_ST-384p444199936_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p65062601148e-05_H-6464f5e6a2,30868.0,32265.016756557074,1579.417113584026,1397.0167565570737,30868.0,51354.928178690025,18163.93980236183,20486.928178690025,-19089.91142213295,worsened_by_broad_training
P-150p755371566_VX-0p566215971452_LS-6p88880703989e-05_ST-365p237346809_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p51993028498e-06_H-3a501d5f99,16402.0,16651.99230967796,1851.0934596517704,249.9923096779603,16402.0,43984.890862254775,16078.300224844957,27582.890862254775,-27332.898552576815,worsened_by_broad_training
P-155p08939981_VX-0p967429278716_LS-6p89242148544e-05_ST-322p599938314_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p98653566638e-06_H-765072ed36,9875.0,8642.301596347796,2101.1041636075024,1232.6984036522044,9875.0,40449.533704250935,17700.189403777407,30574.533704250935,-29341.83530059873,worsened_by_broad_training
P-156p536166657_VX-0p9922713524_LS-8p48527663575e-05_ST-399p457924021_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p86169492987e-06_H-17f36d0008,9360.0,10263.257842102146,2864.674859197565,903.2578421021462,9360.0,22673.695646641943,16236.394400430656,13313.695646641943,-12410.437804539797,worsened_by_broad_training
P-162p201106716_VX-0p908426857038_LS-8p56302518524e-05_ST-395p218711567_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31041169208e-06_H-b41981edcb,10224.0,10188.207662078952,1933.230008899286,35.792337921047874,10224.0,33786.78835434502,14361.760453800152,23562.788354345023,-23526.996016423975,worsened_by_broad_training
P-165p961555057_VX-0p261983014715_LS-5p47380727674e-05_ST-307p441799119_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p84138678161e-05_H-b41981edcb,35453.0,32159.362493159555,1821.9708464454457,3293.637506840445,35453.0,41826.06938838325,17258.43275991038,6373.06938838325,-3079.431881542805,worsened_by_broad_training
P-171p793878697_VX-0p802872637148_LS-7p56304072004e-05_ST-389p149112673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p00857518342e-06_H-b41981edcb,11568.0,11500.449544671792,1806.4795775934047,67.55045532820805,11568.0,6413.5923526472,15119.173461511496,5154.4076473528,-5086.857192024592,worsened_by_broad_training
P-178p179131994_VX-0p674364285322_LS-6p39772031663e-05_ST-392p701744041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15358257846e-06_H-b41981edcb,13773.0,13469.158886240359,1718.3194384930841,303.8411137596413,13773.0,20025.16063937343,12807.041809376753,6252.160639373429,-5948.319525613788,worsened_by_broad_training
