experiment_name,week6_simulation_id,week6_original_hash,week6_metadata_path,week6_metadata_sha256,week6_dataset_revision
P-144p684844876_VX-0p221020126644_LS-8p32765690701e-05_ST-337p418493583_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p18266122469e-05_H-73ae961aa0,sim_00043,73ae961aa0,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00043\metadata.json,9c61124accbac4bd0c03143faff0266d919a6caf4c5e3a4e17bb17330a05c7ed,0e859b748fdbc8454f66e58e101e333ac0479d42
P-144p999955433_VX-0p569412101686_LS-7p52189895652e-05_ST-349p795043891_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p47210761544e-06_H-24e0a43587,sim_00044,24e0a43587,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00044\metadata.json,dac30fd881d5570c09e07d4f7a6fd8b6d53909ceb585043662c0fa7d85395a55,0e859b748fdbc8454f66e58e101e333ac0479d42
P-145p249113956_VX-0p501139719932_LS-7p51242767898e-05_ST-325p186450026_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p62629863717e-06_H-30d8d23b36,sim_00045,30d8d23b36,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00045\metadata.json,c38daae78e5412718f4854ed0c6d17af56a75967e4b1b22d51fdaa05c2d713d7,0e859b748fdbc8454f66e58e101e333ac0479d42
P-145p536707456_VX-0p311971481812_LS-7p55813970315e-05_ST-356p422554756_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p54633384276e-05_H-f404b6f8f4,sim_00046,f404b6f8f4,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00046\metadata.json,960a141f434d93f8b9f5be07abe06e84d8e66e6f607aebbffa8bbebb3c739479,0e859b748fdbc8454f66e58e101e333ac0479d42
P-146p427721311_VX-0p978546391515_LS-4p61745657385e-05_ST-377p807319924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p92988441309e-06_H-c321cc4e90,sim_00047,c321cc4e90,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00047\metadata.json,6112edf7200965dce5a292d88495ec691aa9f51a4f0f49e9143562085d544a5d,0e859b748fdbc8454f66e58e101e333ac0479d42
P-149p217972816_VX-0p206404715799_LS-4p87379527164e-05_ST-365p118947745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p33721433367e-05_H-b40dbd8ddd,sim_00048,b40dbd8ddd,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00048\metadata.json,3b7dee79f755f43e1d1aaba85ce7ccc1548891981edada84c67aea4a4a6ccaff,0e859b748fdbc8454f66e58e101e333ac0479d42
P-149p254341218_VX-0p887957223036_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p10571289147e-06_H-306f9d252b,sim_00049,306f9d252b,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00049\metadata.json,8f12d8352f8dbcd640d4239e97d43ab0d6b130184d66834e1bfcba537bc8f9bb,0e859b748fdbc8454f66e58e101e333ac0479d42
P-149p73987868_VX-0p504680707931_LS-6p9723584777e-05_ST-320p536129041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p55875770008e-06_H-95ed9fb76f,sim_00050,95ed9fb76f,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00050\metadata.json,89b1df8c25f2a996832e99b29752bbde594a53ec522196b0db08fc43227732e6,0e859b748fdbc8454f66e58e101e333ac0479d42
P-149p779509657_VX-0p251536582152_LS-4p84927831067e-05_ST-381p35096431_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p91786044071e-05_H-6af407d4ba,sim_00051,6af407d4ba,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00051\metadata.json,32f15d10cfef7b6610995fa503be685a6c0a48af7979e597cad1a61c55983988,0e859b748fdbc8454f66e58e101e333ac0479d42
P-150p924001842_VX-0p859014749555_LS-8p54585725094e-05_ST-302p841995718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p6158763345e-06_H-9bd689b964,sim_00052,9bd689b964,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00052\metadata.json,aae2ffdd1a92caec63081ac7e8838a13785912f06e7a40e258b7982d2aca9056,0e859b748fdbc8454f66e58e101e333ac0479d42
P-151p505871803_VX-0p995509859725_LS-6p72580848008e-05_ST-301p996554082_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p84587928074e-06_H-73846c96ef,sim_00053,73846c96ef,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00053\metadata.json,ff01d68b1ee6b389397c1416695e20cbb50465ecd05e4bb44f6ec3c8a7633761,0e859b748fdbc8454f66e58e101e333ac0479d42
P-151p630328889_VX-0p596649793105_LS-5p54888002616e-05_ST-323p086654154_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p0798550665e-05_H-bf889bf790,sim_00054,bf889bf790,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00054\metadata.json,08c71983c488e745a73ccc167a52fd3a1013589422dc0b82524e0d1625a79982,0e859b748fdbc8454f66e58e101e333ac0479d42
P-153p721476211_VX-0p579411174254_LS-7p49286492013e-05_ST-383p484527945_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p32590191107e-06_H-8daf8adcd4,sim_00055,8daf8adcd4,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00055\metadata.json,7b34b2f0400bf494821aadd15fac5baebccea4df62bbd143a7d2b894134dccd2,0e859b748fdbc8454f66e58e101e333ac0479d42
