experiment_name,partition,week6_simulation_id,XF,sph_v2_folder_domain_max_m,week6_domain_max_reconstructed_m,absolute_error_m,mapping_matches_week6,compatibility_rule
P-163p341658752_VX-0p941874162971_LS-5p45765866009e-05_ST-310p281913475_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p12183133657e-06_H-b40dbd8ddd,old-data-local,sim_00063,0.0014,0.001212,0.0012119999999999776,2.233456475320139e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-166p164223082_VX-0p514604075971_LS-6p70362084208e-05_ST-302p957496397_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p25202137351e-05_H-bf889bf790,old-data-local,sim_00064,0.0014,0.001212,0.0012119999999999735,2.6454533008646308e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-166p614725594_VX-0p931765035172_LS-5p67575778907e-05_ST-364p064697506_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p17740033261e-06_H-0744488b5e,old-data-local,sim_00065,0.0014,0.001212,0.001211999999999975,2.4936649967166602e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-167p36850481_VX-0p484912828283_LS-7p82623244153e-05_ST-326p173250025_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p94842850435e-06_H-31e40e99ef,old-data-local,sim_00066,0.0014,0.001212,0.0012119999999999635,3.642919299551295e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-167p779770961_VX-0p390580196452_LS-6p45833025222e-05_ST-394p852870083_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p23511653864e-05_H-73ae961aa0,old-data-local,sim_00067,0.0014,0.001212,0.0012119999999999752,2.47198095326695e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-171p239447318_VX-0p969583751496_LS-7p40725617215e-05_ST-384p912438459_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p97545528746e-06_H-7931c20f4a,old-data-local,sim_00068,0.0014,0.001212,0.0012119999999999297,7.025630077706069e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-171p382540224_VX-0p233605939402_LS-6p18629013601e-05_ST-355p188153249_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p06506761573e-05_H-ba17ade68b,old-data-local,sim_00069,0.0014,0.001212,0.0012119999999999826,1.734723475976807e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-171p875575389_VX-0p916897438596_LS-6p66389080354e-05_ST-338p337187717_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2613524697e-06_H-30d8d23b36,old-data-local,sim_00070,0.0014,0.001212,0.0012119999999999367,6.331740687315346e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-173p720948038_VX-0p230617607979_LS-6p23730108092e-05_ST-383p499521736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p09182665855e-05_H-eb41f0639c,old-data-local,sim_00071,0.0014,0.001212,0.0012119999999999815,1.8431436932253575e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-174p128102602_VX-0p994422815088_LS-7p40414236536e-05_ST-367p557277174_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p85117651146e-06_H-6705b84f8a,old-data-local,sim_00072,0.0014,0.001212,0.0012119999999999085,9.150666335777657e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-176p31832051_VX-0p578189015568_LS-5p80825678862e-05_ST-392p957182722_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p34350095405e-06_H-568de84222,old-data-local,sim_00073,0.0014,0.001212,0.0012119999999999948,5.204170427930421e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-176p64993117_VX-0p775213670345_LS-6p57722012124e-05_ST-360p022077993_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p222956054e-06_H-5731c00627,old-data-local,sim_00074,0.0014,0.001212,0.0012119999999999935,6.5052130349130266e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-177p868754925_VX-0p784825891065_LS-5p3694165939e-05_ST-378p775948175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p14673987943e-06_H-fa25be35ef,old-data-local,sim_00075,0.0014,0.001212,0.0012119999999999813,1.8648277366750676e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
