benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_shortlist_size,acquisition_requested_shortlist_size,acquisition_finite_difference_h,acquisition_curvature_clip,acquisition_repulsion_bandwidth,acquisition_boundary_weight_power,acquisition_selected_position,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_normalized_uncertainty,acquisition_selected_boundary_weight,acquisition_selected_raw_curvature,acquisition_selected_normalized_curvature,acquisition_selected_repulsion,acquisition_selected_gbc_score,acquisition_fallback_used
branin,gated_geometric_boundary_contraction,2,11,16,17,1182,8.49324139798549,False,True,True,200,200,0.001,10.0,0.15,1.0,1171,155,0.515446368412684,0.5516751360383093,0.6583643241397593,8.368959171780858,0.9999999999998799,0.5124062639938534,0.1861076091722754,False
branin,gated_geometric_boundary_contraction,2,12,17,18,1319,12.675780841366468,False,False,True,200,200,0.001,10.0,0.15,1.0,1306,6,1.1487047390017278,0.9269885075260114,0.8815513862487242,1.1503775538903676,0.4508871551204783,0.755780211484097,0.2784744549521152,False
branin,gated_geometric_boundary_contraction,2,13,18,19,1480,28.861075492597323,False,False,False,200,200,0.001,10.0,0.15,1.0,1463,133,0.5657494666256437,0.9999999999981728,0.4402849498137531,10.0,0.9999999999999,0.6838034154623736,0.30106835245874386,False
branin,gated_geometric_boundary_contraction,2,14,19,20,413,71.40207388651714,False,False,False,200,200,0.001,10.0,0.15,1.0,411,64,1.1089566601788983,0.9962546278618142,0.6084342721124878,10.0,0.9999999999998979,0.7553215016171464,0.457842251763433,False
branin,gated_geometric_boundary_contraction,2,15,20,21,1352,135.58994047647326,False,False,False,200,200,0.001,10.0,0.15,1.0,1337,95,0.8668364222910161,0.9702568648269441,0.5609945470806692,6.315437088923133,0.6308751540774524,0.6418053141502967,0.22039010743474205,False
branin,gated_geometric_boundary_contraction,2,16,21,22,605,43.56273543604814,False,False,False,200,200,0.001,10.0,0.15,1.0,596,6,1.239060860111183,0.9999999999977423,0.864909405410434,3.6334921873046953,0.3603496211111702,0.6613210710112098,0.20611379041957614,False
branin,gated_geometric_boundary_contraction,2,17,22,23,572,24.158877550896733,False,False,False,200,200,0.001,10.0,0.15,1.0,564,197,0.478357386529917,0.9573969151247971,0.4808803584383323,10.0,0.9999999999999,0.5858414878237552,0.26971753786849223,False
branin,gated_geometric_boundary_contraction,2,18,23,24,701,9.751224047334425,False,False,True,200,200,0.001,10.0,0.15,1.0,690,95,1.0107817840713271,0.9632009393658724,0.617215551440028,10.0,0.9999999999999,0.529573909320942,0.3148330654211629,False
branin,gated_geometric_boundary_contraction,2,19,24,25,916,85.69373933110934,False,False,False,200,200,0.001,10.0,0.15,1.0,903,22,1.0714901268002874,0.725307761378453,0.8041152712440549,10.0,0.9999999999998999,0.4072153295260794,0.23750062310641598,False
branin,gated_geometric_boundary_contraction,2,20,25,26,199,24.60932820421404,False,False,False,200,200,0.001,10.0,0.15,1.0,199,23,0.9587885930214428,0.8104926919006816,0.7218962414504999,10.0,0.9999999999998997,0.3701049355493973,0.21654529927370492,False
