analysis_type,population_or_route,train_population,test_population,candidate_id,metric,estimate,ci_low,ci_high,bootstrap_resamples,bootstrap_unit,bootstrap_scheme
within_population,all-combined,all-combined,all-combined,G3,roc_auc,0.9941232462856433,0.9866738401688532,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,G3,average_precision,0.9836992153039033,0.9640566390809159,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,G3,loo_balanced_accuracy,0.9794520547945205,0.952054794520548,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,G3,loo_sensitivity,0.958904109589041,0.9041095890410958,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,G3,loo_specificity,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,R3,roc_auc,0.9944543310019451,0.9872522037826429,0.9995044075652858,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,R3,average_precision,0.9832856889644069,0.963077276270984,0.9978370490360396,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,R3,loo_balanced_accuracy,0.9695815916897736,0.94146060091876,0.9931506849315068,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,R3,loo_sensitivity,0.9452054794520548,0.8904109589041096,0.9863013698630136,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,R3,loo_specificity,0.9939577039274925,0.9848942598187311,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,max_depth,roc_auc,0.9999587390658524,0.9997524343951147,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,max_depth,average_precision,0.9998148833765275,0.9989185291997116,1.0000000000000002,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,max_depth,loo_balanced_accuracy,0.9916446608351213,0.9749339825053639,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,max_depth,loo_sensitivity,0.9863013698630136,0.958904109589041,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,max_depth,loo_specificity,0.9969879518072289,0.9909638554216867,1.0,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,T0_depth,roc_auc,0.9730153490675029,0.9584079468559167,0.9854348902459151,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,T0_depth,average_precision,0.9093122633781147,0.8654436683635212,0.9485173482805327,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,T0_depth,loo_balanced_accuracy,0.8608681300544645,0.81826621554712,0.8996497978214225,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,T0_depth,loo_sensitivity,0.8904109589041096,0.821917808219178,0.958904109589041,5000,simulation,stratified by Keyhole label
within_population,all-combined,all-combined,all-combined,T0_depth,loo_specificity,0.8313253012048193,0.7891566265060241,0.8704819277108434,5000,simulation,stratified by Keyhole label
cross_population_transfer,new_to_old_local,new-data,old-data-local,T0_depth,transfer_balanced_accuracy,0.7352941176470589,0.5507352941176471,0.9227941176470589,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,T0_depth,transfer_sensitivity,0.5,0.125,0.875,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,T0_depth,transfer_specificity,0.9705882352941176,0.9411764705882353,0.9941176470588236,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,max_depth,transfer_balanced_accuracy,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,max_depth,transfer_sensitivity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,max_depth,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,G3,transfer_balanced_accuracy,0.8125,0.625,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,G3,transfer_sensitivity,0.625,0.25,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,G3,transfer_specificity,1.0,1.0,1.0,5000,simulation,stratified test-population resampling; training threshold fixed
cross_population_transfer,new_to_old_local,new-data,old-data-local,R3,transfer_balanced_accuracy,0.75,0.5625,0.9375,5000,simulation,stratified test-population resampling; training threshold fixed
