route_id,train_population,test_population,candidate_id,unit,evaluation_type,train_n,test_n,train_test_overlap_n,training_selected_direction,training_selected_threshold,training_descriptive_balanced_accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,true_negative,false_positive,false_negative,true_positive,threshold_fitted_without_test_population
old_remote_to_new,old-data-remote-clean,new-data,T0_kinetic_energy,nJ,cross_population_transfer,63,164,0,higher,2.83404825,0.9672131147540983,0.7702341662737702,0.9365079365079365,0.6039603960396039,0.5959595959595959,0.7283950617283951,61,40,4,59,True
old_remote_to_new,old-data-remote-clean,new-data,R0,dimensionless,cross_population_transfer,63,164,0,higher,0.49366705561391555,1.0,0.9068049662109068,0.873015873015873,0.9405940594059405,0.9016393442622951,0.8870967741935484,95,6,8,55,True
pooled_descriptive,all-combined,all-combined,T0_depth,um,pooled_descriptive_not_held_out,405,405,407,higher,77.778445,0.9092053144083182,0.9092053144083182,0.9178082191780822,0.9006024096385542,0.67,0.7745664739884393,299,33,6,67,False
pooled_descriptive,all-combined,all-combined,max_depth,um,pooled_descriptive_not_held_out,405,405,407,higher,108.601,0.9984939759036144,0.9984939759036144,1.0,0.9969879518072289,0.9864864864864865,0.9931972789115646,331,1,0,73,False
pooled_descriptive,all-combined,all-combined,G3,um,pooled_descriptive_not_held_out,404,404,407,higher,100.9587625,0.9794520547945205,0.9794520547945205,0.958904109589041,1.0,1.0,0.9790209790209791,331,0,3,70,False
pooled_descriptive,all-combined,all-combined,R3,dimensionless,pooled_descriptive_not_held_out,404,404,407,higher,0.5519829667262584,0.9764309067582668,0.9764309067582668,0.958904109589041,0.9939577039274925,0.9722222222222222,0.9655172413793104,329,2,3,70,False
pooled_descriptive,all-combined,all-combined,T0_width,um,pooled_descriptive_not_held_out,405,405,407,higher,134.07150000000001,0.5960967156296418,0.5960967156296418,0.9452054794520548,0.2469879518072289,0.21630094043887146,0.3520408163265306,82,250,4,69,False
pooled_descriptive,all-combined,all-combined,T0_total_height,um,pooled_descriptive_not_held_out,405,405,407,higher,95.90286499999999,0.8459523023601254,0.8459523023601254,0.9178082191780822,0.7740963855421686,0.47183098591549294,0.6232558139534884,257,75,6,67,False
pooled_descriptive,all-combined,all-combined,T0_kinetic_energy,nJ,pooled_descriptive_not_held_out,405,405,407,higher,3.0908675,0.8681094239973592,0.8681094239973592,0.8356164383561644,0.9006024096385542,0.648936170212766,0.7305389221556886,299,33,12,61,False
pooled_descriptive,all-combined,all-combined,R0,dimensionless,pooled_descriptive_not_held_out,405,405,407,higher,0.4559295168357515,0.9204282884964515,0.9204282884964515,0.9041095890410958,0.9367469879518072,0.7586206896551724,0.825,311,21,7,66,False
