benchmark_population,run_id,method,formulation,available_start_budget,common_start_budget,final_budget,common_normalized_aulc__q20_error,warm_relative_normalized_aulc__q20_error,common_normalized_aulc__q30_error,warm_relative_normalized_aulc__q30_error,common_normalized_aulc__balanced_accuracy,warm_relative_normalized_aulc__balanced_accuracy
primary_common,primary_common__r04_f03,binary_margin,binary,12,16,80,0.2614889705882353,0.2590830449826989,0.17781249999999998,0.17911764705882352,0.9167235807569296,0.910263545716794
primary_common,primary_common__r04_f03,binary_random,binary,12,16,80,0.21920955882352944,0.22361591695501729,0.17468750000000005,0.1808823529411765,0.845807236140725,0.8317681550232031
primary_common,primary_common__r04_f03,binary_uncertainty_repulsion,binary,12,16,80,0.2587316176470589,0.25648788927335636,0.17593749999999997,0.17735294117647057,0.9170733941897654,0.9105927818888748
primary_common,primary_common__r04_f03,max_depth_boundary_proximity,max_depth,12,16,80,0.36672794117647056,0.3564013840830449,0.249375,0.2435294117647059,0.8979336020788911,0.898332653957105
primary_common,primary_common__r04_f03,max_depth_expected_feasibility,max_depth,12,16,80,0.33639705882352944,0.33347750865051895,0.22874999999999998,0.22735294117647056,0.9237323427505332,0.921014674526527
primary_common,primary_common__r04_f03,max_depth_random,max_depth,12,16,80,0.24862132352941177,0.25129757785467133,0.17968749999999997,0.18558823529411764,0.9048091018123668,0.8907131882603787
primary_common,primary_common__r04_f03,max_depth_randomized_straddle,max_depth,12,16,80,0.3125,0.31228373702422146,0.2125,0.21411764705882355,0.9244652851812367,0.9199760127931769
primary_common,primary_common__r04_f03,max_depth_straddle,max_depth,12,16,80,0.3318014705882353,0.3313148788927335,0.22812499999999997,0.228235294117647,0.9169734474946696,0.9152843973410261
primary_common,primary_common__r04_f04,binary_margin,binary,12,16,80,0.13005514705882354,0.1323529411764706,0.09218749999999998,0.09470588235294117,0.9483309659090908,0.9480503565062389
primary_common,primary_common__r04_f04,binary_random,binary,12,16,80,0.18658088235294118,0.1963667820069204,0.13125,0.13764705882352943,0.910345643939394,0.9068850267379678
primary_common,primary_common__r04_f04,binary_uncertainty_repulsion,binary,12,16,80,0.1282169117647059,0.13062283737024222,0.09093749999999999,0.09352941176470587,0.9493726325757574,0.9490307486631016
primary_common,primary_common__r04_f04,max_depth_boundary_proximity,max_depth,12,16,80,0.2224264705882353,0.2335640138408304,0.15500000000000003,0.16705882352941176,0.9701231060606061,0.9669229055258469
primary_common,primary_common__r04_f04,max_depth_expected_feasibility,max_depth,12,16,80,0.24402573529411767,0.25692041522491355,0.16593750000000002,0.17705882352941174,0.9617069128787881,0.9591688948306597
primary_common,primary_common__r04_f04,max_depth_random,max_depth,12,16,80,0.2568933823529412,0.26427335640138405,0.19031249999999997,0.19852941176470584,0.9638375946969697,0.9617869875222818
primary_common,primary_common__r04_f04,max_depth_randomized_straddle,max_depth,12,16,80,0.1911764705882353,0.20674740484429063,0.13,0.14294117647058818,0.9668678977272729,0.9642491087344032
primary_common,primary_common__r04_f04,max_depth_straddle,max_depth,12,16,80,0.271139705882353,0.282439446366782,0.18437499999999996,0.19382352941176467,0.964251893939394,0.9616755793226381
primary_common,primary_common__r04_f05,binary_margin,binary,12,16,80,0.19669117647058826,0.2032871972318339,0.13406250000000003,0.14205882352941174,0.8978294909381663,0.8857197729838204
primary_common,primary_common__r04_f05,binary_random,binary,12,16,80,0.27941176470588236,0.2802768166089965,0.194375,0.19911764705882345,0.8323935567697227,0.8257086416656214
primary_common,primary_common__r04_f05,binary_uncertainty_repulsion,binary,12,16,80,0.19669117647058826,0.2032871972318339,0.13406250000000003,0.14205882352941174,0.8978294909381663,0.8857197729838204
primary_common,primary_common__r04_f05,max_depth_boundary_proximity,max_depth,12,16,80,0.20128676470588236,0.20112456747404842,0.1403125,0.1438235294117647,0.9287171841684434,0.920266054182867
primary_common,primary_common__r04_f05,max_depth_expected_feasibility,max_depth,12,16,80,0.18474264705882354,0.1864186851211073,0.12625,0.13264705882352942,0.9328649720149252,0.9228725072118399
primary_common,primary_common__r04_f05,max_depth_random,max_depth,12,16,80,0.23575367647058826,0.23788927335640137,0.200625,0.2044117647058823,0.8587544976012793,0.8501387495296626
primary_common,primary_common__r04_f05,max_depth_randomized_straddle,max_depth,12,16,80,0.22564338235294118,0.22534602076124563,0.1684375,0.17029411764705873,0.8973505796908315,0.8914814059952337
primary_common,primary_common__r04_f05,max_depth_straddle,max_depth,12,16,80,0.18933823529411764,0.19247404844290655,0.12937500000000002,0.13499999999999998,0.9187891457889126,0.9116588799698981
secondary_g3_common,secondary_g3_common__r01_f01,binary_g3_common_margin,binary,12,12,80,0.16522491349480967,0.16522491349480967,0.1211764705882353,0.1211764705882353,0.9183489304812833,0.9183489304812833
secondary_g3_common,secondary_g3_common__r01_f01,binary_g3_common_random,binary,12,12,80,0.1682525951557093,0.1682525951557093,0.15676470588235297,0.15676470588235297,0.8555592691622105,0.8555592691622105
secondary_g3_common,secondary_g3_common__r01_f01,g3_random,g3,12,12,80,0.19117647058823528,0.19117647058823528,0.17441176470588235,0.17441176470588235,0.901370320855615,0.901370320855615
secondary_g3_common,secondary_g3_common__r01_f01,g3_straddle,g3,12,12,80,0.2348615916955017,0.2348615916955017,0.258235294117647,0.258235294117647,0.8995098039215685,0.8995098039215685
secondary_g3_common,secondary_g3_common__r01_f01,max_depth_g3_common_random,max_depth,12,12,80,0.18339100346020762,0.18339100346020762,0.15235294117647055,0.15235294117647055,0.9110739750445633,0.9110739750445633
secondary_g3_common,secondary_g3_common__r01_f01,max_depth_g3_common_straddle,max_depth,12,12,80,0.11634948096885812,0.11634948096885812,0.09382352941176472,0.09382352941176472,0.967992424242424,0.967992424242424
secondary_g3_common,secondary_g3_common__r01_f02,binary_g3_common_margin,binary,12,12,80,0.16262975778546712,0.16262975778546712,0.1123529411764706,0.1123529411764706,0.925012542330365,0.925012542330365
secondary_g3_common,secondary_g3_common__r01_f02,binary_g3_common_random,binary,12,12,80,0.18468858131487886,0.18468858131487886,0.1255882352941176,0.1255882352941176,0.9001630502947449,0.9001630502947449
secondary_g3_common,secondary_g3_common__r01_f02,g3_random,g3,12,12,80,0.3516435986159169,0.3516435986159169,0.2994117647058823,0.2994117647058823,0.8983404929135834,0.8983404929135834
secondary_g3_common,secondary_g3_common__r01_f02,g3_straddle,g3,12,12,80,0.3144463667820069,0.3144463667820069,0.23705882352941174,0.23705882352941174,0.918588517496551,0.918588517496551
secondary_g3_common,secondary_g3_common__r01_f02,max_depth_g3_common_random,max_depth,12,12,80,0.4173875432525951,0.4173875432525951,0.3711764705882352,0.3711764705882352,0.8778102658974039,0.8778102658974039
secondary_g3_common,secondary_g3_common__r01_f02,max_depth_g3_common_straddle,max_depth,12,12,80,0.3170415224913494,0.3170415224913494,0.2391176470588235,0.2391176470588235,0.9190314185375643,0.9190314185375643
secondary_g3_common,secondary_g3_common__r01_f03,binary_g3_common_margin,binary,12,12,80,0.3183391003460207,0.3183391003460207,0.21705882352941175,0.21705882352941175,0.8732286096256684,0.8732286096256684
secondary_g3_common,secondary_g3_common__r01_f03,binary_g3_common_random,binary,12,12,80,0.46669550173010377,0.46669550173010377,0.31735294117647067,0.31735294117647067,0.782107843137255,0.782107843137255
secondary_g3_common,secondary_g3_common__r01_f03,g3_random,g3,12,12,80,0.3827854671280276,0.3827854671280276,0.2626470588235293,0.2626470588235293,0.8252339572192513,0.8252339572192513
secondary_g3_common,secondary_g3_common__r01_f03,g3_straddle,g3,12,12,80,0.3386678200692041,0.3386678200692041,0.2367647058823529,0.2367647058823529,0.8865307486631017,0.8865307486631017
