run_id,repeat,fold,beta_logP,beta_logVX,beta_logLS,VX_over_P,LS_over_P
w85__r10_f03,10,3,10.021156404913894,-4.927907502959362,-14.577656317356865,-0.49175038327342674,-1.4546880348268671
w85__r10_f04,10,4,7.805749995184914,-4.132933839039142,-12.414442541810175,-0.5294729963922237,-1.5904227716065975
w85__r10_f05,10,5,9.31018421508047,-4.635593466411467,-11.982039768420488,-0.4979056653790819,-1.286982028670517
w85__r11_f01,11,1,7.931031270060459,-4.064120763471477,-11.684000634118764,-0.5124328255788728,-1.4732006767172532
w85__r11_f02,11,2,8.329718889172376,-4.230726333773728,-10.944950047939878,-0.5079074564296713,-1.313963915657104
w85__r11_f03,11,3,8.718454778012381,-4.781118641472521,-11.997920967969243,-0.5483905993904246,-1.3761522280562324
w85__r11_f04,11,4,9.045600823413237,-4.553592298824642,-14.410037816345293,-0.5034040731753631,-1.5930437455350652
w85__r11_f05,11,5,10.56305560285106,-5.342693734314947,-15.407196132993798,-0.5057905529601594,-1.4585927322805403
w85__r12_f01,12,1,9.007573296791243,-4.135281831460781,-11.172467559617896,-0.45908944564835097,-1.2403415649804206
w85__r12_f02,12,2,7.818183677260675,-4.404308130413086,-13.596455668655002,-0.5633416036544515,-1.7390811254793785
w85__r12_f03,12,3,9.756272772500449,-4.965207498200981,-13.994411343301403,-0.5089246286959278,-1.4344014020135638
w85__r12_f04,12,4,8.744235788859271,-4.9193456401970534,-12.587929914058146,-0.56258154045487,-1.4395689020755813
w85__r12_f05,12,5,8.806934890507552,-4.370485872102924,-12.53662655525924,-0.49625504519326,-1.423494860711607
w85__r13_f01,13,1,8.61599449679429,-4.584173294959612,-12.072819702367587,-0.5320538791738113,-1.4012102383374851
w85__r13_f02,13,2,9.195724998631125,-4.552766076503927,-12.923778742062998,-0.49509593612049635,-1.4054116172446252
w85__r13_f03,13,3,7.984735656599713,-4.5759667760010645,-13.191708366239938,-0.573089326034086,-1.652115853746072
w85__r13_f04,13,4,9.455615350995421,-4.773352327723762,-14.259563490912049,-0.5048166777661125,-1.5080524071245032
w85__r13_f05,13,5,8.601638482845345,-4.2074100623244775,-11.328078066102222,-0.4891405365054012,-1.3169674694762334
w85__r14_f01,14,1,10.241853687548945,-5.250468047323059,-16.64850207307561,-0.5126482185257216,-1.625536019257456
w85__r14_f02,14,2,8.33692798194468,-4.351601804495052,-10.755959207748836,-0.5219670619584738,-1.2901585849179773
w85__r14_f03,14,3,9.576140538699702,-4.864425825737096,-14.257065472492252,-0.5079735208645563,-1.4888112193921654
w85__r14_f04,14,4,8.229239670663587,-4.516964704301906,-11.452745880959341,-0.5488921072993453,-1.3917137353268771
