name,hash,P,VX,LS,ST,LS_micrometres,observed_conduction,first_observed_conduction_timestep,initial_emptiness_frame_count,screenshot_bug_frame_count,preconduction_screenshot_bug_frame_count,screenshot_bug_any,screenshot_bug_before_first_observed_conduction,first_label,first_non_initial_emptiness_label,first_non_empty_like_label,initial_empty_like_block_stored_frames,initial_empty_like_block_timestep_width,begins_initial_emptiness_then_bug,all_preconduction_bug_in_initial_empty_like_block,all_bug_frames_in_initial_empty_like_block,initial_empty_like_block_contains_bug,screenshot_bug_after_physical_regime,screenshot_bug_block_count,screenshot_bug_block_structure,stored_frame_count,label_sequence_rle,sequence_pattern_category
P-129p569646497_VX-0p287154347682_LS-6p5197985882e-05_ST-393p701994752_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p67997477383e-05_H-b41981edcb,b41981edcb,129.569646497,0.287154347682,6.5197985882e-05,393.701994752,65.197985882,True,32343.0,35,0,0,False,False,Initial Emptiness,Conduction,Conduction,35,31417.0,False,,False,False,False,0,none,127,Initial Emptiness × 35 → Conduction × 92,no_bug
P-129p840936159_VX-0p750604494449_LS-8p84568803437e-05_ST-319p185657099_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p42698070514e-06_H-f575443233,f575443233,129.840936159,0.750604494449,8.84568803437e-05,319.185657099,88.4568803437,True,76053.0,0,31,31,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,31,12020.0,False,True,True,True,False,1,one_contiguous_block,322,Screenshot Bug × 31 → Forming Phase × 179 → Conduction × 112,initial_empty_like_block_bug_only
P-131p049819122_VX-0p780196421599_LS-5p30845028915e-05_ST-389p742843455_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18321293134e-06_H-b41981edcb,b41981edcb,131.049819122,0.780196421599,5.30845028915e-05,389.742843455,53.084502891499994,True,12245.0,62,0,0,False,False,Initial Emptiness,Conduction,Conduction,36,11905.0,False,,False,False,False,0,none,340,Initial Emptiness × 36 → Conduction × 278 → Initial Emptiness × 26,no_bug
P-132p12166853_VX-0p788188085218_LS-6p42596953306e-05_ST-382p443068729_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p1205195733e-06_H-b41981edcb,b41981edcb,132.12166853,0.788188085218,6.42596953306e-05,382.443068729,64.25969533060001,True,12121.0,62,0,0,False,False,Initial Emptiness,Conduction,Conduction,36,11784.0,False,,False,False,False,0,none,343,Initial Emptiness × 36 → Conduction × 281 → Initial Emptiness × 26,no_bug
P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,306f9d252b,133.003569327,0.736244453131,4.5e-05,300.0,45.0,True,13551.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,494,Initial Emptiness × 1 → Forming Phase × 96 → Conduction × 397,no_bug
P-133p058435031_VX-0p81650327798_LS-4p78587303962e-05_ST-362p382821566_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p90826850683e-06_H-dd169576f0,dd169576f0,133.058435031,0.81650327798,4.78587303962e-05,362.382821566,47.858730396199995,True,29896.0,0,82,36,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,36,11700.0,False,True,False,True,True,2,multiple_separated_blocks,354,Screenshot Bug × 36 → Forming Phase × 55 → Conduction × 217 → Screenshot Bug × 46,multiple_separated_bug_blocks
P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,306f9d252b,133.757797566,0.645163458122,4.5e-05,300.0,45.0,True,12754.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,433,Initial Emptiness × 1 → Forming Phase × 79 → Conduction × 353,no_bug
P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,b0e5aed98c,134.442185153,0.806363522352,4.5e-05,300.0,45.0,True,9949.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,541,Initial Emptiness × 1 → Forming Phase × 77 → Conduction × 463,no_bug
P-134p93654729_VX-0p343298656719_LS-5p9412954069e-05_ST-389p435734624_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p40522559835e-05_H-b41981edcb,b41981edcb,134.93654729,0.343298656719,5.9412954069e-05,389.435734624,59.412954069,True,27047.0,35,0,0,False,False,Initial Emptiness,Conduction,Conduction,35,26275.0,False,,False,False,False,0,none,151,Initial Emptiness × 35 → Conduction × 116,no_bug
P-135p171981101_VX-0p652238458987_LS-5p89001447273e-05_ST-362p997098414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p39625291417e-06_H-01d46950f6,01d46950f6,135.171981101,0.652238458987,5.89001447273e-05,362.997098414,58.900144727299995,True,36619.0,0,34,34,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,34,14240.0,False,True,True,True,False,1,one_contiguous_block,283,Screenshot Bug × 34 → Forming Phase × 54 → Conduction × 195,initial_empty_like_block_bug_only
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,fb250c7cf9,135.208661893,0.295797438033,4.5e-05,300.0,45.0,True,24334.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,199,Initial Emptiness × 1 → Forming Phase × 69 → Conduction × 108 → Keyhole × 21,no_bug
P-136p115095044_VX-0p8200930762_LS-6p39666133344e-05_ST-362p502989524_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88240620853e-06_H-f575443233,f575443233,136.115095044,0.8200930762,6.39666133344e-05,362.502989524,63.966613334399995,True,27498.0,0,67,36,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,36,11326.0,False,True,False,True,True,2,multiple_separated_blocks,354,Screenshot Bug × 36 → Forming Phase × 49 → Conduction × 238 → Screenshot Bug × 31,multiple_separated_bug_blocks
P-136p984349172_VX-0p357723834949_LS-5p17808569448e-05_ST-373p061688931_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p34856001521e-05_H-270d04032e,270d04032e,136.984349172,0.357723834949,5.17808569448e-05,373.061688931,51.7808569448,True,63084.0,0,36,36,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,36,25957.0,False,True,True,True,False,1,one_contiguous_block,157,Screenshot Bug × 36 → Forming Phase × 49 → Conduction × 72,initial_empty_like_block_bug_only
P-137p056736091_VX-0p84145784316_LS-6p02926393206e-05_ST-342p992007776_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p73305085006e-06_H-ddeae69a6e,ddeae69a6e,137.056736091,0.84145784316,6.02926393206e-05,342.992007776,60.292639320599996,True,11669.0,76,0,0,False,False,Initial Emptiness,Conduction,Conduction,33,11038.0,False,,False,False,False,0,none,358,Initial Emptiness × 33 → Conduction × 282 → Initial Emptiness × 43,no_bug
P-137p340072051_VX-0p708357837186_LS-8p48461574474e-05_ST-331p337392673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p81028761138e-06_H-701e6757d1,701e6757d1,137.340072051,0.708357837186,8.48461574474e-05,331.337392673,84.8461574474,True,36341.0,0,31,31,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,31,13112.0,False,True,True,True,False,1,one_contiguous_block,305,Screenshot Bug × 31 → Forming Phase × 61 → Conduction × 213,initial_empty_like_block_bug_only
P-137p601432421_VX-0p461948695475_LS-6p48780591522e-05_ST-397p490087405_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p04429791669e-05_H-ef2aaf59fd,ef2aaf59fd,137.601432421,0.461948695475,6.48780591522e-05,397.490087405,64.8780591522,True,55168.0,0,30,30,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,30,19528.0,False,True,True,True,False,1,one_contiguous_block,198,Screenshot Bug × 30 → Forming Phase × 61 → Conduction × 107,initial_empty_like_block_bug_only
P-138p247900083_VX-0p876957934743_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p13212389961e-06_H-306f9d252b,306f9d252b,138.247900083,0.876957934743,4.5e-05,300.0,45.0,True,8679.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,106,Initial Emptiness × 1 → Forming Phase × 73 → Conduction × 32,no_bug
P-139p185905374_VX-0p93275027917_LS-8p26285474625e-05_ST-371p150203889_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p17193155633e-06_H-b789300819,b789300819,139.185905374,0.93275027917,8.26285474625e-05,371.150203889,82.6285474625,True,10242.0,102,0,0,False,False,Initial Emptiness,Conduction,Conduction,34,9957.0,False,,False,False,False,0,none,392,Initial Emptiness × 34 → Conduction × 290 → Initial Emptiness × 68,no_bug
P-139p278080234_VX-0p813607985113_LS-8p25985701782e-05_ST-356p830860854_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p9292935803e-06_H-6014a1f9c3,6014a1f9c3,139.278080234,0.813607985113,8.25985701782e-05,356.830860854,82.59857017819999,True,33920.0,0,55,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,11416.0,False,True,False,True,True,2,multiple_separated_blocks,351,Screenshot Bug × 35 → Forming Phase × 68 → Conduction × 228 → Screenshot Bug × 20,multiple_separated_bug_blocks
