family,model,repeat,fold,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss
physical_score,irradiance_P_over_LS2__raw,4,3,0.9734848484848485,0.9184409340659341,0.7973484848484849,0.052512861615002855,0.1722832386963742
physical_score,irradiance_P_over_LS2__raw,4,4,0.9886363636363636,0.959375,0.875,0.04539407835561133,0.16036289635560902
physical_score,irradiance_P_over_LS2__raw,4,5,0.9469696969696969,0.8509740259740259,0.8125,0.0699224274439011,0.23894650313899968
physical_score,irradiance_P_over_LS2__raw,4,6,0.9264069264069265,0.673109243697479,0.7705627705627706,0.07001307291060015,0.4025324914605409
physical_score,irradiance_P_over_LS2__raw,4,7,0.9913419913419914,0.9617346938775511,0.9134199134199135,0.025963754931476752,0.092104914377825
physical_score,irradiance_P_over_LS2__raw,4,8,0.9913419913419914,0.9682539682539683,0.9285714285714286,0.024990923534036213,0.1000249284581298
physical_score,irradiance_P_over_LS2__raw,4,9,0.9913419913419914,0.9617346938775511,0.9134199134199135,0.03510925437714717,0.12580574245555415
physical_score,irradiance_P_over_LS2__raw,4,10,0.961038961038961,0.8242424242424242,0.6277056277056277,0.0800863198553723,0.23719028437582965
physical_score,irradiance_P_over_LS2__raw,5,1,0.9411764705882353,0.8218210361067504,0.7710084033613445,0.06731506058321919,0.21152294242840877
physical_score,irradiance_P_over_LS2__raw,5,2,0.9915966386554622,0.9617346938775511,0.8571428571428572,0.032502569259566,0.11615088402588002
physical_score,irradiance_P_over_LS2__raw,5,3,0.9886363636363636,0.9659090909090909,0.8125,0.03920574144942065,0.1404021127427644
physical_score,irradiance_P_over_LS2__raw,5,4,0.9659090909090909,0.8784722222222222,0.7821969696969697,0.07336318540354157,0.29074939483646783
physical_score,irradiance_P_over_LS2__raw,5,5,0.9924242424242424,0.9704861111111112,0.9223484848484849,0.025998798268170527,0.09515657072679551
physical_score,irradiance_P_over_LS2__raw,5,6,0.974025974025974,0.9200680272108843,0.9134199134199135,0.03798749417557558,0.13004499621413457
physical_score,irradiance_P_over_LS2__raw,5,7,0.948051948051948,0.6976190476190477,0.7705627705627706,0.07097944411361226,0.38911170168634357
physical_score,irradiance_P_over_LS2__raw,5,8,1.0,1.0,1.0,0.0025114509714461884,0.04130386154949127
physical_score,irradiance_P_over_LS2__raw,5,9,0.961038961038961,0.8928571428571428,0.8571428571428572,0.046550477658648864,0.1687706055613929
physical_score,irradiance_P_over_LS2__raw,5,10,0.9653679653679653,0.9081632653061225,0.7142857142857143,0.07576734964816365,0.24340365854283957
physical_score,keyhole_process_score_h__log,1,1,0.9915966386554622,0.9617346938775511,0.8571428571428572,0.04303494321859545,0.12453252232370092
physical_score,keyhole_process_score_h__log,1,2,0.9957983193277311,0.982142857142857,0.9138655462184874,0.02186036798266752,0.07322137245320655
physical_score,keyhole_process_score_h__log,1,3,0.9848484848484849,0.9502840909090909,0.9223484848484849,0.046253058687603134,0.16824047873937287
physical_score,keyhole_process_score_h__log,1,4,0.9772727272727273,0.8755456349206349,0.8598484848484849,0.04161171095874831,0.18468519701833594
physical_score,keyhole_process_score_h__log,1,5,1.0,1.0,0.9848484848484849,0.01774660561776765,0.06392030318571591
physical_score,keyhole_process_score_h__log,1,6,1.0,1.0,1.0,0.016891574914067307,0.06955752508184494
physical_score,keyhole_process_score_h__log,1,7,0.9826839826839827,0.9093537414965986,0.8419913419913421,0.05191316401560793,0.14215847868516693
physical_score,keyhole_process_score_h__log,1,8,1.0,1.0,1.0,0.005649976088030169,0.035133570818042484
physical_score,keyhole_process_score_h__log,1,9,1.0,1.0,1.0,0.004171976830786938,0.023172957441307623
physical_score,keyhole_process_score_h__log,1,10,0.987012987012987,0.9571428571428572,0.8571428571428572,0.04752107317659813,0.14455279774461244
physical_score,keyhole_process_score_h__log,2,1,0.9621848739495797,0.8242424242424242,0.8991596638655461,0.07919689408559327,0.40887724052100827
physical_score,keyhole_process_score_h__log,2,2,1.0,1.0,0.9852941176470589,0.0145658531063896,0.058512747844933544
physical_score,keyhole_process_score_h__log,2,3,1.0,1.0,1.0,0.0006900897657146611,0.010241455675977071
physical_score,keyhole_process_score_h__log,2,4,1.0,1.0,1.0,0.021722793943532125,0.08619227684362091
physical_score,keyhole_process_score_h__log,2,5,1.0,1.0,1.0,0.009449840169716612,0.04895067286881405
physical_score,keyhole_process_score_h__log,2,6,0.987012987012987,0.9571428571428572,0.9134199134199135,0.029916325209041333,0.0970699331238897
physical_score,keyhole_process_score_h__log,2,7,0.9913419913419914,0.9617346938775511,0.8571428571428572,0.032294848269280356,0.09160889288363484
physical_score,keyhole_process_score_h__log,2,8,0.9913419913419914,0.9682539682539683,0.9134199134199135,0.03461492654620648,0.09570674901767934
physical_score,keyhole_process_score_h__log,2,9,0.987012987012987,0.9571428571428572,0.7142857142857143,0.05464564970060979,0.15378152276741336
physical_score,keyhole_process_score_h__log,2,10,0.9913419913419914,0.9682539682539683,0.9285714285714286,0.020963726060096752,0.06872552104308872
physical_score,keyhole_process_score_h__log,3,1,1.0,1.0,1.0,0.00732978811277679,0.03480835502412738
physical_score,keyhole_process_score_h__log,3,2,0.9873949579831932,0.9571428571428571,0.8571428571428572,0.03536446236811294,0.121136949602596
physical_score,keyhole_process_score_h__log,3,3,0.9924242424242424,0.975,0.9375,0.023331391470856024,0.07884372080490239
physical_score,keyhole_process_score_h__log,3,4,0.9772727272727273,0.9202741702741704,0.8598484848484849,0.05062474023008851,0.14966136903758212
physical_score,keyhole_process_score_h__log,3,5,0.9924242424242424,0.9704861111111112,0.9223484848484849,0.024366379696511842,0.07443770631183563
physical_score,keyhole_process_score_h__log,3,6,1.0,1.0,1.0,0.013586392119663632,0.054641707676635023
physical_score,keyhole_process_score_h__log,3,7,0.9913419913419914,0.9682539682539683,0.9134199134199135,0.025160330289477516,0.07732303513218979
physical_score,keyhole_process_score_h__log,3,8,0.9913419913419914,0.9617346938775511,0.9134199134199135,0.041013129217968125,0.13789840978673795
physical_score,keyhole_process_score_h__log,3,9,1.0,1.0,0.9285714285714286,0.019811273562061825,0.07109767700630303
physical_score,keyhole_process_score_h__log,3,10,0.9740259740259741,0.859750566893424,0.8982683982683983,0.04653165589410237,0.2060615802522665
physical_score,keyhole_process_score_h__log,4,1,0.9915966386554622,0.9617346938775511,0.9852941176470589,0.032893662549974334,0.12217106787135441
physical_score,keyhole_process_score_h__log,4,2,1.0,1.0,1.0,0.004710954245110646,0.025486566800997378
physical_score,keyhole_process_score_h__log,4,3,0.9772727272727272,0.9464285714285714,0.875,0.041828446767932514,0.14251108628057654
physical_score,keyhole_process_score_h__log,4,4,0.9924242424242424,0.975,0.9375,0.02525067872814377,0.08251070833599347
physical_score,keyhole_process_score_h__log,4,5,0.9962121212121212,0.9861111111111112,0.875,0.03274912997211052,0.09797541396748843
physical_score,keyhole_process_score_h__log,4,6,0.9783549783549784,0.8736394557823131,0.8419913419913421,0.050277589736723693,0.2129179302746617
physical_score,keyhole_process_score_h__log,4,7,1.0,1.0,0.9696969696969697,0.016323542825612693,0.05397873086926809
physical_score,keyhole_process_score_h__log,4,8,0.9956709956709957,0.9821428571428572,0.9285714285714286,0.026145311507941704,0.08244726538545363
physical_score,keyhole_process_score_h__log,4,9,0.9956709956709957,0.9821428571428572,0.9696969696969697,0.029839771236202815,0.09252222546487068
physical_score,keyhole_process_score_h__log,4,10,1.0,1.0,0.8571428571428572,0.03196293796498657,0.1012875187265585
physical_score,keyhole_process_score_h__log,5,1,0.9705882352941176,0.8962585034013604,0.8991596638655461,0.04924232235393055,0.15034001957629206
physical_score,keyhole_process_score_h__log,5,2,1.0,1.0,1.0,0.006974588201514053,0.041086172634684365
physical_score,keyhole_process_score_h__log,5,3,1.0,1.0,0.9375,0.017292722775244535,0.060740738307905065
physical_score,keyhole_process_score_h__log,5,4,0.9772727272727273,0.9248511904761905,0.8598484848484849,0.06285785096957303,0.2130783182912975
physical_score,keyhole_process_score_h__log,5,5,1.0,1.0,0.9848484848484849,0.008551607971776435,0.03175226989676714
physical_score,keyhole_process_score_h__log,5,6,0.9956709956709957,0.9821428571428572,0.9134199134199135,0.0225950665530971,0.06748499519506806
physical_score,keyhole_process_score_h__log,5,7,0.9740259740259741,0.859750566893424,0.9134199134199135,0.044193776796397743,0.2050283060277427
physical_score,keyhole_process_score_h__log,5,8,1.0,1.0,1.0,0.004758455276384294,0.02774987741454523
physical_score,keyhole_process_score_h__log,5,9,0.9913419913419914,0.9682539682539683,0.8571428571428572,0.03106053785458146,0.09421040139042182
physical_score,keyhole_process_score_h__log,5,10,0.9913419913419914,0.9617346938775511,0.8571428571428572,0.04240115158959261,0.1249562415508314
physical_score,keyhole_process_score_h__raw,1,1,0.9915966386554622,0.9617346938775511,0.8571428571428572,0.04508778308570236,0.13406929502622308
physical_score,keyhole_process_score_h__raw,1,2,0.9957983193277311,0.982142857142857,0.9285714285714286,0.021380212417147857,0.07347391059053322
physical_score,keyhole_process_score_h__raw,1,3,0.9848484848484849,0.9502840909090909,0.9223484848484849,0.04634559239612252,0.1779325411935785
physical_score,keyhole_process_score_h__raw,1,4,0.9772727272727273,0.8755456349206349,0.8598484848484849,0.04439398438653489,0.2461032552502918
physical_score,keyhole_process_score_h__raw,1,5,1.0,1.0,1.0,0.013563028510249622,0.05739937687093076
physical_score,keyhole_process_score_h__raw,1,6,1.0,1.0,1.0,0.012317487063297078,0.06045855166507004
physical_score,keyhole_process_score_h__raw,1,7,0.9826839826839827,0.9093537414965986,0.7705627705627706,0.05721726590320434,0.15672151627412942
physical_score,keyhole_process_score_h__raw,1,8,1.0,1.0,1.0,0.005452217065507039,0.03639623375675688
physical_score,keyhole_process_score_h__raw,1,9,1.0,1.0,1.0,0.003128327042604423,0.02301218572285883
physical_score,keyhole_process_score_h__raw,1,10,0.987012987012987,0.9571428571428572,0.8571428571428572,0.051114930648599954,0.15695862423773335
physical_score,keyhole_process_score_h__raw,2,1,0.9621848739495797,0.8242424242424242,0.8991596638655461,0.07821839016298425,0.5131764227997156
physical_score,keyhole_process_score_h__raw,2,2,1.0,1.0,1.0,0.012068004789891028,0.053728946050272015
