comparison_type,target,target_definition,reference_model,candidate_model,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,reference_predicted_mean_um,candidate_predicted_mean_um,reference_residual_um,candidate_residual_um,reference_absolute_error_um,candidate_absolute_error_um,candidate_minus_reference_absolute_error_um,kernel_family_comparison
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00087,87,226.0174,222.54530553296613,222.91092142234925,3.4720944670338554,3.106478577650733,3.4720944670338554,3.106478577650733,-0.3656158893831223,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00088,88,143.44961500000002,132.2660054000113,145.10829295297196,11.183609599988728,-1.6586779529719422,11.183609599988728,1.6586779529719422,-9.524931647016786,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00089,89,228.18175,231.06177973706127,224.2237083706982,-2.880029737061278,3.958041629301789,2.880029737061278,3.958041629301789,1.0780118922405109,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00090,90,218.6967,214.31930900916728,217.237088997983,4.377390990832708,1.4596110020169988,4.377390990832708,1.4596110020169988,-2.9177799888157097,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00091,91,143.340925,144.6042050387676,142.74416992888072,-1.26328003876759,0.5967550711192757,1.26328003876759,0.5967550711192757,-0.6665249676483143,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00092,92,131.11235,132.82069027554573,130.61820168737398,-1.708340275545737,0.4941483126260095,1.708340275545737,0.4941483126260095,-1.2141919629197275,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00093,93,159.81514,165.40223733580652,157.4736448759648,-5.587097335806504,2.3414951240352195,5.587097335806504,2.3414951240352195,-3.245602211771285,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00094,94,135.3150999999,140.1414163690777,133.97736768811052,-4.826316369177704,1.3377323117894662,4.826316369177704,1.3377323117894662,-3.4885840573882376,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00095,95,146.943905,155.43582471032244,151.77812430848655,-8.491919710322435,-4.834219308486553,8.491919710322435,4.834219308486553,-3.657700401835882,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00096,96,171.39184,164.24758901234205,174.2673352337173,7.144250987657955,-2.875495233717288,7.144250987657955,2.875495233717288,-4.268755753940667,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00097,97,248.8456,245.3741643984776,244.45547791199985,3.4714356015224155,4.390122088000197,3.4714356015224155,4.390122088000197,0.9186864864777817,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00098,98,246.7974,249.40757518679132,242.65260163956157,-2.610175186791338,4.144798360438472,2.610175186791338,4.144798360438472,1.5346231736471339,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00099,99,135.28140499999998,136.55091432172512,137.2443478614313,-1.2695093217251383,-1.962942861431316,1.2695093217251383,1.962942861431316,0.6934335397061777,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00100,100,212.2565,214.35575228355455,210.2351985764973,-2.099252283554563,2.0213014235026776,2.099252283554563,2.0213014235026776,-0.07795086005188523,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00101,101,169.625425,222.66647125612232,240.55568908418607,-53.04104625612232,-70.93026408418606,53.04104625612232,70.93026408418606,17.889217828063742,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00102,102,234.6763,235.50336595612305,226.5103464361244,-0.8270659561230502,8.165953563875576,0.8270659561230502,8.165953563875576,7.338887607752525,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00103,103,219.1649,213.3847993769377,224.5947189809449,5.780100623062282,-5.429818980944901,5.780100623062282,5.429818980944901,-0.35028164211738044,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00104,104,135.20257999999998,132.94053692414118,137.3210602779892,2.2620430758587986,-2.118480277989221,2.2620430758587986,2.118480277989221,-0.1435627978695777,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00105,105,154.72028999999998,162.74766846921852,159.357242487687,-8.027378469218547,-4.636952487687012,8.027378469218547,4.636952487687012,-3.3904259815315356,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00106,106,175.27590999999998,172.1142477361833,171.57299928426863,3.1616622638166803,3.702910715731349,3.1616622638166803,3.702910715731349,0.5412484519146687,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00107,107,256.76705,212.20097953721225,248.84166452971937,44.566070462787735,7.925385470280617,44.566070462787735,7.925385470280617,-36.64068499250712,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00108,108,191.5584,186.2315082599559,188.94860619698613,5.326891740044118,2.609793803013872,5.326891740044118,2.609793803013872,-2.717097937030246,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00109,109,175.15818000000002,176.6891754548704,173.55398728068326,-1.5309954548703786,1.6041927193167569,1.5309954548703786,1.6041927193167569,0.07319726444637831,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00110,110,183.61817,170.84456454416625,186.10598396618116,12.773605455833746,-2.487813966181136,12.773605455833746,2.487813966181136,-10.28579148965261,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00111,111,167.20978,147.12455582149704,166.76005794799588,20.085224178502955,0.4497220520041196,20.085224178502955,0.4497220520041196,-19.635502126498835,RBF
