benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,63,0.3134,0.7352,0.12249307679694159,0.04581599999983155,0.477,1000,0.845,0.13266270313104866,0.4725,2000,0.8405,0.13406755517228533,0.449,3000,0.8356666666666667,0.13347077147509834
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,64,0.3145,0.7247,0.11986951325675652,0.05627630000162753,0.477,1000,0.839,0.12951960349467515,0.472,2000,0.833,0.13120037259723327,0.44966666666666666,3000,0.8283333333333334,0.13059757071836836
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,65,0.3081,0.718,0.1187165281585028,0.05404170000110753,0.479,1000,0.844,0.13109485017288672,0.4745,2000,0.8345,0.13224483627772718,0.448,3000,0.8296666666666667,0.13154091748619384
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,66,0.3152,0.7074,0.11567576963735311,0.04794180000135384,0.477,1000,0.828,0.12631333055103505,0.4735,2000,0.815,0.12738105983107653,0.4493333333333333,3000,0.8113333333333334,0.12714318519574838
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,67,0.3178,0.7414,0.12314184753822789,0.05967930000042543,0.479,1000,0.857,0.1353682794336581,0.4775,2000,0.8525,0.13658192904208505,0.453,3000,0.846,0.13615088702637726
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,68,0.3175,0.7352,0.12209254531630982,0.055423900001187576,0.479,1000,0.848,0.13395619348536408,0.477,2000,0.8425,0.13521021069137845,0.45266666666666666,3000,0.838,0.13482481042055722
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,69,0.3174,0.7296,0.12077581198084059,0.059228000000075554,0.48,1000,0.842,0.13246050431688117,0.4775,2000,0.8365,0.13375519860382168,0.453,3000,0.833,0.13338120674752782
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,70,0.3141,0.7312,0.12211634195430658,0.06284600000071805,0.476,1000,0.847,0.13409850717333824,0.478,2000,0.8385,0.13495972305993423,0.4543333333333333,3000,0.8303333333333334,0.1342802685023874
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,71,0.3173,0.7341,0.12213563562499603,0.05474090000097931,0.477,1000,0.852,0.1341059492822136,0.4795,2000,0.8435,0.13436883343193579,0.45466666666666666,3000,0.835,0.13397469791373579
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,72,0.3086,0.7309,0.12085225179904341,0.062164899998606415,0.474,1000,0.85,0.13379133662149856,0.4695,2000,0.841,0.13396694027369369,0.444,3000,0.8336666666666667,0.13326591648541675
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,73,0.3038,0.7333,0.12117317334360371,0.061332799999945564,0.481,1000,0.855,0.1351575072874399,0.472,2000,0.8435,0.1354655502895577,0.44433333333333336,3000,0.8366666666666667,0.13469233472719108
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,74,0.3041,0.7228,0.11886285404504228,0.06010169999899517,0.48,1000,0.844,0.1325726512483709,0.473,2000,0.8325,0.13293474337082517,0.44533333333333336,3000,0.8266666666666667,0.13215295168771835
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,75,0.2932,0.7332,0.12280013683507372,0.06861120000030496,0.473,1000,0.852,0.1371004167351003,0.4685,2000,0.841,0.13774893720269635,0.43866666666666665,3000,0.8356666666666667,0.13710662532788326
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,76,0.2901,0.7391,0.12475956210863633,0.07146920000013779,0.473,1000,0.858,0.13976773109366614,0.4675,2000,0.8475,0.14043797823335025,0.43633333333333335,3000,0.842,0.13985316796384697
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,77,0.2852,0.7476,0.1266504034669,0.06901130000005651,0.468,1000,0.869,0.14410518386911428,0.4625,2000,0.858,0.1443811091523693,0.43133333333333335,3000,0.8523333333333334,0.1433127459327029
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,78,0.2781,0.7488,0.12718667775965786,0.07178879999992205,0.47,1000,0.872,0.1456465811416497,0.459,2000,0.8575,0.14481450328765963,0.429,3000,0.8553333333333333,0.14439007086836253
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,79,0.2903,0.7907,0.13415773730915076,0.06480179999925895,0.467,1000,0.882,0.15336600394958225,0.4615,2000,0.8725,0.15171265921076638,0.435,3000,0.8726666666666667,0.15115440433692812
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,80,0.2887,0.7966,0.13583072730631143,0.06339309999930265,0.471,1000,0.885,0.15530030483458318,0.464,2000,0.877,0.15378812808637646,0.43566666666666665,3000,0.8766666666666667,0.15301356164918187
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,12,0.3981,0.8983,0.16239824578497755,0.03826230000049691,0.493,1000,0.959,0.17317923764456142,0.492,2000,0.9435,0.1712884833511935,0.4776666666666667,3000,0.945,0.17249433390168623
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,13,0.3948,0.8779,0.15390668726644216,0.03830579999885231,0.491,1000,0.948,0.1626927247884399,0.493,2000,0.93,0.16173518831636466,0.477,3000,0.932,0.16262381674037463
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,14,0.4103,0.8763,0.15062862439017327,0.03540659999998752,0.478,1000,0.941,0.15545216744677956,0.49,2000,0.9265,0.15577591135307342,0.47733333333333333,3000,0.927,0.15513137737547042
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,15,0.3974,0.9098,0.1635479112019332,0.041014000000359374,0.489,1000,0.971,0.1732175155967928,0.4945,2000,0.9595,0.17265271701181445,0.4786666666666667,3000,0.9553333333333334,0.17221958777679655
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,16,0.3836,0.9123,0.16539005562732031,0.04715519999990647,0.495,1000,0.966,0.17561259382604066,0.492,2000,0.9575,0.17482539507818742,0.475,3000,0.9536666666666667,0.17436784752640558
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,17,0.3826,0.9053,0.16082757777972262,0.05092560000048252,0.486,1000,0.961,0.1696691007626066,0.485,2000,0.9525,0.1685584676277059,0.4723333333333333,3000,0.9466666666666667,0.1678818366785921
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,18,0.3823,0.9011,0.16045172180587766,0.05250519999935932,0.486,1000,0.954,0.1688684493141259,0.485,2000,0.9445,0.1667757307037177,0.471,3000,0.9396666666666667,0.16616724391091478
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,19,0.3862,0.9101,0.16371995730986136,0.0495031000009476,0.483,1000,0.948,0.17001593333273923,0.482,2000,0.9425,0.1682358345830526,0.4683333333333333,3000,0.9406666666666667,0.1683886839879631
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,20,0.3788,0.9104,0.16226723691297062,0.04823390000092331,0.471,1000,0.945,0.1674357334663667,0.4795,2000,0.941,0.16623084973283156,0.4646666666666667,3000,0.941,0.1668270731993318
