arm,c,subset,budget,metric,delta_vs_M3_MARGIN,ci_lower,ci_upper
REP_C050,0.5,full81,16,brier_score,3.4694469519536144e-19,0.0,1.0408340855860842e-18
REP_C100,1.0,full81,16,brier_score,3.4694469519536144e-19,0.0,1.0408340855860842e-18
REP_C200,2.0,full81,16,brier_score,3.4694469519536144e-19,0.0,1.0408340855860842e-18
REP_C400,4.0,full81,16,brier_score,3.4694469519536144e-19,0.0,1.0408340855860842e-18
REP_C025,0.25,full81,40,accuracy,0.0018518518518518545,0.00024691358024693245,0.0033333333333333158
REP_C050,0.5,full81,40,accuracy,0.0019753086419752874,0.00012345679012342736,0.0038271604938271476
REP_C100,1.0,full81,40,accuracy,0.0016049382716049221,-0.00012345679012344403,0.0033333333333333106
REP_C200,2.0,full81,40,accuracy,0.002345679012345664,0.000740740740740753,0.00395061728395058
REP_C400,4.0,full81,40,accuracy,0.0022222222222222088,0.0006172839506172701,0.0038271604938271476
REP_C025,0.25,full81,40,balanced_accuracy,-0.0013836014731537227,-0.0048969939264715545,0.0018242190023906183
REP_C050,0.5,full81,40,balanced_accuracy,-0.0010491374297344203,-0.005555732700135683,0.003643248045486859
REP_C100,1.0,full81,40,balanced_accuracy,-0.0017156102603863854,-0.0051350035536602626,0.0017951484460812695
REP_C200,2.0,full81,40,balanced_accuracy,-0.0005132777670091015,-0.004709518155973361,0.003708058732312434
REP_C400,4.0,full81,40,balanced_accuracy,-7.275311752921731e-05,-0.004772734541577781,0.0043041747431672595
REP_C025,0.25,full81,40,keyhole_recall,-0.006380952380952365,-0.013761904761904748,0.0004285714285714448
REP_C050,0.5,full81,40,keyhole_recall,-0.005714285714285711,-0.015476190476190472,0.004428571428571432
REP_C100,1.0,full81,40,keyhole_recall,-0.006904761904761891,-0.014476190476190476,0.0006666666666666933
REP_C200,2.0,full81,40,keyhole_recall,-0.004952380952380958,-0.014571428571428579,0.004144047619047628
REP_C400,4.0,full81,40,keyhole_recall,-0.0036190476190476216,-0.01376190476190478,0.005857142857142833
REP_C025,0.25,full81,40,conduction_recall,0.003613749434644947,0.0021166892808683604,0.005282734056987809
REP_C050,0.5,full81,40,conduction_recall,0.003616010854816809,0.0015061058344640387,0.005741745816372679
REP_C100,1.0,full81,40,conduction_recall,0.003473541383989137,0.0013704206241519237,0.0055970714608774225
REP_C200,2.0,full81,40,conduction_recall,0.003925825418362711,0.0019719583898687824,0.005900045228403411
REP_C400,4.0,full81,40,conduction_recall,0.003473541383989126,0.0015151515151514798,0.005588025780189953
REP_C025,0.25,full81,40,roc_auc,-0.0005122224375955331,-0.0034406118756864696,0.0011615806250134992
REP_C050,0.5,full81,40,roc_auc,-0.0009476642760224696,-0.003887309663802176,0.0007110039628696262
REP_C100,1.0,full81,40,roc_auc,-0.00022433288104924953,-0.0037554715599491012,0.0023798550537356715
REP_C200,2.0,full81,40,roc_auc,-0.000462815791173965,-0.0037913602980766694,0.002069041157847213
REP_C400,4.0,full81,40,roc_auc,-0.0005380026275548233,-0.003860387456656064,0.0020388856582887116
REP_C025,0.25,full81,40,pr_auc,0.000781021255601394,-0.004915261255629075,0.00440044033122393
REP_C050,0.5,full81,40,pr_auc,-0.0006058826696883068,-0.006296115616375522,0.0031060412270799637
REP_C100,1.0,full81,40,pr_auc,0.0015913582946604,-0.005116845935494845,0.006962818848284668
