simulation_id,numeric_simulation_id,P,VX,LS,ST,LS_source_m,LS_definition,feature_units,T0_melt_pool_width_um,T0_penetration_depth_um,T0_melt_pool_kinetic_energy_nJ,adaptive_melt_pool_kinetic_energy_nJ,T0_total_vertical_height_um,adaptive_total_vertical_height_um,T0_observation_count,adaptive_observation_count,T0_definition,adaptive_definition,kinetic_source_unit,kinetic_report_unit,total_height_internal_unit,total_height_report_unit,kinetic_invalid_row_count,phase1_unstable_depth_window,huggingface_revision
sim_00034,34,138.247900083,0.876957934743,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",110.64032,46.733375,0.9729652999999999,0.7402086,59.82983,56.47949001286179,2234,5833,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,236,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00035,35,139.278080234,0.813607985113,82.59857017819999,356.830860854,8.25985701782e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",151.05829,38.79481,1.248352,1.138175,74.58906,64.79222793132067,12461,63723,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00036,36,140.119887795,0.222892199661,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",180.1840599999,86.1642,1.473584,1.2095155,105.02062,87.15752846910618,13751,44028,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00037,37,140.320645521,0.612281673664,85.6006119926,348.910931315,8.56006119926e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",173.99099,42.74968,1.2386009999999998,1.192048,74.64543499999999,69.89935354795307,16610,84947,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00038,38,140.539865228,0.255658736827,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",175.08367,122.20049999999999,1.5814380000000001,1.1862179999999998,142.5117799999,87.15128933545202,13751,47194,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00039,39,140.573028588,0.551169304036,67.8791919712,377.8442615,6.78791919712e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",149.31158,58.32933,1.185181,0.92435515,78.62362,69.70281538087875,10403,42014,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00040,40,140.974625597,0.98622838083,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",104.20475,46.84275,1.4968120000000003,1.3892545,69.592685,68.42429138487205,12166,61980,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00041,41,143.879945116,0.336279357485,67.6007351295,398.207663754,6.76007351295e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",175.03381999989998,58.74863,1.111911,0.63197645,73.60055,60.53431388863828,8339,25318,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00042,42,143.909481867,0.917293492006,55.0242100517,352.206869428,5.50242100517e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",119.34365000000001,46.50832,1.326213,1.200559,69.11158999999999,64.5433901809156,11031,56405,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00043,43,144.684844876,0.221020126644,83.2765690701,337.418493583,8.32765690701e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",233.5733,58.73507,1.659752,0.86012115,72.09173,61.93724038894288,15211,51138,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
