model,subset,budget,mean_accuracy,ci_lower,ci_upper
P0,B1_q30,45,0.8924000000000001,0.8864000000000001,0.8984
P0,B1_q30,46,0.8908000000000001,0.8848,0.8968
P0,B1_q30,47,0.8863999999999999,0.8808,0.8919999999999998
P0,B1_q30,48,0.8872000000000002,0.8804000000000001,0.8944000000000001
P0,B1_q30,49,0.8892000000000001,0.8828000000000001,0.8960000000000001
P0,B1_q30,50,0.8916000000000001,0.8844000000000001,0.8992000000000002
P0,B1_q30,51,0.8908000000000003,0.8836000000000002,0.8984000000000002
P0,B1_q30,52,0.8884000000000002,0.882,0.8952000000000002
P0,B1_q30,53,0.8896000000000003,0.8828000000000001,0.8968000000000002
P0,B1_q30,54,0.8888000000000001,0.8820000000000002,0.8956000000000002
P0,B1_q30,55,0.8916000000000002,0.8860000000000001,0.8972000000000001
P0,B1_q30,56,0.8876000000000002,0.882,0.8936
P0,B1_q30,57,0.8855999999999999,0.8800000000000001,0.8916000000000001
P0,B1_q30,58,0.8884000000000001,0.8828000000000001,0.8939999999999999
P0,B1_q30,59,0.8912000000000001,0.8860000000000001,0.8964000000000001
P0,B1_q30,60,0.89,0.8848,0.8952000000000002
P0,B1_q30,61,0.8936000000000002,0.8880000000000001,0.8992000000000001
P0,B1_q30,62,0.892,0.8868,0.8972000000000001
P0,B1_q30,63,0.8920000000000001,0.8855999999999999,0.8984000000000002
P0,B1_q30,64,0.8944000000000001,0.8884000000000001,0.9
P0,B1_q30,65,0.8948000000000003,0.8884000000000001,0.9012
P0,B1_q30,66,0.8940000000000003,0.8876000000000002,0.9004000000000001
P0,B1_q30,67,0.8948,0.8880000000000002,0.9012
P0,B1_q30,68,0.8928,0.8868,0.8984000000000002
P0,B1_q30,69,0.8944000000000001,0.8892000000000001,0.8996000000000002
P0,B1_q30,70,0.8968000000000002,0.8916000000000002,0.9019999999999999
P0,B1_q30,71,0.8972000000000001,0.8928,0.9016
P0,B1_q30,72,0.8964000000000002,0.8916000000000001,0.9008000000000003
P0,B1_q30,73,0.8988000000000002,0.8944000000000001,0.9028
P0,B1_q30,74,0.9004,0.8968,0.9039999999999999
P0,B1_q30,75,0.9004000000000001,0.8968,0.9039999999999999
P0,B1_q30,76,0.8988000000000002,0.8952000000000002,0.9020000000000001
P0,B1_q30,77,0.9000000000000001,0.8964000000000001,0.9036
P0,B1_q30,78,0.9004000000000001,0.8968,0.9036
P0,B1_q30,79,0.9012,0.8976000000000001,0.9044000000000001
P0,B1_q30,80,0.9004,0.8972,0.9032
P1,B1_q20,16,0.7858823529411766,0.7682352941176471,0.8029411764705884
P1,B1_q20,17,0.8064705882352943,0.7911764705882354,0.8211911764705881
P1,B1_q20,18,0.8047058823529414,0.7923529411764708,0.8170588235294118
P1,B1_q20,19,0.8105882352941178,0.8000000000000002,0.8211764705882354
P1,B1_q20,20,0.8129411764705884,0.8029411764705884,0.8217647058823531
P1,B1_q20,21,0.8129411764705884,0.8052941176470589,0.8205882352941177
P1,B1_q20,22,0.8123529411764707,0.8041176470588237,0.8205882352941177
P1,B1_q20,23,0.8135294117647061,0.8029411764705884,0.8241176470588236
P1,B1_q20,24,0.8170588235294118,0.8094117647058825,0.8247058823529413
