arm,c,region,component,association,candidate_rho,repeat_mean_rho,ci_lower,ci_upper,bottom_B1_quartile_mean,top_B1_quartile_mean,top_minus_bottom
REP_C025,0.25,MID_B25_40,r_ST,B1_top_vs_bottom_quartile,,,,,0.10399650890280415,0.34074695057824117,0.23675044167543702
REP_C025,0.25,LATE_B41_80,r_N,spearman_vs_B1,-0.15779101211962848,-0.16260191972015664,-0.18720755242457515,-0.13918046687711721,,,
REP_C025,0.25,LATE_B41_80,r_N,B1_top_vs_bottom_quartile,,,,,0.22891105242377063,0.1687499174177674,-0.06016113500600323
REP_C025,0.25,LATE_B41_80,r_T,spearman_vs_B1,-0.05566391400538716,-0.05562481169598268,-0.0793597815349134,-0.03329249068613529,,,
REP_C025,0.25,LATE_B41_80,r_T,B1_top_vs_bottom_quartile,,,,,0.5695755117816683,0.5478071024036557,-0.02176840937801261
REP_C025,0.25,LATE_B41_80,r_ST,spearman_vs_B1,0.19564852982996564,0.19316829617225062,0.17499077266154303,0.21118831265203894,,,
REP_C025,0.25,LATE_B41_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.2015134357945609,0.28344298017857694,0.08192954438401603
REP_C025,0.25,OVERALL_B17_80,r_N,spearman_vs_B1,-0.11578893506445183,-0.11917385806382493,-0.14161940028558606,-0.09683161798465688,,,
REP_C025,0.25,OVERALL_B17_80,r_N,B1_top_vs_bottom_quartile,,,,,0.21728150877704575,0.15884583930284024,-0.058435669474205504
REP_C025,0.25,OVERALL_B17_80,r_T,spearman_vs_B1,-0.10878005145906552,-0.11028854760506326,-0.13103774273953345,-0.08849834779341463,,,
REP_C025,0.25,OVERALL_B17_80,r_T,B1_top_vs_bottom_quartile,,,,,0.6213692542954288,0.5210764655859967,-0.10029278870943203
REP_C025,0.25,OVERALL_B17_80,r_ST,spearman_vs_B1,0.21118575012512086,0.21262577738020716,0.19735419437375412,0.2279435315928863,,,
REP_C025,0.25,OVERALL_B17_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.16134923692752556,0.320077695111163,0.15872845818363746
REP_C050,0.5,EARLY_B17_24,r_N,spearman_vs_B1,0.10875990461835058,0.0997118542618453,0.018816789026001646,0.17944075247971913,,,
REP_C050,0.5,EARLY_B17_24,r_N,B1_top_vs_bottom_quartile,,,,,0.17424435815066477,0.21066735815204862,0.03642300000138385
REP_C050,0.5,EARLY_B17_24,r_T,spearman_vs_B1,-0.16845912878232416,-0.13990025757383248,-0.20335540912537634,-0.07256392163864742,,,
REP_C050,0.5,EARLY_B17_24,r_T,B1_top_vs_bottom_quartile,,,,,0.6545783570370304,0.49048400378149387,-0.1640943532555365
REP_C050,0.5,EARLY_B17_24,r_ST,spearman_vs_B1,0.13438459254515586,0.1045578120828975,0.023588732334622234,0.18408073954705853,,,
REP_C050,0.5,EARLY_B17_24,r_ST,B1_top_vs_bottom_quartile,,,,,0.17117728481230493,0.29884863806645745,0.12767135325415252
REP_C050,0.5,MID_B25_40,r_N,spearman_vs_B1,-0.03046643076549195,-0.05447403578494605,-0.09760207513217276,-0.014583486808170882,,,
REP_C050,0.5,MID_B25_40,r_N,B1_top_vs_bottom_quartile,,,,,0.15497739143992917,0.1665120874116237,0.011534695971694542
REP_C050,0.5,MID_B25_40,r_T,spearman_vs_B1,-0.20737036657811433,-0.1994693147245358,-0.24176792125516733,-0.15786779811239543,,,
REP_C050,0.5,MID_B25_40,r_T,B1_top_vs_bottom_quartile,,,,,0.6876030569831358,0.4816812544517873,-0.20592180253134856
REP_C050,0.5,MID_B25_40,r_ST,spearman_vs_B1,0.19276708500627376,0.20652724155563745,0.16572796982519547,0.2472170952544523,,,
REP_C050,0.5,MID_B25_40,r_ST,B1_top_vs_bottom_quartile,,,,,0.1574195515769349,0.3518066581365891,0.19438710655965422
REP_C050,0.5,LATE_B41_80,r_N,spearman_vs_B1,-0.09659181768978783,-0.09798003032736623,-0.12086064452966891,-0.07414091010745759,,,
REP_C050,0.5,LATE_B41_80,r_N,B1_top_vs_bottom_quartile,,,,,0.2264163350763235,0.2085397560664183,-0.01787657900990519
REP_C050,0.5,LATE_B41_80,r_T,spearman_vs_B1,-0.09951902239981393,-0.09952141293751662,-0.11747988395096667,-0.08160028204436,,,
REP_C050,0.5,LATE_B41_80,r_T,B1_top_vs_bottom_quartile,,,,,0.5626143860431754,0.4958811620226377,-0.06673322402053766
REP_C050,0.5,LATE_B41_80,r_ST,spearman_vs_B1,0.15729517403690216,0.15474522436312882,0.13544696171605128,0.17433796758291908,,,
REP_C050,0.5,LATE_B41_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.21096927888050113,0.29557908191094384,0.08460980303044272
REP_C050,0.5,OVERALL_B17_80,r_N,spearman_vs_B1,-0.043911186002196116,-0.043791200627787505,-0.06111147410602636,-0.026040726936698008,,,
REP_C050,0.5,OVERALL_B17_80,r_N,B1_top_vs_bottom_quartile,,,,,0.1988807306545856,0.18293586365837547,-0.015944866996210144
REP_C050,0.5,OVERALL_B17_80,r_T,spearman_vs_B1,-0.14422908166237766,-0.1463971488356239,-0.16548122183568098,-0.12777910851734317,,,
REP_C050,0.5,OVERALL_B17_80,r_T,B1_top_vs_bottom_quartile,,,,,0.6079930119499375,0.48840000286996416,-0.11959300907997333
REP_C050,0.5,OVERALL_B17_80,r_ST,spearman_vs_B1,0.17163938902089923,0.1722244054268256,0.15339464835794134,0.19165691333798537,,,
REP_C050,0.5,OVERALL_B17_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.19312625739547684,0.3286641334716603,0.13553787607618345
REP_C100,1.0,EARLY_B17_24,r_N,spearman_vs_B1,0.07968768082586665,0.06055448268804681,0.008874597353570364,0.11486854700700908,,,
REP_C100,1.0,EARLY_B17_24,r_N,B1_top_vs_bottom_quartile,,,,,0.20878300994803362,0.21591463581479256,0.007131625866758945
REP_C100,1.0,EARLY_B17_24,r_T,spearman_vs_B1,-0.08552425151113684,-0.07071857575714795,-0.13797854999976478,-0.0018041346840135645,,,
REP_C100,1.0,EARLY_B17_24,r_T,B1_top_vs_bottom_quartile,,,,,0.5913822841219915,0.5044917982048726,-0.0868904859171189
REP_C100,1.0,EARLY_B17_24,r_ST,spearman_vs_B1,0.09104431100178878,0.049022099944371074,-0.028322813763972055,0.13315768720334883,,,
REP_C100,1.0,EARLY_B17_24,r_ST,B1_top_vs_bottom_quartile,,,,,0.19983470592997485,0.27959356598033486,0.07975886005036001
REP_C100,1.0,MID_B25_40,r_N,spearman_vs_B1,0.02542554979216858,-0.006258107340040483,-0.05633575302155908,0.04277458593688815,,,
REP_C100,1.0,MID_B25_40,r_N,B1_top_vs_bottom_quartile,,,,,0.1499810386946774,0.19796730366391146,0.047986264969234055
REP_C100,1.0,MID_B25_40,r_T,spearman_vs_B1,-0.20593148189382013,-0.19244560408342143,-0.23573721004879947,-0.14925599112313298,,,
REP_C100,1.0,MID_B25_40,r_T,B1_top_vs_bottom_quartile,,,,,0.6890991645853282,0.4973996277652111,-0.19169953682011703
REP_C100,1.0,MID_B25_40,r_ST,spearman_vs_B1,0.13513185325713484,0.15442833475257176,0.09468807273405282,0.2168260725238182,,,
REP_C100,1.0,MID_B25_40,r_ST,B1_top_vs_bottom_quartile,,,,,0.1609197967199945,0.30463306857087746,0.14371327185088295
REP_C100,1.0,LATE_B41_80,r_N,spearman_vs_B1,-0.06145228565123088,-0.05890045030536086,-0.07828520804047971,-0.03988022843453969,,,
REP_C100,1.0,LATE_B41_80,r_N,B1_top_vs_bottom_quartile,,,,,0.2376218883629079,0.21481316671523856,-0.02280872164766934
REP_C100,1.0,LATE_B41_80,r_T,spearman_vs_B1,-0.12471399094418084,-0.1264857270434009,-0.14604759782861257,-0.1061431297065624,,,
REP_C100,1.0,LATE_B41_80,r_T,B1_top_vs_bottom_quartile,,,,,0.562169116160738,0.4928532494312763,-0.06931586672946166
