experiment_name,complete_content_bundle_sha256,file_count,total_size_bytes,partition
P-129p569646497_VX-0p287154347682_LS-6p5197985882e-05_ST-393p701994752_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p67997477383e-05_H-b41981edcb,1d501ec0b87e37dbb3c1911a66e9cb0d44c5cc64f776aa17d572063ae87b4e5d,420,65476310,old-data-remote-clean
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,c393aab13729f19ae866d360eadaf6a41b9507baa078757e5ed5a7e8aa5622e3,786,67844842,new-data
P-129p840936159_VX-0p750604494449_LS-8p84568803437e-05_ST-319p185657099_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p42698070514e-06_H-f575443233,b0b18e32bed2b2cafcb3425df6f6b7f95d0aa02384c0b50e921e424e988b1484,1005,69254626,old-data-local
P-131p049819122_VX-0p780196421599_LS-5p30845028915e-05_ST-389p742843455_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18321293134e-06_H-b41981edcb,2db26d860e8dd4be180bfc037ab0e67194fd686932cf86ebf264bfd8b644edc5,1059,69051446,old-data-remote-clean
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,c3bc7d58107c41a4db57157fb1a9afc0c540802df6434635dbf831fba36781d7,597,66695632,new-data
P-132p12166853_VX-0p788188085218_LS-6p42596953306e-05_ST-382p443068729_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p1205195733e-06_H-b41981edcb,35b75880d05c561a3dc4282c9365e12e782d6be99f6d7ae44aea8c5ce6f4e3fb,1068,69150824,old-data-remote-clean
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,240334a51ecbf638fc730298d5634ef06033b719eb6eced7b5af8b9854a28117,615,66693156,new-data
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,e7ec9e17d7ac2a590cfa86fc43da8b68650af324558fcbe245d01969d609fe56,1071,68814047,new-data
P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,ccd3d919bbad8d5359a7ab84b89e4954d1e8c153d37c040c3682a1f289030371,1489,16921096,old-data-local
P-133p058435031_VX-0p81650327798_LS-4p78587303962e-05_ST-362p382821566_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p90826850683e-06_H-dd169576f0,cd2568a76f382da515cca144d079ff8eb8eecfacd990da6604e9d34c2beaf2e4,1101,68932035,old-data-local
P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,477f3e4795af2fb28a370871627e90a0daf6444e7de25d0065333eb8f81f22a1,1338,48204981,old-data-local
P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,83d3b7e4f3ae4b4b410c53be1736913469f9e773fdbd3ebd658c4ad9297b0a5d,1662,49631890,old-data-local
P-134p93654729_VX-0p343298656719_LS-5p9412954069e-05_ST-389p435734624_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p40522559835e-05_H-b41981edcb,8c0ff2ee7966efff8564295f2965581e8f66e2ea663bce56dafe1b3d9a662bcd,492,65986238,old-data-remote-clean
P-135p171981101_VX-0p652238458987_LS-5p89001447273e-05_ST-362p997098414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p39625291417e-06_H-01d46950f6,43a44c7800b2ee7d767c6014f0a8ee37674239cf6879d02b1a3c61d0cd6c7cd2,856,14690157,old-data-local
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,db0384f665586da75cea966d4bee7e7c081146b145a416beefcdc482e67356a9,636,43102597,old-data-local
P-136p115095044_VX-0p8200930762_LS-6p39666133344e-05_ST-362p502989524_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88240620853e-06_H-f575443233,1cd2cc66eb39c7d6666c163c6f40f06e39d6f93415000433eb5eef37c779a29f,1101,69249103,old-data-local
P-136p984349172_VX-0p357723834949_LS-5p17808569448e-05_ST-373p061688931_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p34856001521e-05_H-270d04032e,307c152e8193dde6fa1a7afd020672792cf9cb5b9e78a26dabb099baae5c57d1,510,66002165,old-data-local
P-137p056736091_VX-0p84145784316_LS-6p02926393206e-05_ST-342p992007776_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p73305085006e-06_H-ddeae69a6e,bd866718c548090e57d863e14cf404f00f89d7c9cf0a95285d227741e8bca68f,1113,69111021,old-data-remote-clean
P-137p340072051_VX-0p708357837186_LS-8p48461574474e-05_ST-331p337392673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p81028761138e-06_H-701e6757d1,e27204763bcf23af08efe4afce3e9e6abe5f3400ce23affcc9934f9ea7edfbf6,954,68981263,old-data-local
P-137p601432421_VX-0p461948695475_LS-6p48780591522e-05_ST-397p490087405_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p04429791669e-05_H-ef2aaf59fd,eaa63158016626dec2d4d57129c80ffd43c88d0020de82d30657ac40c3902b7f,633,66899395,old-data-local
P-138p247900083_VX-0p876957934743_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p13212389961e-06_H-306f9d252b,743feccf8fdbeabce281a9ea72cef4d05524260f7798640361f6101aa86f7f9f,325,3001907,old-data-local
P-139p185905374_VX-0p93275027917_LS-8p26285474625e-05_ST-371p150203889_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p17193155633e-06_H-b789300819,da5f847f991b2da2202532836a2af9f3d3d8a007c906d4d618eb7348d977eb8e,1215,69558955,old-data-remote-clean
P-139p278080234_VX-0p813607985113_LS-8p25985701782e-05_ST-356p830860854_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p9292935803e-06_H-6014a1f9c3,16dd1025ba75bd311919eed97cdf7a62d8eefa358c4adff691cca27554ea8c99,1060,15790155,old-data-local
P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,897ea63b3522be7df4e3412a8c255d731755b0eb0c6cc43a21e3eb2d5d6e7292,492,41937450,old-data-local
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,78b35d7e3d9e446cbbb81dbca4d929e7a39a0494bd57cdb99fbe372a1ac69fc2,750,67780728,new-data
P-140p314676599_VX-0p596196399995_LS-8p19973378232e-05_ST-342p525649343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p09149569346e-06_H-95fb07b078,b4711092ff51f6df33183c7e78c563d3a775fe9a7f5c0c5a1d68877072fa2bb5,810,68169749,old-data-remote-clean
P-140p320645521_VX-0p612281673664_LS-8p56006119926e-05_ST-348p910931315_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p87892372174e-06_H-dd169576f0,3cd3bd325195bc6ee891de3bc42e5b7d2c605174ab9cf28070ce794147a889db,834,68283970,old-data-local
P-140p539865228_VX-0p255658736827_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p31358918074e-06_H-fb250c7cf9,2fd75380e659e20b31491d799b91b4926a5368d0ddaf43dde48b6047ba537c34,523,10348296,old-data-local
P-140p573028588_VX-0p551169304036_LS-6p78791919712e-05_ST-377p8442615_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p16896078445e-05_H-bf889bf790,54d542162aa2192cd9d04d8a470e9f1f50c0b925bd0630e17bf4b4e8cbfe93a7,319,7508546,old-data-local
P-140p974625597_VX-0p98622838083_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p89589248085e-06_H-b0e5aed98c,ad14c8d5dd487556b05c0d5c218b11d503b9672156990fba4fc586074b35ccb8,2016,52307230,old-data-local
P-141p451666054_VX-0p378275685755_LS-6p85388508408e-05_ST-315p145948826_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27529227616e-05_H-8bf1b39107,dc5ae21ea497677b4bd011bf2f26ff5589da3555d9ea4c9474ad182912a01ca9,531,66250142,old-data-remote-clean
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,592bfc8abc94bd38b078ad524ce42c31c9b9489bedbcd8852794d8454e3f6b9f,1245,69728094,new-data
P-143p879945116_VX-0p336279357485_LS-6p76007351295e-05_ST-398p207663754_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p91595257833e-05_H-bf889bf790,5de79dc364fb203dd6a185a4fefdd881924c5c6c4b2317dfa94594784801a9e1,240,38592696,old-data-local
