partition,collapsed_label_sequence,experiment_count,partition_experiment_count,experiment_percent
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Scanning Stopped,1,165,0.6060606060606061
old-data-local,Initial Emptiness -> Forming Phase -> Conduction,81,179,45.25139664804469
old-data-local,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,51,179,28.491620111731844
old-data-local,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,35,179,19.553072625698324
old-data-local,Initial Emptiness -> Forming Phase -> Conduction -> Keyhole,8,179,4.4692737430167595
old-data-local,Initial Emptiness -> Forming Phase,1,179,0.5586592178770949
old-data-local,Initial Emptiness -> Forming Phase -> Conduction -> Forming Phase -> Conduction,1,179,0.5586592178770949
old-data-local,Initial Emptiness -> Forming Phase -> Initial Emptiness -> Forming Phase -> Conduction,1,179,0.5586592178770949
old-data-local,Initial Emptiness -> Forming Phase -> Unsure -> Forming Phase -> Conduction,1,179,0.5586592178770949
old-data-remote-clean,Initial Emptiness -> Forming Phase -> Conduction,24,63,38.095238095238095
old-data-remote-clean,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,18,63,28.571428571428573
old-data-remote-clean,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,18,63,28.571428571428573
old-data-remote-clean,Initial Emptiness -> Forming Phase -> Conduction -> Keyhole -> Scanning Stopped,1,63,1.5873015873015872
old-data-remote-clean,Initial Emptiness -> Forming Phase -> Keyhole,1,63,1.5873015873015872
old-data-remote-clean,Screenshot Bug -> Initial Emptiness -> Screenshot Bug -> Initial Emptiness -> Screenshot Bug -> Forming Phase -> Screenshot Bug -> Forming Phase -> Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction,1,63,1.5873015873015872
