simulation_id,numeric_simulation_id,relative_path,present_in_primary_hfapi_enumeration,present_in_http_enumeration,recursive_enumeration_method,recursive_pages_consumed,recursive_page_count_interpretation,pagination_complete,recursive_item_count,file_count,nested_folder_count
sim_00200,200,final_data_processed/sim_00200,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1283,1278,5
sim_00201,201,final_data_processed/sim_00201,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1310,1305,5
sim_00202,202,final_data_processed/sim_00202,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1214,1209,5
sim_00203,203,final_data_processed/sim_00203,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,392,387,5
sim_00204,204,final_data_processed/sim_00204,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1088,1083,5
sim_00205,205,final_data_processed/sim_00205,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,923,918,5
sim_00206,206,final_data_processed/sim_00206,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1157,1152,5
sim_00207,207,final_data_processed/sim_00207,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1271,1266,5
sim_00208,208,final_data_processed/sim_00208,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,380,375,5
sim_00209,209,final_data_processed/sim_00209,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,878,873,5
sim_00210,210,final_data_processed/sim_00210,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,572,567,5
sim_00211,211,final_data_processed/sim_00211,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1097,1092,5
sim_00212,212,final_data_processed/sim_00212,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,533,528,5
sim_00213,213,final_data_processed/sim_00213,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,461,456,5
sim_00214,214,final_data_processed/sim_00214,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,659,654,5
sim_00215,215,final_data_processed/sim_00215,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,446,441,5
sim_00216,216,final_data_processed/sim_00216,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,464,459,5
sim_00217,217,final_data_processed/sim_00217,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,359,354,5
sim_00218,218,final_data_processed/sim_00218,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,479,474,5
sim_00219,219,final_data_processed/sim_00219,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,899,894,5
