population,repeat,arm,threshold,reached,first_true_query_budget,right_censored_at
full_405,20,P1_M3_MARGIN_MONO,0.98,True,57.0,88
full_405,20,P2_MONO_BISECTION_M3,0.95,True,44.0,87
full_405,20,P2_MONO_BISECTION_M3,0.97,True,50.0,87
full_405,20,P2_MONO_BISECTION_M3,0.98,False,,87
full_405,20,P3_MONO_EXPECTED_GAIN_M3,0.95,True,46.0,89
full_405,20,P3_MONO_EXPECTED_GAIN_M3,0.97,True,47.0,89
full_405,20,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,89
main_364,1,P0_M3_MARGIN_STANDARD,0.95,True,20.0,120
main_364,1,P0_M3_MARGIN_STANDARD,0.97,True,36.0,120
main_364,1,P0_M3_MARGIN_STANDARD,0.98,True,37.0,120
main_364,1,P1_M3_MARGIN_MONO,0.95,True,20.0,78
main_364,1,P1_M3_MARGIN_MONO,0.97,True,35.0,78
main_364,1,P1_M3_MARGIN_MONO,0.98,True,36.0,78
main_364,1,P2_MONO_BISECTION_M3,0.95,True,24.0,87
main_364,1,P2_MONO_BISECTION_M3,0.97,True,32.0,87
main_364,1,P2_MONO_BISECTION_M3,0.98,True,35.0,87
main_364,1,P3_MONO_EXPECTED_GAIN_M3,0.95,True,20.0,76
main_364,1,P3_MONO_EXPECTED_GAIN_M3,0.97,True,34.0,76
main_364,1,P3_MONO_EXPECTED_GAIN_M3,0.98,True,35.0,76
main_364,2,P0_M3_MARGIN_STANDARD,0.95,True,27.0,120
main_364,2,P0_M3_MARGIN_STANDARD,0.97,True,36.0,120
main_364,2,P0_M3_MARGIN_STANDARD,0.98,True,37.0,120
main_364,2,P1_M3_MARGIN_MONO,0.95,True,27.0,77
main_364,2,P1_M3_MARGIN_MONO,0.97,True,36.0,77
main_364,2,P1_M3_MARGIN_MONO,0.98,True,37.0,77
main_364,2,P2_MONO_BISECTION_M3,0.95,True,19.0,84
main_364,2,P2_MONO_BISECTION_M3,0.97,True,46.0,84
main_364,2,P2_MONO_BISECTION_M3,0.98,True,52.0,84
main_364,2,P3_MONO_EXPECTED_GAIN_M3,0.95,True,27.0,77
main_364,2,P3_MONO_EXPECTED_GAIN_M3,0.97,True,34.0,77
main_364,2,P3_MONO_EXPECTED_GAIN_M3,0.98,True,35.0,77
main_364,3,P0_M3_MARGIN_STANDARD,0.95,True,33.0,120
main_364,3,P0_M3_MARGIN_STANDARD,0.97,True,34.0,120
main_364,3,P0_M3_MARGIN_STANDARD,0.98,True,39.0,120
main_364,3,P1_M3_MARGIN_MONO,0.95,True,31.0,80
main_364,3,P1_M3_MARGIN_MONO,0.97,True,40.0,80
main_364,3,P1_M3_MARGIN_MONO,0.98,False,,80
main_364,3,P2_MONO_BISECTION_M3,0.95,True,39.0,81
main_364,3,P2_MONO_BISECTION_M3,0.97,True,50.0,81
main_364,3,P2_MONO_BISECTION_M3,0.98,False,,81
main_364,3,P3_MONO_EXPECTED_GAIN_M3,0.95,True,25.0,80
main_364,3,P3_MONO_EXPECTED_GAIN_M3,0.97,True,39.0,80
main_364,3,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,80
main_364,4,P0_M3_MARGIN_STANDARD,0.95,True,30.0,120
main_364,4,P0_M3_MARGIN_STANDARD,0.97,True,36.0,120
main_364,4,P0_M3_MARGIN_STANDARD,0.98,True,38.0,120
main_364,4,P1_M3_MARGIN_MONO,0.95,True,30.0,80
main_364,4,P1_M3_MARGIN_MONO,0.97,True,38.0,80
main_364,4,P1_M3_MARGIN_MONO,0.98,False,,80
main_364,4,P2_MONO_BISECTION_M3,0.95,True,38.0,80
main_364,4,P2_MONO_BISECTION_M3,0.97,True,47.0,80
main_364,4,P2_MONO_BISECTION_M3,0.98,True,53.0,80
