population,repeat,arm,correct_resolution_threshold,error_cap,reached,first_true_query_budget,wrong_inference_rate_at_hit
full_405,10,P1_M3_MARGIN_MONO,0.9,0.01,True,56.0,0.009523809523809525
full_405,10,P1_M3_MARGIN_MONO,0.95,0.01,True,73.0,0.009523809523809525
full_405,10,P2_MONO_BISECTION_M3,0.8,0.01,True,35.0,0.006756756756756757
full_405,10,P2_MONO_BISECTION_M3,0.9,0.01,True,54.0,0.006389776357827476
full_405,10,P2_MONO_BISECTION_M3,0.95,0.01,True,71.0,0.00946372239747634
full_405,10,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,35.0,0.009933774834437087
full_405,10,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,52.0,0.00946372239747634
full_405,10,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,67.0,0.009345794392523364
full_405,11,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,11,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,11,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,11,P1_M3_MARGIN_MONO,0.8,0.01,True,37.0,0.003472222222222222
full_405,11,P1_M3_MARGIN_MONO,0.9,0.01,True,57.0,0.003236245954692557
full_405,11,P1_M3_MARGIN_MONO,0.95,0.01,True,71.0,0.006329113924050633
full_405,11,P2_MONO_BISECTION_M3,0.8,0.01,True,45.0,0.0
full_405,11,P2_MONO_BISECTION_M3,0.9,0.01,True,61.0,0.003278688524590164
full_405,11,P2_MONO_BISECTION_M3,0.95,0.01,True,78.0,0.006472491909385114
full_405,11,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,36.0,0.0
full_405,11,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,51.0,0.0031645569620253164
full_405,11,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,69.0,0.006230529595015576
full_405,12,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,12,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,12,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
