population,repeat,arm,true_query_count_B120,queried_KH_fraction,queried_log_h_mean,queried_log_h_median,selected_margin_uncertainty_mean,selected_G_KH_mean,selected_G_C_mean,selected_expected_gain_mean,newly_inferred_targets_per_true_query,targets_later_conflicted_N,retrospectively_wrong_inferred_targets_N,wrong_targets_known_violation_points_N
full_405,12,P0_M3_MARGIN_STANDARD,120,0.35833333333333334,20.516743215259527,20.50574754710889,0.30574146472318664,0.0,0.0,0.0,0.0,0,0,0
full_405,12,P1_M3_MARGIN_MONO,86,0.38372093023255816,20.537343273209643,20.570030037438144,0.3771065771753937,2.1,4.671428571428572,3.1182791769233873,3.7209302325581395,0,2,2
full_405,12,P2_MONO_BISECTION_M3,89,0.3258426966292135,20.503546735210737,20.51139055856241,0.37839697372717634,2.1506849315068495,2.712328767123288,2.1641534032483687,3.561797752808989,0,2,2
full_405,12,P3_MONO_EXPECTED_GAIN_M3,84,0.36904761904761907,20.532278386699744,20.56170274544874,0.41847592231095554,1.6470588235294117,4.397058823529412,3.2921092104728187,3.8333333333333335,0,2,2
full_405,13,P0_M3_MARGIN_STANDARD,120,0.36666666666666664,20.520251917628514,20.510982545482406,0.2883201500471565,0.0,0.0,0.0,0.0,0,0,0
full_405,13,P1_M3_MARGIN_MONO,87,0.39080459770114945,20.537263493626487,20.576388636556285,0.35050559792804925,2.323943661971831,5.690140845070423,3.6543036227441954,3.689655172413793,0,2,2
full_405,13,P2_MONO_BISECTION_M3,96,0.3020833333333333,20.46655470658649,20.46814391447235,0.35637075626355424,2.3375,3.2,2.633935791530633,3.25,0,2,2
full_405,13,P3_MONO_EXPECTED_GAIN_M3,86,0.38372093023255816,20.534663276901277,20.570030037438144,0.39195751317354277,2.3142857142857145,5.328571428571428,4.231489075473199,3.744186046511628,0,2,2
full_405,14,P0_M3_MARGIN_STANDARD,120,0.35833333333333334,20.50638364665743,20.50574754710889,0.37250081657605494,0.0,0.0,0.0,0.0,0,0,0
full_405,14,P1_M3_MARGIN_MONO,84,0.35714285714285715,20.516620132484725,20.54954976826737,0.466088060483182,2.0294117647058822,6.264705882352941,3.9493445000586616,3.8333333333333335,0,2,2
full_405,14,P2_MONO_BISECTION_M3,91,0.32967032967032966,20.485329537584057,20.51139055856241,0.3428272724255942,2.36,3.44,2.7293472464034454,3.4615384615384617,0,2,2
full_405,14,P3_MONO_EXPECTED_GAIN_M3,84,0.35714285714285715,20.516620132484725,20.54954976826737,0.45579433004104863,2.0294117647058822,6.176470588235294,3.890178226567188,3.8333333333333335,0,2,2
full_405,15,P0_M3_MARGIN_STANDARD,120,0.4,20.567816057989255,20.54954976826737,0.500507516361292,0.0,0.0,0.0,0.0,0,0,0
full_405,15,P1_M3_MARGIN_MONO,87,0.3793103448275862,20.535248524962515,20.576388636556285,0.6219860515597004,1.2816901408450705,7.450704225352113,4.081567128721554,3.67816091954023,0,3,3
full_405,15,P2_MONO_BISECTION_M3,95,0.28421052631578947,20.465799805866453,20.468004290256484,0.45762169998477936,2.4177215189873418,3.5569620253164556,2.9213766309433105,3.2842105263157895,0,3,3
full_405,15,P3_MONO_EXPECTED_GAIN_M3,87,0.3793103448275862,20.536531497386385,20.576388636556285,0.6013853118015147,0.9436619718309859,7.492957746478873,3.9015797114837594,3.67816091954023,0,3,3
full_405,16,P0_M3_MARGIN_STANDARD,120,0.35833333333333334,20.511629747901225,20.50574754710889,0.275207490962048,0.0,0.0,0.0,0.0,0,0,0
full_405,16,P1_M3_MARGIN_MONO,86,0.3953488372093023,20.542396768677346,20.576420369890972,0.3267620721338285,2.3,5.2,3.414373713741566,3.7325581395348837,0,2,2
full_405,16,P2_MONO_BISECTION_M3,91,0.32967032967032966,20.506778562461704,20.51139055856241,0.31297407203233707,2.453333333333333,3.24,2.6491160991143725,3.4725274725274726,0,2,2
full_405,16,P3_MONO_EXPECTED_GAIN_M3,86,0.38372093023255816,20.538991212378065,20.570030037438144,0.3681681486555821,2.2714285714285714,5.0285714285714285,4.299138510065557,3.7325581395348837,0,2,2
full_405,17,P0_M3_MARGIN_STANDARD,120,0.4,20.567816057989255,20.54954976826737,0.500507516361292,0.0,0.0,0.0,0.0,0,0,0
full_405,17,P1_M3_MARGIN_MONO,87,0.3793103448275862,20.535248524962515,20.576388636556285,0.6219860515597004,1.2816901408450705,7.450704225352113,4.081567128721554,3.67816091954023,0,3,3
full_405,17,P2_MONO_BISECTION_M3,95,0.28421052631578947,20.465799805866453,20.468004290256484,0.45762169998477936,2.4177215189873418,3.5569620253164556,2.9213766309433105,3.2842105263157895,0,3,3
full_405,17,P3_MONO_EXPECTED_GAIN_M3,87,0.3793103448275862,20.536531497386385,20.576388636556285,0.6013853118015147,0.9436619718309859,7.492957746478873,3.9015797114837594,3.67816091954023,0,3,3
full_405,18,P0_M3_MARGIN_STANDARD,120,0.4,20.579478962669313,20.54954976826737,0.4925787853480842,0.0,0.0,0.0,0.0,0,0,0
full_405,18,P1_M3_MARGIN_MONO,85,0.38823529411764707,20.562818718252906,20.57645210322566,0.5977059724324866,0.9710144927536232,6.768115942028985,3.603126525426023,3.8,0,3,3
full_405,18,P2_MONO_BISECTION_M3,91,0.3076923076923077,20.508442155608115,20.47734590867905,0.46468987081501884,1.7333333333333334,3.013333333333333,2.2377206062160058,3.4835164835164836,0,3,3
full_405,18,P3_MONO_EXPECTED_GAIN_M3,88,0.3977272727272727,20.5637346770527,20.576652720870282,0.5950274430817903,0.9722222222222222,6.861111111111111,3.59580089358748,3.6363636363636362,0,3,3
full_405,19,P0_M3_MARGIN_STANDARD,120,0.36666666666666664,20.525792770724557,20.510982545482406,0.4302531456982931,0.0,0.0,0.0,0.0,0,0,0
full_405,19,P1_M3_MARGIN_MONO,88,0.32954545454545453,20.51370548413753,20.510982545482406,0.5331553120481413,2.6666666666666665,4.569444444444445,3.4570877855172037,3.6363636363636362,0,2,2
full_405,19,P2_MONO_BISECTION_M3,98,0.29591836734693877,20.467311630589844,20.464567430093275,0.3410276793373695,2.2804878048780486,3.1463414634146343,2.5250810073686014,3.163265306122449,0,2,2
full_405,19,P3_MONO_EXPECTED_GAIN_M3,88,0.32954545454545453,20.51370548413753,20.510982545482406,0.5287587255779499,2.875,4.25,3.5088402094849354,3.6363636363636362,0,2,2
full_405,20,P0_M3_MARGIN_STANDARD,120,0.4,20.579077561637337,20.54954976826737,0.507083579823743,0.0,0.0,0.0,0.0,0,0,0
full_405,20,P1_M3_MARGIN_MONO,88,0.3977272727272727,20.555002831800714,20.570030037438144,0.6386722764577046,1.1388888888888888,6.166666666666667,3.463139965369319,3.6363636363636362,0,3,3
full_405,20,P2_MONO_BISECTION_M3,87,0.3333333333333333,20.535391546249205,20.529131526047987,0.4549057994824569,1.8169014084507042,2.943661971830986,2.313634919263191,3.689655172413793,0,3,3
full_405,20,P3_MONO_EXPECTED_GAIN_M3,89,0.4044943820224719,20.575199302633376,20.576853338514905,0.5942903167307807,1.095890410958904,7.328767123287672,3.987718635262145,3.5842696629213484,0,3,3
main_364,1,P0_M3_MARGIN_STANDARD,120,0.375,20.543527013831927,20.510982545482406,0.2832187800226713,0.0,0.0,0.0,0.0,0,0,0
main_364,1,P1_M3_MARGIN_MONO,78,0.38461538461538464,20.542820352215024,20.570030037438144,0.38738637011270804,1.2258064516129032,3.7096774193548385,2.2864537857973626,3.7051282051282053,0,2,2
main_364,1,P2_MONO_BISECTION_M3,87,0.3218390804597701,20.485476789089123,20.47403647066787,0.3336168728336245,1.7605633802816902,2.816901408450704,2.0280765819078543,3.218390804597701,0,2,2
