budget,subset,boundary_definition,quantile,calibration_type,bin_index,bin_left,bin_right,row_count,mean_prediction_or_confidence,observed_positive_rate_or_accuracy,absolute_calibration_gap
30,B2_q30,B2,30,keyhole_probability_reliability,5,0.4,0.5,31,0.451368576179,0.548387096774,0.0970185205956
30,B2_q30,B2,30,keyhole_probability_reliability,6,0.5,0.6,23,0.538333780595,0.565217391304,0.0268836107093
30,B2_q30,B2,30,keyhole_probability_reliability,7,0.6,0.7,39,0.648570580646,0.74358974359,0.0950191629433
30,B2_q30,B2,30,keyhole_probability_reliability,8,0.7,0.8,42,0.74672735505,0.904761904762,0.158034549712
30,B2_q30,B2,30,keyhole_probability_reliability,9,0.8,0.9,27,0.844690259,0.925925925926,0.0812356669255
30,B2_q30,B2,30,keyhole_probability_reliability,10,0.9,1,5,0.923729113272,1,0.0762708867283
30,B3_q20,B3,20,confidence_accuracy_reliability,1,0.5,0.55,33,0.526435075952,0.454545454545,0.0718896214062
30,B3_q20,B3,20,confidence_accuracy_reliability,2,0.55,0.6,24,0.570936176489,0.541666666667,0.0292695098224
30,B3_q20,B3,20,confidence_accuracy_reliability,3,0.6,0.65,30,0.623509093669,0.7,0.0764909063308
30,B3_q20,B3,20,confidence_accuracy_reliability,4,0.65,0.7,33,0.677191232877,0.757575757576,0.0803845246984
30,B3_q20,B3,20,confidence_accuracy_reliability,5,0.7,0.75,48,0.721785655065,0.895833333333,0.174047678268
30,B3_q20,B3,20,confidence_accuracy_reliability,6,0.75,0.8,39,0.774825570681,0.794871794872,0.0200462241912
30,B3_q20,B3,20,confidence_accuracy_reliability,7,0.8,0.85,48,0.825115918311,0.875,0.0498840816888
30,B3_q20,B3,20,confidence_accuracy_reliability,8,0.85,0.9,43,0.874618272098,0.976744186047,0.102125913948
30,B3_q20,B3,20,confidence_accuracy_reliability,9,0.9,0.95,34,0.925251689145,0.970588235294,0.0453365461494
30,B3_q20,B3,20,confidence_accuracy_reliability,10,0.95,1,8,0.961655708065,1,0.0383442919347
30,B3_q20,B3,20,keyhole_probability_reliability,1,0,0.1,30,0.0685217276195,0.0333333333333,0.0351883942862
30,B3_q20,B3,20,keyhole_probability_reliability,2,0.1,0.2,68,0.148778436605,0.0735294117647,0.0752490248405
30,B3_q20,B3,20,keyhole_probability_reliability,3,0.2,0.3,55,0.255564514457,0.163636363636,0.0919281508201
30,B3_q20,B3,20,keyhole_probability_reliability,4,0.3,0.4,33,0.346735968181,0.272727272727,0.074008695454
30,B3_q20,B3,20,keyhole_probability_reliability,5,0.4,0.5,31,0.450659022634,0.483870967742,0.0332119451083
30,B3_q20,B3,20,keyhole_probability_reliability,6,0.5,0.6,26,0.540202132453,0.461538461538,0.0786636709147
30,B3_q20,B3,20,keyhole_probability_reliability,7,0.6,0.7,30,0.649829014834,0.733333333333,0.0835043184996
30,B3_q20,B3,20,keyhole_probability_reliability,8,0.7,0.8,32,0.747498656086,0.875,0.127501343914
