repeat,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,log_loss,false_negative,false_positive,true_negative,true_positive,row_count,source
6,gpc_4d,full81,0.99360455520713,0.972732120804644,0.9679012345679012,0.9323320679980194,0.8767123287671232,0.9879518072289156,0.0249992598364885,0.0888033610480858,9,4,328,64,405,reused_phase1_5
6,gpc_4d,B1_q30,0.9576074332171892,0.9164357309204824,0.896,0.8664343786295006,0.7804878048780488,0.9523809523809524,0.0790384331028627,0.2597585113736981,9,4,80,32,125,reused_phase1_5
6,gpc_4d,B1_q20,0.9267589388696656,0.8929974813441725,0.8588235294117647,0.8431372549019607,0.7647058823529411,0.9215686274509804,0.1079994292829167,0.340964983411276,8,4,47,26,85,reused_phase1_5
6,log_h_logistic,full81,0.9902624195411784,0.954549601632058,0.9629629629629628,0.9239767288331407,0.863013698630137,0.9849397590361446,0.0288651789501312,0.0998403689243206,10,5,327,63,405,reused_phase1_5
6,log_h_logistic,B1_q30,0.9390243902439024,0.8360824135892981,0.88,0.8482868757259001,0.7560975609756098,0.9404761904761904,0.0912252488722544,0.3046080869197684,10,5,79,31,125,reused_phase1_5
6,log_h_logistic,B1_q20,0.9117647058823528,0.8205096934659791,0.8470588235294118,0.8284313725490196,0.7352941176470589,0.9215686274509804,0.1191591722779009,0.3980793865652284,9,4,47,25,85,reused_phase1_5
7,gpc_4d,full81,0.992490509985146,0.968752422197011,0.965432098765432,0.930826043901634,0.8767123287671232,0.9849397590361446,0.0264885734801985,0.0951998998173882,9,5,327,64,405,reused_phase1_5
7,gpc_4d,B1_q30,0.9535283993115318,0.9072683484919456,0.888,0.862736660929432,0.7857142857142857,0.9397590361445785,0.0834896358765762,0.2771905815658215,9,5,78,33,125,reused_phase1_5
7,gpc_4d,B1_q20,0.9215686274509804,0.8735025120611047,0.8470588235294118,0.8333333333333333,0.7647058823529411,0.9019607843137256,0.1131928805983876,0.3642817299407573,8,5,46,26,85,reused_phase1_5
7,log_h_logistic,full81,0.9898085492655552,0.9510843335371816,0.9604938271604938,0.9171274137646476,0.8493150684931506,0.9849397590361446,0.0293037438501546,0.1035651301584352,11,5,327,62,405,reused_phase1_5
7,log_h_logistic,B1_q30,0.9386115892139988,0.8528179460436395,0.872,0.8389271371199083,0.7380952380952381,0.9397590361445785,0.0924746087361255,0.316875100397359,11,5,78,31,125,reused_phase1_5
7,log_h_logistic,B1_q20,0.9042675893886968,0.813255736343151,0.8235294117647058,0.803921568627451,0.7058823529411765,0.9019607843137256,0.1242843321743053,0.425212100734278,10,5,46,24,85,reused_phase1_5
8,gpc_4d,full81,0.9926142927875888,0.9676520105341848,0.9604938271604938,0.91178412279254,0.8356164383561644,0.9879518072289156,0.0269890369965949,0.0950213448785511,12,4,328,61,405,reused_phase1_5
8,gpc_4d,B1_q30,0.9538235294117648,0.8942654588351264,0.88,0.838970588235294,0.725,0.9529411764705882,0.0819824621905857,0.2707577086507878,11,4,81,29,125,reused_phase1_5
8,gpc_4d,B1_q20,0.9145758661887694,0.8341631975130992,0.8235294117647058,0.7855436081242533,0.6451612903225806,0.925925925925926,0.1162728015006045,0.3688324229610123,11,4,50,20,85,reused_phase1_5
8,log_h_logistic,full81,0.9896435055289652,0.9503195662342327,0.9629629629629628,0.9239767288331407,0.863013698630137,0.9849397590361446,0.030354097580449,0.1050062856428619,10,5,327,63,405,reused_phase1_5
8,log_h_logistic,B1_q30,0.9355882352941176,0.8232837365937623,0.88,0.8455882352941176,0.75,0.9411764705882352,0.0957662784841285,0.3219036120397576,10,5,80,30,125,reused_phase1_5
8,log_h_logistic,B1_q20,0.9050179211469532,0.789167396888495,0.8352941176470589,0.8016726403823178,0.6774193548387096,0.925925925925926,0.1264656014977437,0.4243860865048325,10,4,50,21,85,reused_phase1_5
9,gpc_4d,full81,0.9918715959729328,0.9643143048582088,0.9629629629629628,0.9293200198052484,0.8767123287671232,0.9819277108433736,0.0280960105544601,0.0987730535923941,9,6,326,64,405,reused_phase1_5
9,gpc_4d,B1_q30,0.9479411764705884,0.8810305836293152,0.88,0.8522058823529413,0.775,0.9294117647058824,0.0869840361585922,0.284201803834859,9,6,79,31,125,reused_phase1_5
9,gpc_4d,B1_q20,0.9115566037735848,0.8467319932146649,0.8235294117647058,0.8027712264150944,0.71875,0.8867924528301887,0.1176103469141253,0.3732223092549754,9,6,47,23,85,reused_phase1_5
9,log_h_logistic,full81,0.9896435055289652,0.952306692334532,0.9580246913580248,0.915621389668262,0.8493150684931506,0.9819277108433736,0.0300499399786277,0.1044549413059553,11,6,326,62,405,reused_phase1_5
9,log_h_logistic,B1_q30,0.9382352941176472,0.8329287203986179,0.864,0.8272058823529411,0.725,0.9294117647058824,0.093589501107022,0.3155143185902252,11,6,79,29,125,reused_phase1_5
9,log_h_logistic,B1_q20,0.9050707547169812,0.8056082605244076,0.8235294117647058,0.7965801886792453,0.6875,0.9056603773584906,0.1219644870970175,0.4124448217400671,10,5,48,22,85,reused_phase1_5
10,gpc_4d,full81,0.9921191615778182,0.9669519144633832,0.9629629629629628,0.9293200198052484,0.8767123287671232,0.9819277108433736,0.0265326512667571,0.0956368450345314,9,6,326,64,405,reused_phase1_5
10,gpc_4d,B1_q30,0.9497058823529412,0.8840221064404689,0.88,0.8522058823529413,0.775,0.9294117647058824,0.0831083307872235,0.276536953616564,9,6,79,31,125,reused_phase1_5
10,gpc_4d,B1_q20,0.9125714285714284,0.8603592606191041,0.8235294117647058,0.8114285714285714,0.7428571428571429,0.88,0.1190254552607877,0.3793502640410668,9,6,44,26,85,reused_phase1_5
10,log_h_logistic,full81,0.9900973758045882,0.9533702912690666,0.965432098765432,0.9254827529295264,0.863013698630137,0.9879518072289156,0.0290148565356982,0.1018139155957199,10,4,328,63,405,reused_phase1_5
10,log_h_logistic,B1_q30,0.9385294117647058,0.8342541543006309,0.888,0.8514705882352941,0.75,0.9529411764705882,0.0915937931571355,0.3110127026519863,10,4,81,30,125,reused_phase1_5
10,log_h_logistic,B1_q20,0.9051428571428572,0.8202161265088315,0.8352941176470589,0.8171428571428572,0.7142857142857143,0.92,0.1265922840840061,0.4232200935833394,10,4,46,25,85,reused_phase1_5
11,gpc_4d,full81,0.9922016834461131,0.9672022064214694,0.9580246913580248,0.9102780986961544,0.8356164383561644,0.9849397590361446,0.0278444325412786,0.0992656598098944,12,5,327,61,405,reused_phase1_5
11,gpc_4d,B1_q30,0.9509291521486644,0.9008470202380064,0.864,0.8238966318234611,0.7073170731707317,0.9404761904761904,0.0865814801193559,0.2800396823538093,12,5,79,29,125,reused_phase1_5
11,gpc_4d,B1_q20,0.9166666666666666,0.8715248988184165,0.8235294117647058,0.8004079254079255,0.696969696969697,0.903846153846154,0.1173872390595197,0.3680185432522725,10,5,47,23,85,reused_phase1_5
11,log_h_logistic,full81,0.9898910711338504,0.9522084911169438,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0293277972255372,0.1043046675038814,10,6,326,63,405,reused_phase1_5
11,log_h_logistic,B1_q30,0.9401858304297328,0.837289803155114,0.872,0.8423344947735192,0.7560975609756098,0.9285714285714286,0.0912532156617927,0.3144507899991641,10,6,78,31,125,reused_phase1_5
11,log_h_logistic,B1_q20,0.903846153846154,0.8059847798590042,0.8352941176470589,0.8155594405594406,0.7272727272727273,0.903846153846154,0.1222309630592713,0.4222797189236397,9,5,47,24,85,reused_phase1_5
12,gpc_4d,full81,0.9917890741046378,0.9656849136132964,0.9530864197530864,0.9179526324475986,0.863013698630137,0.9728915662650602,0.0276183879922299,0.0967662518641787,10,9,323,63,405,reused_phase1_5
12,gpc_4d,B1_q30,0.945736434108527,0.8852116099573176,0.848,0.819469290399523,0.7435897435897436,0.8953488372093024,0.0857221445687961,0.2752717870057882,10,9,77,29,125,reused_phase1_5
12,gpc_4d,B1_q20,0.9131701631701632,0.8657837044262988,0.8,0.7867132867132867,0.7272727272727273,0.8461538461538461,0.1165168489101543,0.3623006316036184,9,8,44,24,85,reused_phase1_5
12,log_h_logistic,full81,0.9904274632777684,0.9555180093000027,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0283153371925905,0.0992206622927315,10,6,326,63,405,reused_phase1_5
12,log_h_logistic,B1_q30,0.9388789505068575,0.8300503974601863,0.872,0.8369111508646392,0.7435897435897436,0.9302325581395348,0.0895951035979418,0.3030787557816448,10,6,80,29,125,reused_phase1_5
12,log_h_logistic,B1_q20,0.9085081585081584,0.81281074103069,0.8235294117647058,0.8004079254079255,0.696969696969697,0.903846153846154,0.1215268501904368,0.4049099581523013,10,5,47,23,85,reused_phase1_5
13,gpc_4d,full81,0.9917890741046376,0.966061247812896,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0285219128480627,0.1040473179402887,10,6,326,63,405,reused_phase1_5
13,gpc_4d,B1_q30,0.9494773519163764,0.8973091569809859,0.872,0.8423344947735192,0.7560975609756098,0.9285714285714286,0.0877139963950763,0.2856443509102945,10,6,78,31,125,reused_phase1_5
13,gpc_4d,B1_q20,0.9102857142857144,0.8731450544942363,0.8117647058823529,0.7971428571428572,0.7142857142857143,0.88,0.1219471310928521,0.3786085289545894,10,6,44,25,85,reused_phase1_5
13,log_h_logistic,full81,0.9898910711338504,0.9537866090958084,0.9629629629629628,0.9239767288331407,0.863013698630137,0.9849397590361446,0.0292757739506097,0.1015455401163253,10,5,327,63,405,reused_phase1_5
13,log_h_logistic,B1_q30,0.9367015098722417,0.845147580827353,0.88,0.8482868757259001,0.7560975609756098,0.9404761904761904,0.0921630713679812,0.3101030973023973,10,5,79,31,125,reused_phase1_5
13,log_h_logistic,B1_q20,0.9028571428571428,0.8157276413680163,0.8352941176470589,0.8171428571428572,0.7142857142857143,0.92,0.1252013205593349,0.4159907790781685,10,4,46,25,85,reused_phase1_5
14,gpc_4d,full81,0.992325466248556,0.96700790213967,0.965432098765432,0.941512625845849,0.9041095890410958,0.9789156626506024,0.0266416017868318,0.0958338611635279,7,7,325,66,405,reused_phase1_5
14,gpc_4d,B1_q30,0.9520905923344948,0.8975645900865803,0.888,0.8729674796747967,0.8292682926829268,0.9166666666666666,0.0827557669780423,0.2733684350972322,7,7,77,34,125,reused_phase1_5
14,gpc_4d,B1_q20,0.924,0.8768064653700679,0.8588235294117647,0.8500000000000001,0.8,0.9,0.1106941389215042,0.3566948793513853,7,5,45,28,85,reused_phase1_5
14,log_h_logistic,full81,0.9893546789899323,0.9478665199362672,0.965432098765432,0.9254827529295264,0.863013698630137,0.9879518072289156,0.0302823514446021,0.1069417342149267,10,4,328,63,405,reused_phase1_5
14,log_h_logistic,B1_q30,0.9375725900116144,0.8297034107297289,0.888,0.854239256678281,0.7560975609756098,0.9523809523809524,0.0942774477209492,0.3238354339006249,10,4,80,31,125,reused_phase1_5
14,log_h_logistic,B1_q20,0.9,0.8096469696315431,0.8352941176470589,0.8171428571428572,0.7142857142857143,0.92,0.1315506843755157,0.4444611037341515,10,4,46,25,85,reused_phase1_5
15,gpc_4d,full81,0.992325466248556,0.9687402295783448,0.9679012345679012,0.9376753589701272,0.8904109589041096,0.9849397590361446,0.0263394038848761,0.0944797904758257,8,5,327,65,405,reused_phase1_5
15,gpc_4d,B1_q30,0.95267131242741,0.9036110260207232,0.896,0.8726771196283392,0.8048780487804879,0.9404761904761904,0.0818629882404266,0.2730677681452418,8,5,79,33,125,reused_phase1_5
15,gpc_4d,B1_q20,0.9204009433962264,0.8610096416363884,0.8588235294117647,0.8434551886792453,0.78125,0.9056603773584906,0.1103422781214623,0.3587124306861751,7,5,48,25,85,reused_phase1_5
15,log_h_logistic,full81,0.9898910711338504,0.953432799496906,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0300570725338928,0.1044711326768656,10,6,326,63,405,reused_phase1_5
15,log_h_logistic,B1_q30,0.9404761904761904,0.8582485052814446,0.872,0.8423344947735192,0.7560975609756098,0.9285714285714286,0.09324274575294,0.3136120932046151,10,6,78,31,125,reused_phase1_5
15,log_h_logistic,B1_q20,0.9033018867924528,0.7975500289187574,0.8235294117647058,0.7965801886792453,0.6875,0.9056603773584906,0.128133761710764,0.4276226509419499,10,5,48,22,85,reused_phase1_5
16,gpc_4d,full81,0.9938108598778675,0.9720165089655272,0.9629629629629628,0.9293200198052484,0.8767123287671232,0.9819277108433736,0.0247497474144097,0.088967466748774,9,6,326,64,405,reused_phase1_5
16,gpc_4d,B1_q30,0.9606440071556352,0.9082214833620648,0.888,0.8625521765056648,0.7948717948717948,0.9302325581395348,0.0743199181916827,0.2495825110975668,8,6,80,31,125,reused_phase1_5
16,gpc_4d,B1_q20,0.9284890426758938,0.8816722263139193,0.8352941176470589,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.1063312174256122,0.342869250985716,8,6,45,26,85,reused_phase1_5
16,log_h_logistic,full81,0.9901386367387356,0.9548088759690349,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0294640333372819,0.1017274320153691,10,6,326,63,405,reused_phase1_5
16,log_h_logistic,B1_q30,0.940071556350626,0.8428137256539386,0.88,0.8497316636851521,0.7692307692307693,0.9302325581395348,0.0893570853934667,0.3020722549396712,9,6,80,30,125,reused_phase1_5
16,log_h_logistic,B1_q20,0.9083044982698962,0.818761693532745,0.8470588235294118,0.8284313725490196,0.7352941176470589,0.9215686274509804,0.1188820006812162,0.3997943438422,9,4,47,25,85,reused_phase1_5
17,gpc_4d,full81,0.9925730318534411,0.9697125567834765,0.9728395061728397,0.9460306981350056,0.9041095890410958,0.9879518072289156,0.0261011595918985,0.0936550483148248,7,4,328,66,405,reused_phase1_5
17,gpc_4d,B1_q30,0.9526678141135972,0.912962509054467,0.912,0.892570281124498,0.8333333333333334,0.9518072289156626,0.0818728949184019,0.2700462206054257,7,4,79,35,125,reused_phase1_5
17,gpc_4d,B1_q20,0.929510155316607,0.8839090287577438,0.8941176470588236,0.8823178016726404,0.8387096774193549,0.925925925925926,0.1034175365599745,0.3347390516554724,5,4,50,26,85,reused_phase1_5
17,log_h_logistic,full81,0.9905512460802112,0.9563898160855104,0.9629629629629628,0.9239767288331407,0.863013698630137,0.9849397590361446,0.0284786658309351,0.0984334892037696,10,5,327,63,405,reused_phase1_5
17,log_h_logistic,B1_q30,0.9417670682730924,0.8580107175047199,0.88,0.8508318990246702,0.7619047619047619,0.9397590361445785,0.0896873894061265,0.2994609612818706,10,5,78,32,125,reused_phase1_5
17,log_h_logistic,B1_q20,0.911589008363202,0.8054383725542454,0.8470588235294118,0.8178016726403823,0.7096774193548387,0.925925925925926,0.1176561776819817,0.3901893407067015,9,4,50,22,85,reused_phase1_5
18,gpc_4d,full81,0.9917890741046376,0.9651634726505336,0.9580246913580248,0.9263079716124774,0.8767123287671232,0.9759036144578314,0.0278070458858294,0.0961560087038067,9,8,324,64,405,reused_phase1_5
18,gpc_4d,B1_q30,0.945,0.8860718164345539,0.864,0.8404411764705882,0.775,0.9058823529411764,0.0876827282244594,0.2793700190370335,9,8,77,31,125,reused_phase1_5
18,gpc_4d,B1_q20,0.907925407925408,0.860817889484128,0.8,0.7867132867132867,0.7272727272727273,0.8461538461538461,0.1201972372866739,0.3687092281296431,9,8,44,24,85,reused_phase1_5
18,log_h_logistic,full81,0.9881581118996534,0.9400938934121552,0.9580246913580248,0.9209646806403696,0.863013698630137,0.9789156626506024,0.0326882117453323,0.1131657521499723,10,7,325,63,405,reused_phase1_5
18,log_h_logistic,B1_q30,0.9332352941176468,0.8212659252581067,0.872,0.8397058823529412,0.75,0.9294117647058824,0.1002235600992351,0.3394981424323831,10,6,79,30,125,reused_phase1_5
18,log_h_logistic,B1_q20,0.9026806526806528,0.8046080263897704,0.8470588235294118,0.8251748251748252,0.7272727272727273,0.9230769230769232,0.1291125828393032,0.443631400599723,9,4,48,24,85,reused_phase1_5
19,gpc_4d,full81,0.9917478131704902,0.9664379513059052,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0272587218206922,0.0952399933196325,10,6,326,63,405,reused_phase1_5
19,gpc_4d,B1_q30,0.9463327370304117,0.8887873283789596,0.872,0.8369111508646392,0.7435897435897436,0.9302325581395348,0.0856311154424859,0.2753839285025486,10,6,80,29,125,reused_phase1_5
19,gpc_4d,B1_q20,0.9182857142857144,0.8860063625424147,0.8352941176470589,0.8214285714285714,0.7428571428571429,0.9,0.1142705707903913,0.3597919865524612,9,5,45,26,85,reused_phase1_5
19,log_h_logistic,full81,0.987910546294768,0.9318303522812724,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0300668606894761,0.1146675034256764,10,6,326,63,405,reused_phase1_5
19,log_h_logistic,B1_q30,0.9332140727489564,0.798680036775564,0.872,0.8369111508646392,0.7435897435897436,0.9302325581395348,0.0935145149824692,0.3477395956531296,10,6,80,29,125,reused_phase1_5
19,log_h_logistic,B1_q20,0.8954285714285714,0.7904407440276937,0.8352941176470589,0.8214285714285714,0.7428571428571429,0.9,0.1275168792517777,0.4772501182242915,9,5,45,26,85,reused_phase1_5
20,gpc_4d,full81,0.9929031193266216,0.9699536453954696,0.9629629629629628,0.9186334378610332,0.8493150684931506,0.9879518072289156,0.0262099797745651,0.0937994909969186,11,4,328,62,405,reused_phase1_5
20,gpc_4d,B1_q30,0.954123112659698,0.9050635885728204,0.88,0.8420441347270615,0.7317073170731707,0.9523809523809524,0.0825932123629289,0.2733182905344364,11,4,80,30,125,reused_phase1_5
20,gpc_4d,B1_q20,0.922759433962264,0.8677849239576263,0.8352941176470589,0.8060141509433962,0.6875,0.9245283018867924,0.1122568142882289,0.360907664411122,10,4,49,22,85,reused_phase1_5
