simulation_id,frame_count,first_timestep,last_timestep,stored_sequence,unique_label_count,label_change_count,initial_emptiness_frames,forming_phase_frames,conduction_frames,keyhole_frames,screenshot_bug_frames,usable_physical_label_frames,any_keyhole,any_conduction,both_conduction_and_keyhole,conduction_only_definition,no_usable_physical_label,keyhole_fraction,persistent_keyhole_3_consecutive_frames,first_keyhole_timestep,first_keyhole_position_s,labels_dense_relative_to_monitor
sim_00083,364,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,60,272,0,32,332,False,True,False,True,False,0.0,False,,,False
sim_00084,387,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,48,282,0,56,330,False,True,False,True,False,0.0,False,,,False
sim_00085,249,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,47,169,0,33,216,False,True,False,True,False,0.0,False,,,False
sim_00086,406,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,53,293,0,60,346,False,True,False,True,False,0.0,False,,,False
sim_00087,134,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,55,46,0,33,101,False,True,False,True,False,0.0,False,,,False
sim_00088,311,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,49,228,0,34,277,False,True,False,True,False,0.0,False,,,False
sim_00089,131,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,50,48,0,33,98,False,True,False,True,False,0.0,False,,,False
sim_00090,171,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,50,88,0,33,138,False,True,False,True,False,0.0,False,,,False
sim_00091,368,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,50,272,0,46,322,False,True,False,True,False,0.0,False,,,False
sim_00092,414,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,48,263,0,103,311,False,True,False,True,False,0.0,False,,,False
sim_00093,378,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,53,284,0,41,337,False,True,False,True,False,0.0,False,,,False
sim_00094,374,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,46,265,0,63,311,False,True,False,True,False,0.0,False,,,False
sim_00095,241,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Keyhole,4,3,0,39,3,166,33,208,True,True,True,False,False,0.7980769230769231,True,36804.0,0.3064870180377924,False
sim_00096,299,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,53,215,0,31,268,False,True,False,True,False,0.0,False,,,False
sim_00097,103,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,52,19,0,32,71,False,True,False,True,False,0.0,False,,,False
sim_00098,108,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,47,29,0,32,76,False,True,False,True,False,0.0,False,,,False
sim_00099,337,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,43,260,0,34,303,False,True,False,True,False,0.0,False,,,False
sim_00100,178,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,63,84,0,31,147,False,True,False,True,False,0.0,False,,,False
sim_00101,41,0,68795,Screenshot Bug -> Initial Emptiness -> Forming Phase,3,2,1,15,0,0,25,15,False,False,False,False,False,0.0,False,,,False
sim_00102,151,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,56,62,0,32,118,False,True,False,True,False,0.0,False,,,False
sim_00103,209,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,56,122,0,31,178,False,True,False,True,False,0.0,False,,,False
sim_00104,350,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,45,264,0,41,309,False,True,False,True,False,0.0,False,,,False
sim_00105,228,0,115599,Screenshot Bug -> Forming Phase -> Keyhole,3,2,0,44,0,149,35,193,True,False,False,False,False,0.772020725388601,True,40266.0,0.3144443236953746,False
sim_00106,344,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,57,253,0,33,310,False,True,False,True,False,0.0,False,,,False
sim_00107,127,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,55,40,0,32,95,False,True,False,True,False,0.0,False,,,False
sim_00108,178,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,52,95,0,31,147,False,True,False,True,False,0.0,False,,,False
sim_00109,372,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,61,280,0,31,341,False,True,False,True,False,0.0,False,,,False
sim_00110,305,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,57,216,0,32,273,False,True,False,True,False,0.0,False,,,False
sim_00111,322,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,55,234,0,32,289,False,True,False,True,False,0.0,False,,,False
sim_00112,397,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,51,288,0,58,339,False,True,False,True,False,0.0,False,,,False
sim_00113,379,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,44,275,0,60,319,False,True,False,True,False,0.0,False,,,False
sim_00114,427,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,57,276,0,94,333,False,True,False,True,False,0.0,False,,,False
sim_00115,184,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,56,98,0,30,154,False,True,False,True,False,0.0,False,,,False
sim_00116,143,0,68795,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,35,83,0,25,118,False,True,False,True,False,0.0,False,,,False
sim_00117,409,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,61,290,0,57,351,False,True,False,True,False,0.0,False,,,False
sim_00118,127,0,68795,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,40,61,0,25,101,False,True,False,True,False,0.0,False,,,False
sim_00119,218,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,61,125,0,32,186,False,True,False,True,False,0.0,False,,,False
sim_00120,375,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,57,282,0,36,339,False,True,False,True,False,0.0,False,,,False
sim_00121,405,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,49,262,0,94,311,False,True,False,True,False,0.0,False,,,False
sim_00122,134,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,45,57,0,32,102,False,True,False,True,False,0.0,False,,,False
sim_00123,219,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,56,133,0,30,189,False,True,False,True,False,0.0,False,,,False
sim_00124,209,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Keyhole,5,4,1,54,76,47,31,177,True,True,True,False,False,0.2655367231638418,True,90647.0,0.6527691898800029,False
sim_00125,164,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,45,86,0,33,131,False,True,False,True,False,0.0,False,,,False
sim_00126,210,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,56,121,0,33,177,False,True,False,True,False,0.0,False,,,False
sim_00127,170,0,68795,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,41,105,0,24,146,False,True,False,True,False,0.0,False,,,False
sim_00128,359,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,58,267,0,33,325,False,True,False,True,False,0.0,False,,,False
sim_00129,300,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,50,217,0,33,267,False,True,False,True,False,0.0,False,,,False
sim_00130,348,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,57,257,0,33,314,False,True,False,True,False,0.0,False,,,False
sim_00131,403,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,38,272,0,93,310,False,True,False,True,False,0.0,False,,,False
sim_00132,379,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,51,277,0,50,328,False,True,False,True,False,0.0,False,,,False
sim_00133,112,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,45,34,0,33,79,False,True,False,True,False,0.0,False,,,False
sim_00134,301,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,58,210,0,33,268,False,True,False,True,False,0.0,False,,,False
sim_00135,204,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,64,108,0,32,172,False,True,False,True,False,0.0,False,,,False
sim_00137,238,0,115599,Initial Emptiness -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction,3,13,34,0,155,49,0,204,True,True,True,False,False,0.24019607843137256,True,55477.0,0.4537597245433067,False
sim_00138,300,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,74,196,0,29,270,False,True,False,True,False,0.0,False,,,False
sim_00139,217,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,56,129,0,31,185,False,True,False,True,False,0.0,False,,,False
sim_00140,309,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,72,205,0,32,277,False,True,False,True,False,0.0,False,,,False
sim_00141,423,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,62,296,0,65,358,False,True,False,True,False,0.0,False,,,False
sim_00142,174,0,68795,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,48,100,0,26,148,False,True,False,True,False,0.0,False,,,False
sim_00143,424,0,68795,Initial Emptiness -> Forming Phase -> Conduction -> Forming Phase -> Conduction,3,4,2,80,342,0,0,422,False,True,False,True,False,0.0,False,,,False
sim_00144,265,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,2,36,227,0,0,263,False,True,False,True,False,0.0,False,,,False
sim_00145,170,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,1,34,135,0,0,169,False,True,False,True,False,0.0,False,,,False
sim_00146,150,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,1,32,117,0,0,149,False,True,False,True,False,0.0,False,,,False
sim_00147,587,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,3,42,542,0,0,584,False,True,False,True,False,0.0,False,,,False
sim_00148,429,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,2,53,374,0,0,427,False,True,False,True,False,0.0,False,,,False
sim_00149,361,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,2,52,307,0,0,359,False,True,False,True,False,0.0,False,,,False
sim_00150,381,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,2,46,333,0,0,379,False,True,False,True,False,0.0,False,,,False
sim_00151,640,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,2,43,595,0,0,638,False,True,False,True,False,0.0,False,,,False
sim_00152,136,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,1,42,93,0,0,135,False,True,False,True,False,0.0,False,,,False
sim_00153,299,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,36,219,0,44,255,False,True,False,True,False,0.0,False,,,False
sim_00154,410,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,205,33,0,171,238,False,True,False,True,False,0.0,False,,,False
sim_00155,368,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,34,212,0,122,246,False,True,False,True,False,0.0,False,,,False
sim_00156,190,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Forming Phase -> Conduction,3,4,0,36,116,0,38,152,False,True,False,True,False,0.0,False,,,False
sim_00157,539,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,2,65,472,0,0,537,False,True,False,True,False,0.0,False,,,False
sim_00158,353,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,201,35,0,116,236,False,True,False,True,False,0.0,False,,,False
sim_00159,316,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,31,210,0,74,241,False,True,False,True,False,0.0,False,,,False
sim_00160,248,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,141,69,0,38,210,False,True,False,True,False,0.0,False,,,False
