run_id,repeat,fold,arm,prediction_model,horizon,B1_q20_AULC_16_80,B1_q30_AULC_16_80,persistent_q20_0_80_crossing,persistent_q20_0_80_observed,budget40_full81_accuracy,budget40_full81_balanced_accuracy,budget40_full81_keyhole_recall,budget40_full81_conduction_recall,budget40_full81_false_negative,budget40_full81_false_positive,budget40_B1_q30_accuracy,budget40_B1_q30_balanced_accuracy,budget40_B1_q30_keyhole_recall,budget40_B1_q30_conduction_recall,budget40_B1_q30_false_negative,budget40_B1_q30_false_positive,budget40_B1_q20_accuracy,budget40_B1_q20_balanced_accuracy,budget40_B1_q20_keyhole_recall,budget40_B1_q20_conduction_recall,budget40_B1_q20_false_negative,budget40_B1_q20_false_positive
w85__r13_f05,13,5,h_margin,gpc4_h_acquisition,160,0.9227941176470589,0.934375,17.0,True,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,0.96,0.95,0.9,1.0,1,0,0.9411764705882353,0.9444444444444444,0.8888888888888888,1.0,1,0
w85__r13_f05,13,5,h_margin,h_model_h_acquisition,160,0.814797794117647,0.8740624999999999,16.0,True,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2,1,0.88,0.8666666666666667,0.8,0.9333333333333333,2,1,0.8235294117647058,0.8263888888888888,0.7777777777777778,0.875,2,1
w85__r14_f01,14,1,assisted_product,gpc4_assisted_product,80,0.7385110294117647,0.7509374999999999,16.0,True,0.9135802469135802,0.843939393939394,0.7333333333333333,0.9545454545454546,4,3,0.72,0.6309523809523809,0.42857142857142855,0.8333333333333334,4,3,0.7647058823529411,0.7166666666666667,0.6,0.8333333333333334,2,2
w85__r14_f01,14,1,gpc5_margin,gpc5_margin,80,0.7169117647058824,0.7940624999999999,20.0,True,0.9506172839506173,0.9181818181818182,0.8666666666666667,0.9696969696969697,2,2,0.84,0.8015873015873016,0.7142857142857143,0.8888888888888888,2,2,0.7647058823529411,0.7166666666666667,0.6,0.8333333333333334,2,2
w85__r14_f01,14,1,h_margin,gpc4_h_acquisition,160,0.7385110294117647,0.7296874999999999,16.0,True,0.9135802469135802,0.843939393939394,0.7333333333333333,0.9545454545454546,4,3,0.72,0.6309523809523809,0.42857142857142855,0.8333333333333334,4,3,0.7647058823529411,0.7166666666666667,0.6,0.8333333333333334,2,2
w85__r14_f01,14,1,h_margin,h_model_h_acquisition,160,0.7058823529411765,0.7999999999999999,,False,0.9382716049382716,0.9106060606060606,0.8666666666666667,0.9545454545454546,2,3,0.8,0.7738095238095238,0.7142857142857143,0.8333333333333334,2,3,0.7058823529411765,0.675,0.6,0.75,2,3
w85__r14_f02,14,2,assisted_product,gpc4_assisted_product,80,0.9145220588235294,0.94,16.0,True,0.9876543209876543,0.9924242424242424,1.0,0.9848484848484849,0,1,0.96,0.9666666666666667,1.0,0.9333333333333333,0,1,0.9411764705882353,0.9444444444444444,1.0,0.8888888888888888,0,1
w85__r14_f02,14,2,gpc5_margin,gpc5_margin,80,0.8731617647058825,0.913125,16.0,True,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,0.92,0.9,0.8,1.0,2,0,0.8823529411764706,0.875,0.75,1.0,2,0
w85__r14_f02,14,2,h_margin,gpc4_h_acquisition,160,0.8952205882352942,0.9287500000000001,16.0,True,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,1,1,0.92,0.9166666666666667,0.9,0.9333333333333333,1,1,0.8823529411764706,0.8819444444444444,0.875,0.8888888888888888,1,1
w85__r14_f02,14,2,h_margin,h_model_h_acquisition,160,0.9338235294117648,0.9415625,18.0,True,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,1,2,0.92,0.9166666666666667,0.9,0.9333333333333333,1,1,0.9411764705882353,0.9375,0.875,1.0,1,0
