benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0,7,0.18166666666666667,0.8416666666666667,0.15792398244136138,0.028955199999472825,0.35,60,0.85,0.17068898238420865,0.3333333333333333,120,0.8416666666666667,0.17262710791538152,0.2833333333333333,180,0.85,0.16535975132838054
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0,8,0.18,0.54,0.07718423126034216,0.038096099999165745,0.43333333333333335,60,0.7166666666666667,0.11134729299923177,0.3416666666666667,120,0.725,0.11130211534769482,0.2722222222222222,180,0.6722222222222223,0.09516501143590739
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0,9,0.15833333333333333,0.5933333333333334,0.09180971505152218,0.03589740000097663,0.4,60,0.75,0.14065375594499854,0.3333333333333333,120,0.7583333333333333,0.14329345117746656,0.2777777777777778,180,0.7444444444444445,0.13078351496959395
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0,10,0.15333333333333332,0.4166666666666667,0.062260807934380595,0.03498030000082508,0.43333333333333335,60,0.7166666666666667,0.11654218554130504,0.35,120,0.7,0.11807298671748241,0.2777777777777778,180,0.6388888888888888,0.10204209605111444
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,6,0.2833333333333333,0.85,0.1630326823609525,0.02885269999933371,0.36666666666666664,60,0.85,0.16771271007868524,0.3416666666666667,120,0.8416666666666667,0.16965051670022113,0.28888888888888886,180,0.85,0.16216333027411278
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,7,0.18166666666666667,0.8416666666666667,0.15792398244136138,0.028908899999805726,0.35,60,0.85,0.17068898238420865,0.3333333333333333,120,0.8416666666666667,0.17262710791538152,0.2833333333333333,180,0.85,0.16535975132838054
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,8,0.18,0.54,0.07718423126034216,0.038110100000267266,0.43333333333333335,60,0.7166666666666667,0.11134729299923177,0.3416666666666667,120,0.725,0.11130211534769482,0.2722222222222222,180,0.6722222222222223,0.09516501143590739
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,9,0.15833333333333333,0.5933333333333334,0.09180971505152218,0.03202960000089661,0.4,60,0.75,0.14065375594499854,0.3333333333333333,120,0.7583333333333333,0.14329345117746656,0.2777777777777778,180,0.7444444444444445,0.13078351496959395
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,10,0.15333333333333332,0.4166666666666667,0.062260807934380595,0.0348718999994162,0.43333333333333335,60,0.7166666666666667,0.11654218554130504,0.35,120,0.7,0.11807298671748241,0.2777777777777778,180,0.6388888888888888,0.10204209605111444
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,6,0.2833333333333333,0.85,0.1630326823609525,0.02887900000132504,0.36666666666666664,60,0.85,0.16771271007868524,0.3416666666666667,120,0.8416666666666667,0.16965051670022113,0.28888888888888886,180,0.85,0.16216333027411278
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,7,0.27,0.34833333333333333,0.049244327102769214,0.04686790000050678,0.4666666666666667,60,0.48333333333333334,0.06889396919318766,0.35833333333333334,120,0.44166666666666665,0.06508187597253105,0.2777777777777778,180,0.34444444444444444,0.051698722342767275
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,8,0.16833333333333333,0.49166666666666664,0.06743222481278496,0.040781300000162446,0.45,60,0.6833333333333333,0.10758392581666622,0.35,120,0.6833333333333333,0.10518603403812711,0.2722222222222222,180,0.6111111111111112,0.08798879143297166
