simulation_id,numeric_simulation_id,relative_path,experiment_details_available,parameters_available,metadata_available,labeling_provenance_available,frames_csv_available,monitor_available,monitor_dat_count,front_frame_image_count,side_frame_image_count,top_frame_image_count,frames_csv_row_count,missing_or_incomplete,unexpected_files,complete_for_phase1
sim_00224,224,final_data_processed/sim_00224,True,True,True,True,True,True,34,248,248,248,248,,,True
sim_00225,225,final_data_processed/sim_00225,True,True,True,True,True,True,34,170,170,170,170,,,True
sim_00226,226,final_data_processed/sim_00226,True,True,True,True,True,True,34,179,179,179,179,,,True
sim_00227,227,final_data_processed/sim_00227,True,True,True,True,True,True,34,378,378,378,378,,,True
sim_00228,228,final_data_processed/sim_00228,True,True,True,True,True,True,34,274,274,274,274,,,True
sim_00229,229,final_data_processed/sim_00229,True,True,True,True,True,True,34,255,255,255,255,,,True
sim_00230,230,final_data_processed/sim_00230,True,True,True,True,True,True,34,159,159,159,159,,,True
sim_00231,231,final_data_processed/sim_00231,True,True,True,True,True,True,34,424,424,424,424,,,True
sim_00232,232,final_data_processed/sim_00232,True,True,True,True,True,True,34,314,314,314,314,,,True
sim_00233,233,final_data_processed/sim_00233,True,True,True,True,True,True,34,394,394,394,394,,,True
sim_00234,234,final_data_processed/sim_00234,True,True,True,True,True,True,34,293,293,293,293,,,True
sim_00235,235,final_data_processed/sim_00235,True,True,True,True,True,True,34,328,328,328,328,,,True
sim_00236,236,final_data_processed/sim_00236,True,True,True,True,True,True,34,174,174,174,174,,,True
sim_00237,237,final_data_processed/sim_00237,True,True,True,True,True,True,34,209,209,209,209,,,True
sim_00238,238,final_data_processed/sim_00238,True,True,True,True,True,True,34,185,185,185,185,,,True
sim_00239,239,final_data_processed/sim_00239,True,True,True,True,True,True,34,391,391,391,391,,,True
sim_00240,240,final_data_processed/sim_00240,True,True,True,True,True,True,34,329,329,329,329,,,True
sim_00241,241,final_data_processed/sim_00241,True,True,True,True,True,True,34,348,348,348,348,,,True
sim_00242,242,final_data_processed/sim_00242,True,True,True,True,True,True,34,391,391,391,391,,,True
