run_id,repeat,fold,budget,revealed_count,candidate_count,revealed_prefix_sha256,source
w85__r04_f01,4,1,60,60,264,1e7ebfcb443a017723dd474f183b772fe9c98ad1183169a1ff95e1d933130d22,Phase 1.14 published M3-margin path
w85__r04_f01,4,1,80,80,244,1b40e1954b3199c3cf918b43fdb4122f84d3b85dadd6c0679dd00ef41cf20241,Phase 1.14 published M3-margin path
w85__r04_f02,4,2,16,16,308,a53a4dd0ac1a55423923f2c85c31d5255b73b5b892445ba8b468a9b18749cb55,Phase 1.14 published M3-margin path
w85__r04_f02,4,2,24,24,300,ff0a537b88cf540e45f0d13b3c18949215c23dd9e3326c85cc82fd1658c8137c,Phase 1.14 published M3-margin path
w85__r04_f02,4,2,32,32,292,ef94138e7f2e1ae14d995ce707543b1f9ea889b030428a27d14fd4153187286b,Phase 1.14 published M3-margin path
w85__r04_f02,4,2,40,40,284,8bcc17cdc6741e2e36573ad131ff650ceb3ec24dcd7af23c51af8a8de5907f2c,Phase 1.14 published M3-margin path
w85__r04_f02,4,2,60,60,264,67bbf69dc9cdbca960de794f9eb7653e8ccc576b3ac2d21196927cdac10e59a9,Phase 1.14 published M3-margin path
w85__r04_f02,4,2,80,80,244,5849048ced0063292cf4b72e7b7737f44349d890add773751fd4abb3e717a259,Phase 1.14 published M3-margin path
w85__r04_f03,4,3,16,16,308,a694f042a389037b6bd08f431044c2852b3d3c5ee19e005cb8a6e32934afd9f8,Phase 1.14 published M3-margin path
w85__r04_f03,4,3,24,24,300,ca895ae779c99e90de0bc5ae5678a2d62bf37e0315410fe12bad4edf448f1523,Phase 1.14 published M3-margin path
w85__r04_f03,4,3,32,32,292,e31dc561eca380cdd71cd30c22d40f168d3d18c5a40a980e082412c91874a50d,Phase 1.14 published M3-margin path
w85__r04_f03,4,3,40,40,284,e23b12659d1c92bb40502c66009eddd439c0e96af0b880fa77b27dc845beb445,Phase 1.14 published M3-margin path
w85__r04_f03,4,3,60,60,264,baf8ab63ddf36de5c0122cb02cd71853ec9279cc3f25bf148831439c789eccdf,Phase 1.14 published M3-margin path
w85__r04_f03,4,3,80,80,244,6577616d1a3d4b4ee37640ec68c9a902fd40aad9b1c5aa16b90b5219d076bbef,Phase 1.14 published M3-margin path
w85__r04_f04,4,4,16,16,308,dfc6247e04b8ccdba900dc5d547b8a457212fdcd8511ddc13589cc2eba1205da,Phase 1.14 published M3-margin path
w85__r04_f04,4,4,24,24,300,b7a993002f4bc6d48432fb3fad920a84911929758d6f3df1fb32bfde83fd6efb,Phase 1.14 published M3-margin path
w85__r04_f04,4,4,32,32,292,19ccc679907a0163ba5ff949e5edf80e38d615af3e6450dc2b5174cb08add341,Phase 1.14 published M3-margin path
w85__r04_f04,4,4,40,40,284,ccf1ad25a5ee87eea1c560326218fbdd1e716803fdef1b0c0cce39a3eddf3367,Phase 1.14 published M3-margin path
