simulation_id,numeric_simulation_id,P,VX,LS,ST,melt_pool_depth_below_surface_selected_primary_scalar_target_m,depth_target_um,flag_primary_window_unstable,depth_bootstrap_variance_um2,depth_bootstrap_std_um,fold_index
sim_00050,50,149.73987868,0.504680707931,6.9723584777e-05,320.536129041,5.475336e-05,54.75336,False,0.0022352573601102,0.0472785084378749,43
sim_00051,51,149.779509657,0.251536582152,4.84927831067e-05,381.35096431,6.2751915e-05,62.751915,False,5.50130243727203e-06,0.0023454855440339,44
sim_00052,52,150.924001842,0.859014749555,8.54585725094e-05,302.841995718,3.8800575e-05,38.800575,False,3.6492833067235335e-05,0.0060409298181021,45
sim_00053,53,151.505871803,0.995509859725,6.72580848008e-05,301.996554082,4.239804e-05,42.39804,False,0.0001410220563946,0.0118752707924786,46
sim_00054,54,151.630328889,0.596649793105,5.54888002616e-05,323.086654154,6.0221e-05,60.221,False,0.0923298052078138,0.303858199178192,47
sim_00055,55,153.721476211,0.579411174254,7.49286492013e-05,383.484527945,5.222291e-05,52.22291,False,0.1180316647566728,0.3435573674900203,48
sim_00056,56,155.56408626,0.882684317254,6.13538276829e-05,315.150952839,4.6782705e-05,46.782705,False,0.0001327249907514,0.0115206332617355,49
sim_00057,57,158.404299584,0.530960738208,8.44011119013e-05,377.174397227,5.219154e-05,52.191539999999996,False,0.0967679773141728,0.3110755170600425,50
sim_00058,58,158.77294915,0.755822601012,5.98686493415e-05,315.3922311,5.1035355e-05,51.035355,False,0.1851611973327756,0.4303036106434336,51
sim_00059,59,159.365045029,0.465685970522,5.71815338387e-05,335.270795676,6.602616e-05,66.02616,False,0.2029008405723939,0.450445158229494,52
sim_00060,60,160.556282667,0.957190479289,5.53708249108e-05,363.791890923,4.684559e-05,46.845589999999994,False,2.657869947054206e-05,0.0051554533719685,53
sim_00061,61,161.701140241,0.559592851831,7.43216837725e-05,378.872335114,6.267888e-05,62.67888000000001,False,2.414628673186365e-05,0.004913887130558,54
sim_00062,62,163.117472792,0.458171151631,7.76324682791e-05,309.146066051,6.267582e-05,62.675819999999995,False,9.295849277114605e-05,0.0096414984712515,55
sim_00063,63,163.341658752,0.941874162971,5.45765866009e-05,310.281913475,4.681844e-05,46.81844,False,2.711855106322493e-05,0.0052075475094544,56
sim_00064,64,166.164223082,0.514604075971,6.70362084208e-05,302.957496397,6.667379e-05,66.67379000000001,False,1.816874463166393e-05,0.0042624810417952,57
sim_00065,65,166.614725594,0.931765035172,5.67575778907e-05,364.064697506,5.062764e-05,50.62764,False,0.0007329453543963,0.027072963531841,58
sim_00066,66,167.36850481,0.484912828283,7.82623244153e-05,326.173250025,6.236748e-05,62.36748,False,0.0355283858788752,0.1884897500631673,59
sim_00067,67,167.779770961,0.390580196452,6.45833025222e-05,394.852870083,6.676979e-05,66.76979,False,3.417678866482621e-05,0.005846091742765,60
sim_00068,68,171.239447318,0.969583751496,7.40725617215e-05,384.912438459,4.663597e-05,46.63597,False,5.572561069048044e-05,0.007464958853904,61
sim_00069,69,171.382540224,0.233605939402,6.18629013601e-05,355.188153249,6.673917e-05,66.73917,False,5.642526452905956e-05,0.0075116752145616,62
sim_00070,70,171.875575389,0.916897438596,6.66389080354e-05,338.337187717,4.6827485e-05,46.827484999999996,False,3.804787421032042e-05,0.0061682958919235,63
sim_00071,71,173.720948038,0.230617607979,6.23730108092e-05,383.499521736,6.6733e-05,66.733,False,1.760698619478743e-05,0.0041960679444912,64
sim_00072,72,174.128102602,0.994422815088,7.40414236536e-05,367.557277174,4.63826e-05,46.3826,False,1.3342401450499773e-05,0.0036527252087311,65
sim_00073,73,176.31832051,0.578189015568,5.80825678862e-05,392.957182722,6.126925e-05,61.26925,False,0.4564637687034542,0.6756210244681956,66
sim_00074,74,176.64993117,0.775213670345,6.57722012124e-05,360.022077993,5.4756665e-05,54.756665,False,4.184783179599172e-05,0.0064689900135949,67
sim_00075,75,177.868754925,0.784825891065,5.3694165939e-05,378.775948175,5.572084e-05,55.72084,False,0.0636461878226709,0.252281960953753,68
sim_00076,76,179.651163568,0.66389382017,6.65035978508e-05,326.14019277,5.8802625e-05,58.802625,False,0.003739130992216,0.0611484340945542,69
sim_00077,77,181.197687991,0.643443519749,5.49477846524e-05,320.630170488,5.987088e-05,59.87088,False,0.6081708431099224,0.779853090722812,70
sim_00078,78,181.214517461,0.293157847988,6.39704529171e-05,391.855294349,7.07484e-05,70.74839999999999,False,1.5996473933463313e-05,0.0039995592173967,71
sim_00079,79,182.701235644,0.787372384637,5.07019733104e-05,389.154544132,5.8488870000000006e-05,58.488870000000006,False,0.0028394703008941,0.053286680332839,72
sim_00080,80,183.86712976,0.92773562332,4.77447546287e-05,393.876492884,5.455737e-05,54.55737,False,0.0001990799753907,0.0141095703474903,73
sim_00081,81,184.554601264,0.855768445974,6.11854963854e-05,316.977306706,5.4731820000000005e-05,54.731820000000006,False,0.0001252226886673,0.0111902943959188,74
sim_00082,82,186.021611878,0.483877556354,6.53069178085e-05,388.836932905,6.817874e-05,68.17873999999999,False,0.4032648872780219,0.6350314065288597,75
sim_00083,83,186.850960621,0.845582390035,8.39602076571e-05,354.289806443,5.068827e-05,50.688269999999996,False,3.60173070140293e-05,0.00600144207787,76
sim_00084,84,188.702615393,0.897654681927,7.37418626284e-05,361.378936642,5.083965e-05,50.83965,False,4.161763889378199e-06,0.0020400401685697,77
sim_00085,85,190.553348142,0.571798591092,6.21059581714e-05,350.091118048,6.307431e-05,63.07431,False,0.0456890241505395,0.2137499102936409,78
sim_00086,86,193.028200221,0.93446669696,8.62901752671e-05,365.941151844,4.680242e-05,46.80242,False,1.1811386296995003e-05,0.003436769747451,79
sim_00087,87,193.440626378,0.303697281962,7.07136561297e-05,354.067159473,7.467366e-05,74.67366,False,1.949960652304155e-05,0.0044158358804468,80
sim_00088,88,193.81397439,0.717380412454,5.49903358659e-05,340.433066031,6.198689000000001e-05,61.98689000000001,False,0.1203909103778701,0.346973933282992,81
sim_00089,89,194.036512211,0.298398024189,7.09068727373e-05,343.727832606,7.466601e-05,74.66601,False,7.51548664785439e-05,0.0086691906472602,82
sim_00090,90,194.089464462,0.388567055088,7.6021762795e-05,395.140888584,7.870538e-05,78.70538,False,1.2127890334270155e-05,0.0034825120723796,83
sim_00091,91,195.080816167,0.844140965531,6.21634030137e-05,331.625980857,5.5936285e-05,55.936285,False,0.0231206555915,0.1520547782593499,84
sim_00092,92,196.954129245,0.972458485112,5.85340423111e-05,310.387913302,5.099379e-05,50.99379,False,0.0042674558929923,0.0653257674504661,85
sim_00093,93,197.742114875,0.874617254357,7.7301896977e-05,350.888533369,5.082025e-05,50.82025,False,1.6802775395190367e-05,0.0040991188559482,86
sim_00094,94,198.603717725,0.869799932432,5.56307183941e-05,326.836247823,5.503649e-05,55.03649,False,0.0320225053263787,0.178948331443405,87
sim_00096,96,202.894942483,0.693798608043,7.43333938026e-05,353.442501329,6.261278e-05,62.61278,False,0.0056861827267859,0.075406781702881,88
sim_00097,97,203.020934762,0.232834869492,7.55576098976e-05,395.193912826,7.070868e-05,70.70868,False,7.5543265114204764e-06,0.002748513509412,89
sim_00098,98,203.421420958,0.245041839826,7.55920229368e-05,393.123734832,7.071442e-05,70.71442,False,2.2436859619237115e-06,0.0014978938420074,90
sim_00099,99,206.272219756,0.781444456167,4.98713368602e-05,399.182507166,6.261258e-05,62.61258,False,0.0003771820037098,0.0194211741073969,91
sim_00100,100,207.687789994,0.40901295179,7.09627718894e-05,395.011679,8.271335e-05,82.71335,False,8.79717369579081e-06,0.0029660029831055,92
sim_00101,101,208.39901443,0.201684842681,6.50424237325e-05,372.154003234,5.0290025e-05,50.290025,False,0.0833286594852419,0.2886670391389394,93
sim_00102,102,209.697266982,0.34452106985,7.55711119508e-05,302.470939697,7.857049e-05,78.57048999999999,False,1.5097815224049795e-05,0.0038855907175164,94
sim_00103,103,209.90265043,0.477857533217,8.77962223972e-05,386.665335025,7.429782e-05,74.29782,False,0.1056355786593265,0.3250162744530288,95
sim_00104,104,210.093044543,0.812610384047,5.18819698292e-05,390.525668596,6.257318e-05,62.57318,False,0.0008034639052681,0.028345438879441,96
sim_00106,106,212.092538093,0.79096361392,7.95278191784e-05,347.757246585,5.87098e-05,58.7098,False,7.773301917274676e-05,0.0088166330973193,97
sim_00107,107,212.375773305,0.288263650586,8.35116649465e-05,312.800399692,7.4637395e-05,74.637395,False,2.1544302933362303e-05,0.0046415840974135,98
sim_00108,108,218.135837307,0.411781802704,5.72773552436e-05,307.427986374,7.871321500000001e-05,78.713215,False,2.4513927058521265e-05,0.0049511541137921,99
sim_00109,109,218.170294814,0.856055229722,8.4878396046e-05,374.889107005,5.482408e-05,54.82408,False,3.94185901293614e-05,0.0062784225828914,100
sim_00110,110,218.315594294,0.70315782783,8.24115302242e-05,319.105471156,6.272201e-05,62.72201,False,0.0003599902124649,0.0189734080350612,101
sim_00111,111,218.361623288,0.747470791734,7.1375293786e-05,300.016423613,6.276215e-05,62.762150000000005,False,6.543378724088577e-05,0.0080891153558894,102
sim_00112,112,218.521967876,0.920050491887,7.11545742791e-05,300.883630406,5.479062e-05,54.79062,False,2.8089242731865933e-05,0.0052999285591285,103
sim_00113,113,218.846041052,0.877499363134,5.6186595533e-05,332.098243358,5.8775855e-05,58.775855,False,3.39736754432851e-05,0.0058286941456285,104
sim_00114,114,219.728507107,0.99152217595,6.49667790705e-05,393.045172137,5.484091e-05,54.84091,False,2.472474103206588e-05,0.0049723979157008,105
sim_00115,115,220.072225453,0.425314653287,7.24382024748e-05,381.760927113,8.6262795e-05,86.262795,False,0.078058321742236,0.2793891940326899,106
sim_00116,116,220.256246323,0.736244453131,5.8651582992e-05,358.758060614,6.677531e-05,66.77531,False,2.3998800512621885e-05,0.0048988570618688,107
sim_00117,117,220.462707704,0.946752122114,8.2300511791e-05,313.968629329,5.079587e-05,50.79587,False,2.777298969298665e-05,0.0052700085097641,108
sim_00118,118,221.576145741,0.645163458122,7.3903246332e-05,318.590626589,7.0738735e-05,70.738735,False,9.134469636875642e-06,0.0030223285124015,109
sim_00119,119,223.185978023,0.49812515056,8.14092862216e-05,313.14559396,7.455723500000001e-05,74.557235,False,0.0286414216143825,0.1692377665132182,110
sim_00120,120,225.435545826,0.86531734725,6.64530039846e-05,364.26873014,5.885444e-05,58.85444,False,0.0002557232447369,0.0159913490593185,111
sim_00121,121,226.380431899,0.944850720806,5.28066961668e-05,329.382817534,5.863609e-05,58.636089999999996,False,9.679384858476988e-05,0.0098383864827912,112
sim_00122,122,227.786589532,0.30483440954,7.3391662288e-05,359.259536614,7.8729635e-05,78.729635,False,3.385556773545704e-06,0.0018399882536434,113
sim_00123,123,228.027925635,0.505215249994,8.46696228038e-05,384.613421136,7.332628e-05,73.32628,False,0.3702344537355573,0.6084689422933247,114
sim_00125,125,229.384485496,0.374546448601,5.61892687884e-05,346.005476369,8.26434e-05,82.6434,False,3.619267369739986e-05,0.0060160347154417,115
sim_00126,126,229.39632192,0.478464286668,6.73160020334e-05,313.601802213,8.3136455e-05,83.136455,False,0.2143061784266808,0.4629321531571131,116
sim_00127,127,229.433825146,0.876957934743,6.77377719261e-05,358.900225798,5.881311e-05,58.81311,False,3.4980078988376834e-05,0.0059143959106891,117
sim_00128,128,232.272231119,0.829414389208,6.88203473429e-05,337.761722106,6.266116e-05,62.66116,False,0.0003910956853462,0.0197761392932567,118
sim_00129,129,234.126702838,0.687075747958,6.17120592739e-05,378.601004081,7.065698e-05,70.65697999999999,False,0.0007810742060196,0.0279477048435042,119
sim_00130,130,236.763849841,0.800191513041,6.78517796151e-05,355.994293515,6.3872535e-05,63.872535000000006,False,0.1050774876273391,0.3241565788740668,120
sim_00131,131,237.061390501,0.937687434899,4.7428723532e-05,371.522412287,6.207723499999999e-05,62.077234999999995,False,0.003359326504519,0.0579596972431625,121
sim_00132,132,237.334710533,0.878374904385,5.83506544001e-05,382.29609677,6.264183e-05,62.641830000000006,False,8.141317343446423e-05,0.0090229248824571,122
sim_00133,133,238.319282705,0.253960262605,5.92121677448e-05,384.128817665,7.862242e-05,78.62241999999999,False,1.0877740081762536e-05,0.0032981419135268,123
sim_00134,134,238.568860016,0.692328357435,6.05159821767e-05,343.889085336,7.065929e-05,70.65929,False,0.0003012087422444,0.0173553663817416,124
sim_00135,135,240.150803131,0.464417169926,7.86781365033e-05,312.042470117,8.271559e-05,82.71558999999999,False,2.324549675350553e-05,0.0048213583929744,125
sim_00137,137,243.936893462,0.545516283598,5.6904291389e-05,360.082453969,7.928099e-05,79.28099,False,0.3954988503200038,0.62888699328258,126
sim_00138,138,244.346847818,0.692297386822,7.87344285445e-05,312.797130588,6.979165e-05,69.79165,False,0.2881674314341785,0.5368122869627506,127
sim_00139,139,244.476502118,0.49526990633,8.73976519147e-05,336.403249939,7.825226e-05,78.25226,False,0.1125847774208081,0.3355365515421652,128
sim_00140,140,246.351544569,0.710899222357,7.68583817855e-05,368.835081824,6.9763275e-05,69.76327500000001,False,0.1754295713865772,0.4188431345821216,129
sim_00141,141,247.324665735,0.977977830338,8.14476523525e-05,343.514293063,5.484386e-05,54.84386,False,1.299984194178226e-05,0.0036055293566662,130
sim_00142,142,248.695097131,0.887957223036,5.04400481913e-05,333.269518536,6.275744e-05,62.75744,False,0.0001386904392861,0.0117766905065121,131
sim_00143,143,52.5445860993,0.633129978235,4.5e-05,300.0,2.284292e-05,22.84292,False,1.988423459559036e-05,0.0044591742055665,132
sim_00144,144,53.4525830151,0.394191978834,4.5e-05,300.0,3.079568e-05,30.79568,False,1.4687186389878666e-05,0.0038323865136333,133
sim_00145,145,55.2363598851,0.252312006514,4.5e-05,300.0,3.8651335e-05,38.651335,False,1.5703813577056553e-05,0.0039628037520241,134
sim_00146,146,59.3859586774,0.222677981218,4.5e-05,300.0,3.88958e-05,38.8958,False,3.616653429098255e-05,0.0060138618450196,135
sim_00147,147,63.4364244112,0.87794698955,4.5e-05,300.0,2.288304e-05,22.88304,False,2.6612387840080573e-05,0.0051587195930851,136
sim_00148,148,67.3007401579,0.639039009111,4.5e-05,300.0,3.081749e-05,30.81749,False,3.776660424689181e-05,0.0061454539496193,137
sim_00149,149,71.6599397131,0.537693260466,4.5e-05,300.0,3.4812685e-05,34.812685,False,1.881278280601152e-05,0.0043373704944368,138
sim_00150,150,71.8781037338,0.56768277259,4.5e-05,300.0,3.485407e-05,34.85407,False,2.850433921202264e-05,0.0053389455149891,139
sim_00151,151,72.876222127,0.956216556443,4.5e-05,300.0,2.683881e-05,26.83881,False,2.591091689569187e-05,0.0050902767012896,140
sim_00152,152,74.5163352518,0.201002332148,4.5e-05,300.0,5.074676e-05,50.746759999999995,False,7.229602620080151e-05,0.0085027069925289,141
sim_00153,153,76.2867092863,0.693142102976,5.97726511316e-05,352.808802476,2.66876e-05,26.6876,False,0.0062977735220491,0.0793585125997784,142
