benchmark,metric,tolerance,surrogate_variant,acquisition_rule,method,mean_curve_first_budget,seed_0_first_budget,seed_1_first_budget,seed_2_first_budget,seed_3_first_budget,seed_4_first_budget
branin,near_boundary_error_q20,0.35,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,27,16,18,16,29,11
branin,near_boundary_error_q20,0.35,optimized_iso_gpc,classifier_margin,classifier_margin,20,12,12,20,21,10
branin,near_boundary_error_q20,0.35,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,24,10,24,13,29,15
branin,near_boundary_error_q20,0.35,optimized_iso_gpc,random,random,21,13,8,15,21,9
branin,near_boundary_error_q20,0.3,fixed_iso_gpc,classifier_entropy,classifier_entropy,36,19,26,28,32,39
branin,near_boundary_error_q20,0.3,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,28,12,21,42,24,25
branin,near_boundary_error_q20,0.3,fixed_iso_gpc,classifier_margin,classifier_margin,36,19,26,28,32,39
branin,near_boundary_error_q20,0.3,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,24,14,20,24,27,20
branin,near_boundary_error_q20,0.3,fixed_iso_gpc,random,random,null,11,null,null,37,19
branin,near_boundary_error_q20,0.3,optimized_ard_gpc,classifier_entropy,classifier_entropy,28,28,30,23,22,28
branin,near_boundary_error_q20,0.3,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,31,24,29,25,30,37
branin,near_boundary_error_q20,0.3,optimized_ard_gpc,classifier_margin,classifier_margin,28,16,30,23,22,28
branin,near_boundary_error_q20,0.3,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,27,20,26,25,26,38
branin,near_boundary_error_q20,0.3,optimized_ard_gpc,random,random,50,28,null,28,37,20
branin,near_boundary_error_q20,0.3,optimized_iso_gpc,classifier_entropy,classifier_entropy,28,31,16,21,36,35
branin,near_boundary_error_q20,0.3,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,30,17,26,24,31,33
branin,near_boundary_error_q20,0.3,optimized_iso_gpc,classifier_margin,classifier_margin,26,15,16,21,36,35
