budget,arm,mean_accuracy,q05,q95
71,binary_margin,0.8376470588235293,0.7058823529411765,0.9411764705882353
71,binary_random,0.7931764705882353,0.6625490196078431,0.8807843137254902
72,binary_margin,0.838235294117647,0.7058823529411765,0.9411764705882353
72,binary_random,0.7935490196078431,0.6626470588235294,0.8845098039215685
73,binary_margin,0.84,0.7058823529411765,0.9411764705882353
73,binary_random,0.7933137254901961,0.6606862745098039,0.8845098039215685
74,binary_margin,0.838235294117647,0.7058823529411765,0.9411764705882353
74,binary_random,0.793921568627451,0.6605882352941176,0.8845098039215685
75,binary_margin,0.834705882352941,0.7058823529411765,0.9411764705882353
75,binary_random,0.7941372549019607,0.6642156862745098,0.8862745098039215
76,binary_margin,0.8352941176470587,0.7058823529411765,0.9411764705882353
76,binary_random,0.7942156862745098,0.6587254901960784,0.8863725490196078
77,binary_margin,0.836470588235294,0.7058823529411765,0.9411764705882353
77,binary_random,0.7949019607843136,0.6587254901960784,0.8845098039215685
78,binary_margin,0.8358823529411764,0.7058823529411765,0.9411764705882353
78,binary_random,0.7959215686274511,0.6586274509803921,0.8883333333333333
79,binary_margin,0.8358823529411764,0.7058823529411765,0.9411764705882353
79,binary_random,0.7957647058823529,0.6585294117647059,0.888235294117647
80,binary_margin,0.8329411764705881,0.7058823529411765,0.9411764705882353
80,binary_random,0.7958627450980393,0.6587254901960784,0.8862745098039215
