benchmark_population,run_id,repeat,fold,method,formulation,train_pool_count,untouched_test_count,nominal_warm_start,effective_warm_start,final_budget,fit_count,fit_status_counts_json,optimizer_warning_count,unique_optimizer_warning_count,kernel_bound_hit_count,runtime_seconds,query_trajectory_sha256,warm_start_sha256,split_sha256,checkpoint_fingerprint
primary_common,primary_common__r01_f04,1,4,binary_margin,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,6.471582899976056,4ea2b2d1dd8774fa7341403a13947af3f1dad9b61ccab3973357a1f5b42cf264,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2,4956b337a6f400870c719a1500f8fa149a66535318a02b1121fb4a6bf48481c4,843cb4af10c7e444c3257523ab16834624d19a4a13cf778765963134bb4f2dee
primary_common,primary_common__r01_f04,1,4,binary_uncertainty_repulsion,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,6.880111199978273,8af5f58c7897e03a94c4b53379c455e63c57d3b977949d18e00b851bd8693f13,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2,4956b337a6f400870c719a1500f8fa149a66535318a02b1121fb4a6bf48481c4,9c602ae3dff17751660dc241801d737570862f5aebc38fe7c5163fc8795319a2
primary_common,primary_common__r01_f05,1,5,max_depth_random,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,28.47374270000728,bf4a29a2e374ae1678eca3170b93ae6c83f3494c63fbd5bcf125480c1ca9f09c,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46,800ad8b1200026a04c4685fec8087949a1e3aff3b44701f190e02326a2bd8536,5d3d06603008e3c84dc9b07eba639a5c78c9e7bb258b4b8b6a67ecc78460f97e
primary_common,primary_common__r01_f05,1,5,max_depth_boundary_proximity,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,19.078509599959943,4ee01ff5a8ebae030920326bc7a38f900a3dff3797413d09d378df3d33b93aac,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46,800ad8b1200026a04c4685fec8087949a1e3aff3b44701f190e02326a2bd8536,70e270f12f7a6c63514f668f5426549fc8b937dd7cdd2829f24e349ca6690683
primary_common,primary_common__r01_f05,1,5,max_depth_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,15.79145449999487,fb38617fd52086875f3bf5d3430eb22f16409ae606b8d33cacda84d2cf6a0151,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46,800ad8b1200026a04c4685fec8087949a1e3aff3b44701f190e02326a2bd8536,a6a8ef81408e2c3b9abda7bebe1b81cd5df27b9390366df75a3207d619913e7b
primary_common,primary_common__r01_f05,1,5,max_depth_randomized_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,15.129801100003533,706da640a4965cf9000bd9d7bda7481b582b9766312b814f9ee22bd74a650c7e,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46,800ad8b1200026a04c4685fec8087949a1e3aff3b44701f190e02326a2bd8536,d28280e7a872bcc60e8a45f36d6130a3a1812a16ecac10ca65efcb00151c2a17
primary_common,primary_common__r01_f05,1,5,max_depth_expected_feasibility,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,16.46454860002268,33f29904f53820c80cd32ac050ad8137e4443118e3d38894e71d2c4eb8cd4237,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46,800ad8b1200026a04c4685fec8087949a1e3aff3b44701f190e02326a2bd8536,541f6b1317da0e36788968738e815e985d7fde0aed85d43cf9904adc0e987082
primary_common,primary_common__r01_f05,1,5,binary_random,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",7,1,7,5.070776599983219,bf4a29a2e374ae1678eca3170b93ae6c83f3494c63fbd5bcf125480c1ca9f09c,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46,800ad8b1200026a04c4685fec8087949a1e3aff3b44701f190e02326a2bd8536,72f2b2548936ee568242de735d0dc04a44303c396ab86fe4b86da4c3f02fc323
primary_common,primary_common__r01_f05,1,5,binary_margin,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",33,1,33,4.164904100005515,100f8d506238bbde4bbd3f241b7f06d51dbec0059ed86f33d6a82b15007a1d51,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46,800ad8b1200026a04c4685fec8087949a1e3aff3b44701f190e02326a2bd8536,b82bec921728056cc0286a9780d7bfde8f99d85ca47bc05781291103aac74a2f
primary_common,primary_common__r01_f05,1,5,binary_uncertainty_repulsion,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",32,1,32,4.190226299979258,140f0f9ae69a0187b52553f36263ec72a064f0be91f4980deabe2ff868b20fef,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46,800ad8b1200026a04c4685fec8087949a1e3aff3b44701f190e02326a2bd8536,7a435fc65acd367cc6d71d7f5d6fa3aeaead185ac1d6e5e5c8c78e37f3b0b67e
