benchmark_population,formulation,model,probability_bin,row_count,mean_predicted_probability,observed_keyhole_fraction,status
secondary_g3_common,g3,g3_matern32_gpr,"(0.8, 0.9]",27,0.858041601814754,0.37037037037037035,held_out_20_fold_pooled_diagnostic
secondary_g3_common,g3,g3_matern32_gpr,"(0.9, 1.0]",276,0.9905645486210496,0.9094202898550725,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(-0.001, 0.1]",1128,0.014188203778821863,0.0017730496453900709,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.1, 0.2]",94,0.13995613719533032,0.02127659574468085,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.2, 0.3]",27,0.24431680760880406,0.18518518518518517,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.3, 0.4]",10,0.34555267294729436,0.5,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.4, 0.5]",8,0.46281616571124184,0.25,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.5, 0.6]",17,0.5573234461672348,0.23529411764705882,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.6, 0.7]",22,0.6483359208163164,0.22727272727272727,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.7, 0.8]",28,0.742453006481811,0.2857142857142857,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.8, 0.9]",23,0.8486919094971136,0.6521739130434783,held_out_20_fold_pooled_diagnostic
secondary_g3_common,max_depth,matern32_gpr_g3_common,"(0.9, 1.0]",259,0.9924611240421913,0.9420849420849421,held_out_20_fold_pooled_diagnostic
