target,target_label,target_unit,varying_input,input_unit,profile,grid_index,input_value,predicted_mean,predictive_std,interval_lower_95,interval_upper_95,nearest_training_distance_standardized,support_distance_threshold,within_observed_support,reference_P,reference_VX,reference_LS,reference_ST,model_configuration,training_sample_size,interpretive_fit_not_out_of_sample_evaluation
width,T0 melt-pool width,um,P,W,median_reference,76,366.52216077788,175.33770069403138,3.3938788970754823,168.68569805576342,181.98970333229934,0.9560100885445353,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,77,369.99050307076,175.49019125887202,3.4533242399809487,168.72167574850937,182.25870676923466,0.9812929672194415,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,78,373.45884536364,175.64394536685106,3.5137441006697254,168.7570069295384,182.53088380416372,1.0070617056036777,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,79,376.92718765652,175.79937169530646,3.5751569736635767,168.79206402692586,182.80667936368707,1.0332799540957363,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,80,380.3955299494,175.95685960241963,3.637598973799224,168.82716561377316,183.0865535910661,1.0599143557110788,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,81,383.86387224228,176.116777976324,3.7011226108166,168.86257765912345,183.37097829352453,1.0869343184445062,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,82,387.33221453516,176.27947411725845,3.765795466863265,168.89851500220644,183.66043323231045,1.1015137425620392,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,83,390.80055682804,176.4452726666693,3.8316988064712914,168.93514300598557,183.95540232735303,1.0877549809209959,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,84,394.26889912092,176.61447459925225,3.8989261415889853,168.97257936173784,184.25636983676665,1.0748702550761593,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,85,397.7372414138,176.78735629491166,3.9675817691225372,169.0108960274315,184.56381656239182,1.062891351569005,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,86,401.20558370668,176.9641687077094,4.037779294960703,169.05012128958643,184.87821612583238,1.0518492185178119,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,87,404.67392599956,177.14513665104778,4.1096401576663215,169.09024194202178,185.20003136007378,1.0417736438480878,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,88,408.14226829244,177.33045821755263,4.183292163487247,169.13120557711764,185.52971085798762,1.032692918926125,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,89,411.61061058532,177.52030435274966,4.258868046099003,169.17292298239562,185.8676857231037,1.0246334944005315,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,90,415.0789528782,177.71481860062076,4.336504063671488,169.21527063582465,186.21436656541687,1.0176196362877312,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,91,418.54729517108,177.91411703778078,4.416338647581637,169.25809328852077,186.5701407870408,1.0116730913358083,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,92,422.01563746396,178.11828840968604,4.498511116698332,169.30120662095732,186.93537019841477,1.0068127713587933,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,93,425.48397975684003,178.32739448048372,4.5831604710065825,169.34439995731083,187.3103890036566,1.0030544664538625,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,94,428.95232204972,178.54147060179446,4.670424277187025,169.38743901850788,187.69550218508104,1.0004105967244443,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,95,432.4206643426,178.76052650252433,4.760437656844242,169.4300686951096,188.09098430993905,0.9988900112963993,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
