run_id,budget,historical_selected_index,reconstructed_min_margin_index,historical_query_table_index,selection_matches,reconstructed_probability,historical_probability,absolute_probability_difference
w85__r05_f05,24,296,296,296,True,0.9439052920731684,0.9439052920731684,0.0
w85__r05_f05,28,384,384,384,True,0.4091098253998098,0.4091098253998098,0.0
w85__r05_f05,32,214,214,214,True,0.2520012337483308,0.2520012337483308,0.0
w85__r05_f05,36,104,104,104,True,0.2671428892119252,0.2671428892119252,0.0
w85__r05_f05,40,96,96,96,True,0.2758672982384951,0.2758672982384951,0.0
w85__r05_f05,48,40,40,40,True,0.0820794531958881,0.0820794531958881,0.0
w85__r05_f05,60,119,119,119,True,0.985844154880283,0.985844154880283,0.0
w85__r06_f01,16,110,110,110,True,0.3717154615059144,0.3717154615059144,0.0
w85__r06_f01,20,57,57,57,True,0.9999999898993792,0.9999999898993792,0.0
w85__r06_f01,24,127,127,127,True,0.9999999900002194,0.9999999900002194,0.0
w85__r06_f01,28,109,109,109,True,0.9999999900002194,0.9999999900002194,0.0
w85__r06_f01,32,116,116,116,True,0.9999999900002194,0.9999999900002194,0.0
w85__r06_f01,36,288,288,288,True,0.3475495603191234,0.3475495603191234,0.0
w85__r06_f01,40,12,12,12,True,0.3797998120873842,0.3797998120873842,0.0
w85__r06_f01,48,85,85,85,True,0.2621672042528757,0.2621672042528757,0.0
w85__r06_f01,60,102,102,102,True,0.878242389451998,0.878242389451998,0.0
w85__r06_f02,16,93,93,93,True,0.4325050024523165,0.4325050024523165,0.0
w85__r06_f02,20,110,110,110,True,1.4829063729848713e-05,1.4829063729848713e-05,0.0
w85__r06_f02,24,201,201,201,True,0.072481465801502,0.072481465801502,0.0
w85__r06_f02,28,12,12,12,True,0.269194050240344,0.269194050240344,0.0
w85__r06_f02,32,103,103,103,True,0.1648033139643985,0.1648033139643985,0.0
w85__r06_f02,36,68,68,68,True,0.1491342566414459,0.1491342566414459,0.0
w85__r06_f02,40,384,384,384,True,0.3607958973341283,0.3607958973341283,0.0
w85__r06_f02,48,377,377,377,True,0.8296043743969221,0.8296043743969221,0.0
w85__r06_f02,60,139,139,139,True,0.8229365920590226,0.8229365920590226,0.0
w85__r06_f03,16,81,81,81,True,0.5061366833183563,0.5061366833183563,0.0
w85__r06_f03,20,12,12,12,True,0.7286256768379076,0.7286256768379076,0.0
w85__r06_f03,24,268,268,268,True,0.1970508034265776,0.1970508034265776,0.0
w85__r06_f03,28,211,211,211,True,0.6679553852182494,0.6679553852182494,0.0
w85__r06_f03,32,299,299,299,True,0.3890011336213206,0.3890011336213206,0.0
w85__r06_f03,36,296,296,296,True,0.6987535675631875,0.6987535675631875,0.0
w85__r06_f03,40,106,106,106,True,0.7348874305569666,0.7348874305569666,0.0
w85__r06_f03,48,376,376,376,True,0.2525044389214486,0.2525044389214486,0.0
w85__r06_f03,60,234,234,234,True,0.0761132770211361,0.0761132770211361,0.0
w85__r06_f04,16,159,159,159,True,0.5114116109062188,0.5114116109062188,0.0
w85__r06_f04,20,139,139,139,True,0.4933128615913027,0.4933128615913027,0.0
w85__r06_f04,24,268,268,268,True,0.4979598771758393,0.4979598771758393,0.0
w85__r06_f04,28,144,144,144,True,0.4989454453927682,0.4989454453927682,0.0
w85__r06_f04,32,271,271,271,True,0.5010629092103553,0.5010629092103553,0.0
w85__r06_f04,36,296,296,296,True,0.4864001817666654,0.4864001817666654,0.0
w85__r06_f04,40,161,161,161,True,0.5409523109439363,0.5409523109439363,0.0
w85__r06_f04,48,126,126,126,True,0.3259072732892036,0.3259072732892036,0.0
w85__r06_f04,60,60,60,60,True,0.220328931567451,0.220328931567451,0.0
w85__r06_f05,16,108,108,108,True,0.5459365760821413,0.5459365760821413,0.0
w85__r06_f05,20,264,264,264,True,0.1482983165479936,0.1482983165479936,0.0
w85__r06_f05,24,199,199,199,True,0.72044416325474,0.72044416325474,0.0
w85__r06_f05,28,77,77,77,True,0.2761444153741195,0.2761444153741195,0.0
w85__r06_f05,32,57,57,57,True,0.8722195186469435,0.8722195186469435,0.0
w85__r06_f05,36,96,96,96,True,0.277911528681841,0.277911528681841,0.0
w85__r06_f05,40,64,64,64,True,0.1772055852816265,0.1772055852816265,0.0
w85__r06_f05,48,93,93,93,True,0.8753020107427574,0.8753020107427574,0.0
w85__r06_f05,60,119,119,119,True,0.9377157454568988,0.9377157454568988,0.0
w85__r07_f01,16,264,264,264,True,0.5062900600558216,0.5062900600558216,0.0
w85__r07_f01,20,385,385,385,True,4.020937319637597e-05,4.020937319637597e-05,0.0
w85__r07_f01,24,103,103,103,True,0.2398343476357922,0.2398343476357922,0.0
w85__r07_f01,28,77,77,77,True,0.1772404279627153,0.1772404279627153,0.0
w85__r07_f01,32,105,105,105,True,0.5876533754806417,0.5876533754806417,0.0
w85__r07_f01,36,68,68,68,True,0.2565619294498447,0.2565619294498447,0.0
w85__r07_f01,40,33,33,33,True,0.3599197925806265,0.3599197925806265,0.0
w85__r07_f01,48,161,161,161,True,0.8710564489782655,0.8710564489782655,0.0
w85__r07_f01,60,79,79,79,True,0.0991689361618455,0.0991689361618455,0.0
w85__r07_f02,16,299,299,299,True,0.4852166269138145,0.4852166269138145,0.0
w85__r07_f02,20,91,91,91,True,0.2184418314229788,0.2184418314229788,0.0
w85__r07_f02,24,365,365,365,True,0.5287591849319639,0.5287591849319639,0.0
w85__r07_f02,28,110,110,110,True,0.4996454751251057,0.4996454751251057,0.0
w85__r07_f02,32,211,211,211,True,0.5669753855448079,0.5669753855448079,0.0
w85__r07_f02,36,268,268,268,True,0.5032348993885112,0.5032348993885112,0.0
w85__r07_f02,40,68,68,68,True,0.2662510786432221,0.2662510786432221,0.0
w85__r07_f02,48,379,379,379,True,0.1912575894820065,0.1912575894820065,0.0
w85__r07_f02,60,168,168,168,True,0.078926618656169,0.078926618656169,0.0
w85__r07_f03,16,294,294,294,True,0.4778544344840654,0.4778544344840654,0.0
w85__r07_f03,20,89,89,89,True,0.8787119792600606,0.8787119792600606,0.0
w85__r07_f03,24,130,130,130,True,0.9999999900002194,0.9999999900002194,0.0
w85__r07_f03,28,118,118,118,True,0.9999999900002194,0.9999999900002194,0.0
w85__r07_f03,32,80,80,80,True,0.9999999900003332,0.9999999900003332,0.0
w85__r07_f03,36,84,84,84,True,0.9999999900003332,0.9999999900003332,0.0
w85__r07_f03,40,268,268,268,True,0.5104656349279111,0.5104656349279111,0.0
w85__r07_f03,48,68,68,68,True,0.4843346529546757,0.4843346529546757,0.0
w85__r07_f03,60,379,379,379,True,0.2795510418249023,0.2795510418249023,0.0
w85__r07_f04,16,84,84,84,True,0.4909594724967228,0.4909594724967228,0.0
w85__r07_f04,20,57,57,57,True,0.5155949744370041,0.5155949744370041,0.0
w85__r07_f04,24,214,214,214,True,0.5111719417194394,0.5111719417194394,0.0
w85__r07_f04,28,201,201,201,True,0.4072346674119842,0.4072346674119842,0.0
w85__r07_f04,32,268,268,268,True,0.419251421190836,0.419251421190836,0.0
w85__r07_f04,36,365,365,365,True,0.5021136012549778,0.5021136012549778,0.0
w85__r07_f04,40,90,90,90,True,0.3743208216009179,0.3743208216009179,0.0
w85__r07_f04,48,376,376,376,True,0.4841361367895445,0.4841361367895445,0.0
w85__r07_f04,60,137,137,137,True,0.7518614754606574,0.7518614754606574,0.0
w85__r07_f05,16,90,90,90,True,0.4999229276653167,0.4999229276653167,0.0
w85__r07_f05,20,57,57,57,True,0.5191930892589767,0.5191930892589767,0.0
w85__r07_f05,24,105,105,105,True,0.523681256038337,0.523681256038337,0.0
w85__r07_f05,28,52,52,52,True,0.6613978047367368,0.6613978047367368,0.0
w85__r07_f05,32,214,214,214,True,0.1768640044767835,0.1768640044767835,0.0
w85__r07_f05,36,93,93,93,True,0.8297671598752459,0.8297671598752459,0.0
w85__r07_f05,40,271,271,271,True,0.1315878748688419,0.1315878748688419,0.0
w85__r07_f05,48,392,392,392,True,0.8509190934092885,0.8509190934092885,0.0
w85__r07_f05,60,262,262,262,True,0.0284169776678027,0.0284169776678027,0.0
w85__r08_f01,16,104,104,104,True,0.4961073202149819,0.4961073202149819,0.0
w85__r08_f01,20,384,384,384,True,0.4440560981083905,0.4440560981083905,0.0
w85__r08_f01,24,264,264,264,True,0.6191110543597631,0.6191110543597631,0.0
w85__r08_f01,28,110,110,110,True,0.8416540875095961,0.8416540875095961,0.0
w85__r08_f01,32,106,106,106,True,0.7098339382568497,0.7098339382568497,0.0
w85__r08_f01,36,91,91,91,True,0.2451539784116789,0.2451539784116789,0.0
w85__r08_f01,40,377,377,377,True,0.8852165334284336,0.8852165334284336,0.0
w85__r08_f01,48,33,33,33,True,0.1508895546444364,0.1508895546444364,0.0
w85__r08_f01,60,139,139,139,True,0.9042906689383016,0.9042906689383016,0.0
w85__r08_f02,16,115,115,115,True,0.5133046653696809,0.5133046653696809,0.0
w85__r08_f02,20,161,161,161,True,0.4874525617547611,0.4874525617547611,0.0
w85__r08_f02,24,199,199,199,True,0.5045599479909662,0.5045599479909662,0.0
w85__r08_f02,28,108,108,108,True,0.4582643863824671,0.4582643863824671,0.0
w85__r08_f02,32,214,214,214,True,0.4584845432434434,0.4584845432434434,0.0
w85__r08_f02,36,288,288,288,True,0.4382238021324269,0.4382238021324269,0.0
w85__r08_f02,40,90,90,90,True,0.4591821557233544,0.4591821557233544,0.0
w85__r08_f02,48,91,91,91,True,0.330514623687236,0.330514623687236,0.0
w85__r08_f02,60,79,79,79,True,0.1441933404960309,0.1441933404960309,0.0
w85__r08_f03,16,68,68,68,True,0.4860518757551979,0.4860518757551979,0.0
w85__r08_f03,20,81,81,81,True,0.9276285865261116,0.9276285865261116,0.0
w85__r08_f03,24,365,365,365,True,0.5490046073423258,0.5490046073423258,0.0
