policy,endpoint,estimate,repeat_blocks,kind
P4_PG_RMBC_ADAPTIVE,q20_balanced_accuracy_AULC_B16_B40,0.8189274649925693,60,AULC
P4_PG_RMBC_ADAPTIVE,q20_balanced_accuracy_AULC_B16_B80,0.8305597700910204,60,AULC
P4_PG_RMBC_ADAPTIVE,q20_keyhole_recall_AULC_B16_B40,0.7372000035072951,60,AULC
P4_PG_RMBC_ADAPTIVE,q20_keyhole_recall_AULC_B16_B80,0.7436575116868086,60,AULC
P4_PG_RMBC_ADAPTIVE,q30_accuracy_AULC_B16_B40,0.8786805555555557,60,AULC
P4_PG_RMBC_ADAPTIVE,q30_accuracy_AULC_B16_B80,0.8912364583333333,60,AULC
P4_PG_RMBC_ADAPTIVE,full81_accuracy_AULC_B16_B40,0.9615252057613168,60,AULC
P4_PG_RMBC_ADAPTIVE,full81_accuracy_AULC_B16_B80,0.9658265817901235,60,AULC
P4_PG_RMBC_ADAPTIVE,B1_q20_accuracy_B24,0.8288235294117646,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_balanced_accuracy_B24,0.8109549293299293,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_keyhole_recall_B24,0.7221210918710919,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_false_negative_B24,1.85,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_false_positive_B24,1.06,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q30_accuracy_B24,0.8737333333333334,60,checkpoint
P4_PG_RMBC_ADAPTIVE,full81_accuracy_B24,0.9598765432098765,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_accuracy_B32,0.8439215686274509,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_balanced_accuracy_B32,0.8274104321604322,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_keyhole_recall_B32,0.7462824675324675,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_false_negative_B32,1.69,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_false_positive_B32,0.9633333333333334,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q30_accuracy_B32,0.8871999999999999,60,checkpoint
P4_PG_RMBC_ADAPTIVE,full81_accuracy_B32,0.9642798353909465,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_accuracy_B40,0.8498039215686274,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_balanced_accuracy_B40,0.8347665343915345,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_keyhole_recall_B40,0.754700456950457,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_false_negative_B40,1.6433333333333333,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_false_positive_B40,0.91,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q30_accuracy_B40,0.8921333333333333,60,checkpoint
P4_PG_RMBC_ADAPTIVE,full81_accuracy_B40,0.9663374485596707,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_accuracy_B80,0.857843137254902,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_balanced_accuracy_B80,0.8395986605986606,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_keyhole_recall_B80,0.7465773208273209,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_false_negative_B80,1.7,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q20_false_positive_B80,0.7166666666666667,60,checkpoint
P4_PG_RMBC_ADAPTIVE,B1_q30_accuracy_B80,0.9009333333333333,60,checkpoint
P4_PG_RMBC_ADAPTIVE,full81_accuracy_B80,0.9691358024691359,60,checkpoint
