dataset,material,setting,repeat,fold,train_rows,test_rows,model,features,train_only_scaling,converged,n_iter,warnings,gamma_P,gamma_VX,sigma_P,sigma_VX,beta_P,beta_VX,alpha,beta_P_near_zero,alpha_extreme,alpha_valid,beta_P_positive,beta_VX_negative
transition_inclusive,Ti64,R1_C1,11,2,49,11,G,log_P|log_VX,True,True,6,,0.2833062547546451,-2.8020439122798884,0.09599280367113967,0.5619114132821922,2.95132805710332,-4.9866292907503205,-1.6896221613684705,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,11,3,49,11,G,log_P|log_VX,True,True,7,,0.055584515579040567,-2.7698553981935685,0.09599280367113967,0.6010642914709348,0.5790487771298642,-4.608251459116181,-7.9583130836708085,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,11,4,47,13,G,log_P|log_VX,True,True,7,,0.6053455976197676,-2.6751727838733563,0.08589663319127303,0.554763113139693,7.047372814622376,-4.82218936427327,-0.6842534787244203,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,12,0,47,13,G,log_P|log_VX,True,True,7,,0.4332159282774943,-2.739523365253899,0.09801357719737734,0.5360024148327153,4.419958343170096,-5.111028027940687,-1.1563520809734464,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,12,1,49,11,G,log_P|log_VX,True,True,7,,0.3232644039869244,-2.7456689703899113,0.10079959343267199,0.5741315709206614,3.2070010699283764,-4.782299231493285,-1.4912059981321086,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,12,2,48,12,G,log_P|log_VX,True,True,7,,0.4355677704599844,-2.77313710956243,0.09767514610938874,0.53236728764259,4.459351102195247,-5.209067450110125,-1.1681222964358668,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,12,3,49,11,G,log_P|log_VX,True,True,7,,-0.1439999674038851,-2.6470727599988204,0.08668415650480293,0.5930785157560023,-1.6612028450193947,-4.463275417462347,2.686773280484141,False,False,True,False,True
transition_inclusive,Ti64,R1_C1,12,4,47,13,G,log_P|log_VX,True,True,7,,0.434265102027616,-2.852303400022359,0.08589663319127303,0.5488946360108653,5.055670820771316,-5.196449760835152,-1.0278457488738078,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,13,0,47,13,G,log_P|log_VX,True,True,7,,0.4236697612809484,-2.781649073677692,0.09801357719737734,0.5806325276437855,4.32256196942769,-4.790722085387915,-1.1083061664058016,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,13,1,47,13,G,log_P|log_VX,True,True,8,,0.07717833200882229,-2.7442866223608053,0.09238763364777704,0.5472233487528836,0.8353751358440524,-5.014929696649469,-6.0032068007176775,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,13,2,49,11,G,log_P|log_VX,True,True,6,,0.34014726572240506,-2.782536043183365,0.08668415650480293,0.5327092976695573,3.9239842600713133,-5.2233667693733175,-1.3311385630477501,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,13,3,49,11,G,log_P|log_VX,True,True,7,,0.2891370391484012,-2.7733870934569396,0.09599280367113969,0.5551625751138082,3.0120699478572526,-4.995630501368713,-1.6585373473556082,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,13,4,48,12,G,log_P|log_VX,True,True,7,,0.40592698665267735,-2.771351475575957,0.09767514610938875,0.5753837408942359,4.155888194915725,-4.8165272645154085,-1.1589645915902893,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,14,0,47,13,G,log_P|log_VX,True,True,7,,0.3108761133785552,-2.8460619813449495,0.0986961279465142,0.5412154235874457,3.149830898604517,-5.258649065246204,-1.6695020255138031,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,14,1,49,11,G,log_P|log_VX,True,True,7,,0.2593423883597441,-2.761419406376878,0.09949448650775998,0.521012586608007,2.6066006013259533,-5.300101144110134,-2.0333384184036567,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,14,2,49,11,G,log_P|log_VX,True,True,7,,0.321577742588473,-2.7749388458370188,0.08668415650480293,0.5657848804771723,3.709763762547026,-4.904582892877391,-1.3220741822951103,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,14,3,48,12,G,log_P|log_VX,True,True,7,,0.4523895342528316,-2.7531520176672015,0.09479090063523071,0.5601919213542248,4.772499588264203,-4.914658553110957,-1.029787108876097,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,14,4,47,13,G,log_P|log_VX,True,True,6,,0.18600329912935554,-2.7390646574317032,0.08938371082732725,0.6002486486505401,2.080952976864872,-4.563216699595379,-2.192849502284402,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,15,0,47,13,G,log_P|log_VX,True,True,7,,0.14278236186848456,-2.816881411971381,0.08589663319127301,0.5334106372617022,1.6622579554490742,-5.2808872099589586,-3.1769360421152437,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,15,1,49,11,G,log_P|log_VX,True,True,7,,0.35176646433995,-2.777371102286095,0.10446854613346895,0.5577876010990848,3.3671997683449466,-4.979262889338994,-1.4787548205927836,False,False,True,True,True
