experiment_name,selection_reason,row_index,time_us,depth_um,inside_T0,T0_depth_um,max_depth_um,G3_um,T0_start_time_us,T0_end_time_us,keyhole_timing_relative_to_T0
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,33584,610.5462,6.3300920000000005,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,33656,611.8537,6.497409,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,33728,613.1613,6.851591,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,33800,614.4689000000001,7.01354,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,33872,615.7765,7.114594,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,33944,617.084,7.057856,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34016,618.3916,6.979702,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34088,619.6992,6.9224239999999995,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34160,621.0068,6.947716,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,34232,622.3143,6.93881,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
