simulation_id,numeric_simulation_id,target,target_label,target_definition,target_definition_label,aggregation,available,target_value_m,target_value_um,window_observation_count,within_window_cv,within_window_relative_trend,within_window_absolute_relative_trend,window_unstable,instability_cv_threshold,in_target_modelling_population,minimum_50_row_fallback_used,fewer_than_50_valid_rows,selected_rows_after_90pct_cutoff,selected_rows_after_full_domain_exit,sentinel_rows_excluded,P,VX,LS,ST
sim_00004,4,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.00028807835,288.07835,17286,0.0198490861341055,0.0643336801579066,0.0643336801579066,False,0.1,True,False,False,0,0,True,107.176159755,0.320752066655,8.75302281584e-05,393.859643937
sim_00005,5,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.00023638402999999998,236.38402999999997,13746,0.018990273891108387,0.06362214282672791,0.06362214282672791,False,0.1,True,False,False,0,0,True,109.759946449,0.241926176876,4.5e-05,300.0
sim_00006,6,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.0002921034,292.1034,11594,0.024624435697648935,-0.07407385627504479,0.07407385627504479,False,0.1,True,False,False,0,0,True,110.234671953,0.866589137882,8.08580037422e-05,348.980680204
sim_00007,7,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.0002624155,262.4155,16368,0.025004550270515086,0.08495316939149485,0.08495316939149485,False,0.1,True,False,False,0,0,True,110.642328299,0.274154737479,7.4676600105e-05,358.612942181
sim_00008,8,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.0002917725,291.7725,14311,0.028121300352288447,-0.09180107502809373,0.09180107502809373,False,0.1,True,False,False,0,0,True,112.428225508,0.704865651228,6.30987392704e-05,309.241492678
sim_00009,9,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.00026421325,264.21325,10176,0.012633877045622296,0.03341975771930762,0.03341975771930762,False,0.1,True,False,False,0,0,True,112.904894498,0.537693260466,4.63068354409e-05,322.169166627
sim_00010,10,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.00027771595,277.71594999999996,10404,0.013416320282483732,0.039649942143056845,0.039649942143056845,False,0.1,True,False,False,0,0,True,113.286681534,0.56768277259,5.80401726566e-05,302.148970527
sim_00011,11,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.00030421659999999994,304.2165999999999,10623,0.016129733315708654,-0.04482581901436431,0.04482581901436431,False,0.1,True,False,False,0,0,True,114.820217584,0.948189613582,6.03705790634e-05,353.560035146
sim_00012,12,length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,median,True,0.0002946805,294.68050000000005,18661,0.008679026014935446,0.01831876743272406,0.01831876743272406,False,0.1,True,False,False,0,0,True,115.281467344,0.424433079834,5.4086019252e-05,352.652659088
sim_00001,1,length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,0.0002630974,263.0974,6872,0.009637389886267543,0.006744507717439225,0.006744507717439225,False,0.1,True,False,False,0,0,True,101.127472137,0.52394730996,4.5e-05,300.0
sim_00002,2,length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,0.00029002939999999994,290.02939999999995,5453,0.027226686049008256,-0.0898334528776152,0.0898334528776152,False,0.1,True,False,False,0,0,True,104.101541641,0.916529700054,8.82882842693e-05,394.968412652
sim_00003,3,length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,0.00026379415,263.79415,5366,0.007920161956746713,0.012639518828032584,0.012639518828032584,False,0.1,True,False,False,0,0,True,105.276295276,0.639039009111,7.6636834293e-05,367.44858305
sim_00004,4,length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,0.0002927122,292.7122,8643,0.012583156334665209,0.03623103902104569,0.03623103902104569,False,0.1,True,False,False,0,0,True,107.176159755,0.320752066655,8.75302281584e-05,393.859643937
sim_00005,5,length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,0.00024036029,240.36029,6873,0.01061709381862419,0.032644466917756104,0.032644466917756104,False,0.1,True,False,False,0,0,True,109.759946449,0.241926176876,4.5e-05,300.0
sim_00006,6,length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,0.0002855905000000001,285.59050000000013,5797,0.022675714097953423,-0.0737393807974825,0.0737393807974825,False,0.1,True,False,False,0,0,True,110.234671953,0.866589137882,8.08580037422e-05,348.980680204
