benchmark,method,seed,budget,global_error,latent_uncertainty_region_fraction,near_boundary_error_q10,latent_uncertainty_region_fraction_q10,near_boundary_test_size_q10,near_boundary_error_q20,latent_uncertainty_region_fraction_q20,near_boundary_test_size_q20,near_boundary_error_q30,latent_uncertainty_region_fraction_q30,near_boundary_test_size_q30
ackley,random,2,41,0.3392,0.8482,0.479,0.914,1000,0.4745,0.917,2000,0.45866666666666667,0.912,3000
ackley,random,2,42,0.3379,0.8354,0.479,0.909,1000,0.474,0.9105,2000,0.458,0.9043333333333333,3000
ackley,random,2,43,0.3385,0.8203,0.473,0.896,1000,0.4665,0.898,2000,0.4553333333333333,0.891,3000
ackley,random,2,44,0.3407,0.8074,0.473,0.883,1000,0.4675,0.885,2000,0.456,0.8796666666666667,3000
ackley,random,2,45,0.3406,0.7938,0.469,0.87,1000,0.465,0.872,2000,0.455,0.8676666666666667,3000
ackley,random,2,46,0.3333,0.7837,0.479,0.863,1000,0.4725,0.865,2000,0.457,0.858,3000
ackley,random,2,47,0.3252,0.7809,0.483,0.863,1000,0.4695,0.8645,2000,0.451,0.8583333333333333,3000
ackley,random,2,48,0.3159,0.794,0.478,0.878,1000,0.458,0.877,2000,0.44,0.8673333333333333,3000
ackley,random,2,49,0.3111,0.7915,0.479,0.871,1000,0.457,0.8715,2000,0.43933333333333335,0.863,3000
ackley,random,2,50,0.3165,0.8082,0.482,0.892,1000,0.464,0.892,2000,0.44533333333333336,0.8813333333333333,3000
ackley,random,2,51,0.3162,0.8019,0.481,0.884,1000,0.4625,0.886,2000,0.44433333333333336,0.876,3000
ackley,random,2,52,0.3156,0.7845,0.48,0.877,1000,0.4635,0.8765,2000,0.44433333333333336,0.867,3000
ackley,random,2,53,0.3136,0.7739,0.482,0.862,1000,0.4635,0.8645,2000,0.44366666666666665,0.8553333333333333,3000
ackley,random,2,54,0.3153,0.7817,0.479,0.874,1000,0.4615,0.8755,2000,0.44166666666666665,0.8646666666666667,3000
ackley,random,2,55,0.3002,0.7933,0.472,0.884,1000,0.4525,0.8845,2000,0.43133333333333335,0.8736666666666667,3000
ackley,random,2,56,0.2943,0.7814,0.474,0.878,1000,0.4515,0.877,2000,0.431,0.8656666666666667,3000
ackley,random,2,57,0.2872,0.8042,0.468,0.903,1000,0.4545,0.9035,2000,0.42866666666666664,0.8913333333333333,3000
ackley,random,2,58,0.2841,0.8802,0.459,0.927,1000,0.4465,0.928,2000,0.424,0.9216666666666666,3000
ackley,random,2,59,0.2884,0.8769,0.469,0.924,1000,0.4575,0.924,2000,0.432,0.9183333333333333,3000
ackley,random,2,60,0.2866,0.8615,0.468,0.915,1000,0.454,0.916,2000,0.429,0.9086666666666666,3000
ackley,random,2,61,0.2873,0.8663,0.462,0.916,1000,0.454,0.917,2000,0.42866666666666664,0.91,3000
ackley,random,2,62,0.2885,0.8568,0.462,0.911,1000,0.4535,0.9115,2000,0.428,0.9043333333333333,3000
ackley,random,2,63,0.293,0.8507,0.461,0.905,1000,0.453,0.9065,2000,0.42833333333333334,0.8996666666666666,3000
ackley,random,2,64,0.3011,0.8616,0.473,0.912,1000,0.466,0.914,2000,0.43633333333333335,0.9066666666666666,3000
ackley,random,2,65,0.3011,0.894,0.485,0.93,1000,0.4675,0.931,2000,0.44033333333333335,0.9266666666666666,3000
ackley,random,2,66,0.2948,0.8968,0.481,0.932,1000,0.4645,0.9325,2000,0.43633333333333335,0.9283333333333333,3000
ackley,random,2,67,0.2923,0.899,0.484,0.933,1000,0.463,0.936,2000,0.435,0.931,3000
ackley,random,2,68,0.2916,0.8923,0.484,0.929,1000,0.463,0.931,2000,0.43466666666666665,0.926,3000
ackley,random,2,69,0.2905,0.899,0.479,0.937,1000,0.456,0.938,2000,0.42966666666666664,0.9316666666666666,3000
ackley,random,2,70,0.2874,0.9128,0.472,0.945,1000,0.4525,0.9475,2000,0.42866666666666664,0.9396666666666667,3000
ackley,random,2,71,0.2836,0.9209,0.477,0.951,1000,0.457,0.9495,2000,0.432,0.9426666666666667,3000
ackley,random,2,72,0.2838,0.916,0.476,0.942,1000,0.456,0.944,2000,0.43166666666666664,0.9373333333333334,3000
ackley,random,2,73,0.2843,0.9099,0.477,0.938,1000,0.455,0.94,2000,0.43166666666666664,0.9323333333333333,3000
ackley,random,2,74,0.2842,0.9105,0.473,0.938,1000,0.4535,0.94,2000,0.43033333333333335,0.9333333333333333,3000
ackley,random,2,75,0.2836,0.9191,0.472,0.947,1000,0.4545,0.946,2000,0.43,0.9393333333333334,3000
ackley,random,2,76,0.2857,0.9137,0.474,0.945,1000,0.457,0.944,2000,0.43166666666666664,0.936,3000
ackley,random,2,77,0.2822,0.9104,0.47,0.943,1000,0.4525,0.943,2000,0.42733333333333334,0.935,3000
ackley,random,2,78,0.2659,0.9085,0.466,0.943,1000,0.4475,0.9435,2000,0.41833333333333333,0.935,3000
ackley,random,2,79,0.2651,0.9045,0.465,0.939,1000,0.4525,0.9405,2000,0.42,0.9323333333333333,3000
ackley,random,2,80,0.2644,0.9098,0.472,0.949,1000,0.4545,0.948,2000,0.421,0.941,3000
ackley,random,3,12,0.4378,0.9997,0.508,0.999,1000,0.497,0.9995,2000,0.4886666666666667,0.9996666666666667,3000
ackley,random,3,13,0.4291,0.9997,0.503,0.999,1000,0.4925,0.9995,2000,0.4866666666666667,0.9996666666666667,3000
ackley,random,3,14,0.4374,0.9997,0.506,0.999,1000,0.4965,0.9995,2000,0.491,0.9996666666666667,3000
ackley,random,3,15,0.4248,0.9997,0.496,0.999,1000,0.493,0.9995,2000,0.4876666666666667,0.9996666666666667,3000
ackley,random,3,16,0.413,0.9997,0.496,0.999,1000,0.492,0.9995,2000,0.4886666666666667,0.9996666666666667,3000
ackley,random,3,17,0.3985,0.9997,0.499,0.999,1000,0.494,0.9995,2000,0.489,0.9996666666666667,3000
ackley,random,3,18,0.391,0.9997,0.493,0.999,1000,0.491,0.9995,2000,0.4836666666666667,0.9996666666666667,3000
ackley,random,3,19,0.3846,0.9997,0.491,0.999,1000,0.488,0.9995,2000,0.47933333333333333,0.9996666666666667,3000
ackley,random,3,20,0.3893,0.9997,0.481,0.999,1000,0.4855,0.9995,2000,0.4786666666666667,0.9996666666666667,3000
ackley,random,3,21,0.3929,0.9997,0.481,0.999,1000,0.4865,0.9995,2000,0.48133333333333334,0.9996666666666667,3000
ackley,random,3,22,0.3967,0.9997,0.482,0.999,1000,0.4865,0.9995,2000,0.483,0.9996666666666667,3000
