simulation_id,numeric_simulation_id,response,candidate,value_m,available,window_observation_count,window_cv,absolute_relative_trend,relative_difference_from_selected,laser_exits_domain_before_recording_end
sim_00083,83,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.068827e-05,True,12101,0.016871936756364506,0.039614179466269356,0.0,True
sim_00084,84,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.083965e-05,True,11377,0.008743744697361664,0.016980088387491495,0.0,True
sim_00085,85,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.307431e-05,True,17877,0.06372207559870714,0.21778763131622533,0.0,False
sim_00086,86,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.680242e-05,True,10951,0.0017772715531345067,0.0007765025894528596,0.0,True
sim_00087,87,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.467366e-05,True,17447,0.001159741080587527,0.0013721635497540414,0.0,False
sim_00088,88,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.198689000000001e-05,True,14200,0.04080622771375637,0.12917391918010815,0.0,True
sim_00089,89,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.466601e-05,True,17352,0.001237146636463957,0.0005413861379867543,0.0,False
sim_00090,90,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.870538e-05,True,18703,0.001011563153798551,0.00019412546853273633,0.0,False
sim_00091,91,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.5936285e-05,True,12086,0.03598848230818174,0.11831452691012438,0.0,True
sim_00092,92,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.099379e-05,True,10471,0.028361385851690325,0.08394401686569387,0.0,True
sim_00093,93,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.082025e-05,True,11703,0.0013412019533035665,0.0013737496530194882,0.0,True
sim_00094,94,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.503649e-05,True,11706,0.03046877414231845,0.09638040051131987,0.0,True
sim_00095,95,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.055308500000001e-05,True,18292,0.23322302537013545,0.5029308466480901,0.0,False
sim_00096,96,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.261278e-05,True,14781,0.03542402578803864,0.11059932252134534,0.0,True
sim_00097,97,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.070868e-05,True,15906,0.0008160554375563825,0.000660973703813371,0.0,False
sim_00098,98,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.071442e-05,True,16259,0.0004895851781365505,0.00044559062393302026,0.0,False
sim_00099,99,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.261258e-05,True,13014,0.027860732883467857,0.08145389680404855,0.0,True
sim_00100,100,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,8.271335e-05,True,18911,0.0019339818761541694,0.0010308265077181233,0.0,False
sim_00101,101,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.0290025e-05,True,5124,0.05714636646949524,0.18365246721700731,0.0,False
sim_00102,102,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.857049e-05,True,18203,0.005479302407464912,0.011598906276798639,0.0,False
sim_00103,103,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.429782e-05,True,19607,0.038172125555027796,0.12173610096806663,0.0,False
sim_00104,104,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.257318e-05,True,12527,0.030397843871782054,0.09401489728806058,0.0,True
sim_00105,105,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.862832e-05,True,19553,0.36513671492379857,0.9337886845689639,0.0,False
sim_00106,106,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.87098e-05,True,12983,0.026227567633097058,0.07854326970416849,0.0,True
sim_00107,107,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.4637395e-05,True,17384,0.0011652530700101311,0.001481108209862753,0.0,False
